geo,time,bx_gsr_gnfs_cd
abw,1986,246424581.00559
abw,1987,305195530.72626
abw,1988,413575418.99441
abw,1989,458826815.64246
abw,1990,566480446.92737
abw,1991,1351452513.96648
abw,1992,1640391061.45251
abw,1993,1758435754.18994
abw,1994,1921005586.59218
abw,1995,1992346368.71508
abw,1996,2505586592.17877
abw,1997,2544413407.82123
abw,1998,2056871508.37989
abw,1999,1250340782.12291
abw,2000,1815620111.73184
abw,2001,2018206703.91061
abw,2002,1448782122.90503
abw,2003,1766139664.80447
abw,2004,4687899441.34078
abw,2005,5724017205.21808
abw,2006,6026262570.79612
abw,2007,6677821229.05028
abw,2008,7059664804.46927
abw,2009,3490111731.84358
abw,2010,1824636871.50838
abw,2011,6861117318.43575
abw,2012,3151005586.59218
abw,2013,2162036796.64804
abw,2014,2299628836.31285
abw,2015,2437130635.75419
abw,2016,2346070251.95531
afg,1979,568800000
afg,1980,740800000
afg,1981,722700000
afg,1982,756800000
afg,1983,778500000
afg,1984,821100000
afg,1985,668200000
afg,1986,526300000
afg,1987,574300000
afg,1988,523400000
afg,1989,260500000
afg,2008,1371081298.48482
afg,2009,2126227204.17446
afg,2010,2555903165.91345
afg,2011,3049589965.77067
afg,2012,2315821327.30741
afg,2013,1389026489.6069
afg,2014,1992467139.67629
afg,2015,1416588109.37726
afg,2016,1135231136.78341
afg,2017,1219835579.13772
ago,1985,2430000000
ago,1986,1462000000
ago,1987,2415000000
ago,1988,2620000000
ago,1989,3164000000
ago,1990,3992400000
ago,1991,3620600000
ago,1992,3975659000
ago,1993,3006300000
ago,1994,3166800000
ago,1995,3835758000
ago,1996,5362659000
ago,1997,5145300000
ago,1998,3664700000
ago,1999,5309510000
ago,2000,8187990000
ago,2001,6736820000
ago,2002,8534680110
ago,2003,9709260555.5
ago,2004,13797769756
ago,2005,24286236864.58999
ago,2006,33346469287.82
ago,2007,44706905586.81999
ago,2008,64243391219.74001
ago,2009,41451146946.8
ago,2010,51451730498.67
ago,2011,68042543017.49188
ago,2012,71873279931.50148
ago,2013,69562221910.0981
ago,2014,60851231669.6018
ago,2015,34437293543.5047
ago,2016,28299767212.9401
ago,2017,35598035284.7832
alb,1980,378100000
alb,1981,430000000
alb,1982,373100000
alb,1983,354000000
alb,1984,334500000
alb,1985,318500000
alb,1986,327300000
alb,1987,333500000
alb,1988,374200000
alb,1989,433900000
alb,1990,353600000
alb,1991,82200000
alb,1992,90300000
alb,1993,189200000
alb,1994,220400000
alb,1995,303700000
alb,1996,372900000
alb,1997,99380000
alb,1998,137130000
alb,1999,389500000
alb,2000,554500000
alb,2001,658200000
alb,2002,667180000
alb,2003,846770660.90475
alb,2004,1249817713.79305
alb,2005,1460772256.90119
alb,2006,1869568360.54437
alb,2007,2464394201.34943
alb,2008,3281842734.12889
alb,2009,3058955246.34378
alb,2010,3324918546.15735
alb,2011,3773677817.45889
alb,2012,3556946492.64955
alb,2013,3700449626.65962
alb,2014,3731055573.79451
alb,2015,3102939345.72801
alb,2016,3439162543.96093
alb,2017,4141086714.11364
arg,1976,4632000000
arg,1977,6602000000
arg,1978,7488000000
arg,1979,9179000000
arg,1980,9897000000
arg,1981,10859000000
arg,1982,9197000000
arg,1983,9290000000
arg,1984,9611000000
arg,1985,10047000000
arg,1986,8449000000
arg,1987,8154000000
arg,1988,11149000000
arg,1989,11766000000
arg,1990,14800000000
