country,year,bx_gsr_totl_cd
abw,1986,253687150.83799
abw,1987,314134078.21229
abw,1988,424469273.74302
abw,1989,472234636.87151
abw,1990,581284916.20112
abw,1991,1369385474.86033
abw,1992,1654860335.19553
abw,1993,1771787709.4972
abw,1994,1930558659.21788
abw,1995,2008715083.79888
abw,1996,2524748603.35195
abw,1997,2565139664.80447
abw,1998,2097374301.67598
abw,1999,1288592178.77095
abw,2000,1868603351.9553
abw,2001,2067949720.67039
abw,2002,1480949720.67039
abw,2003,1798653631.28492
abw,2004,4723581005.58659
abw,2005,5766391335.85861
abw,2006,6088447715.12383
abw,2007,6768659217.8771
abw,2008,7131452513.96648
abw,2009,3549217877.09498
abw,2010,1870558659.21788
abw,2011,6901564245.81005
abw,2012,3187206703.91062
abw,2013,2199751840.22346
abw,2014,2344987256.42458
abw,2015,2486117679.88827
abw,2016,2398252407.26257
afg,1979,615500000
afg,1980,792700000
afg,1981,766300000
afg,1982,798000000
afg,1983,806200000
afg,1984,841500000
afg,1985,697400000
afg,1986,550100000
afg,1987,593500000
afg,1988,546700000
afg,1989,280600000
afg,2008,2004738735.22295
afg,2009,2309826637.12443
afg,2010,2646892033.26868
afg,2011,3343751265.02752
afg,2012,2146432488.68506
afg,2013,1751466658.80664
afg,2014,2094074066.92751
afg,2015,1510243695.87357
afg,2016,1223966169.04973
ago,1985,2430000000
ago,1986,1462000000
ago,1987,2415000000
ago,1988,2620000000
ago,1989,3164000000
ago,1990,4003000000
ago,1991,3635600000
ago,1992,3991351000
ago,1993,3017600000
ago,1994,3179800000
ago,1995,3851690000
ago,1996,5405999000
ago,1997,5257430000
ago,1998,3699170000
ago,1999,5333650000
ago,2000,8222360000
ago,2001,6759790000
ago,2002,8552372416.6
ago,2003,9721520615.5
ago,2004,13830779466
ago,2005,24311987562.29
ago,2006,33491517668.21
ago,2007,45329462968.21999
ago,2008,64665690436.55998
ago,2009,41582480380.92001
ago,2010,51585764935.92001
ago,2011,68252355245.6919
ago,2012,72133100315.09151
ago,2013,70380501721.53999
ago,2014,61496795044.65209
ago,2015,34603647352.9644
ago,2016,28640556800.6453
alb,1980,385500000
alb,1981,442000000
alb,1982,387800000
alb,1983,361700000
alb,1984,338800000
alb,1985,320800000
alb,1986,328100000
alb,1987,334600000
alb,1988,375100000
alb,1989,434300000
alb,1990,353600000
alb,1991,83000000
alb,1992,92900000
alb,1993,254100000
alb,1994,275500000
alb,1995,375700000
alb,1996,456600000
alb,1997,160780000
alb,1998,223200000
alb,1999,475000000
alb,2000,670400000
alb,2001,820700000
alb,2002,815450000
alb,2003,1041539222.0855
alb,2004,1453552162.90299
alb,2005,1687443389.37208
alb,2006,2201687890.04002
alb,2007,2846824201.34943
alb,2008,3751645248.71724
alb,2009,3436203515.21002
alb,2010,3705828913.58367
alb,2011,4078342369.45485
alb,2012,3799688872.11812
alb,2013,4070006912.82372
alb,2014,4179537815.70671
alb,2015,3520749136.35588
alb,2016,3892770727.92866
arg,1976,4691000000
arg,1977,6738000000
arg,1978,7836000000
arg,1979,9916000000
arg,1980,11202000000
arg,1981,11805000000
arg,1982,9755000000
arg,1983,9764000000
arg,1984,9909000000
arg,1985,10329000000
arg,1986,8841000000
arg,1987,8406000000
arg,1988,11360000000
arg,1989,12042000000
arg,1990,16654000000
arg,1991,16132000000
arg,1992,17740679690.7487
arg,1993,18821539432.6
arg,1994,22835777307
arg,1995,29324812447.025
arg,1996,32868611331.0929
arg,1997,36490952850.2885
arg,1998,37389629537.7319
arg,1999,34072430573.5184
arg,2000,38657070742.8605
arg,2001,36474696527.75659
arg,2002,32093670000
arg,2003,37439900000.00001
arg,2004,43478019999.99999
arg,2005,51204020000
arg,2006,60213128417.11191
arg,2007,72746977098.8969
arg,2008,87208615201.963
arg,2009,69866766023.34848
arg,2010,83888208132.8251
arg,2011,100852552853.97401
arg,2012,96586241540.67751
arg,2013,92034825145.16321
arg,2014,84398577454.34131
arg,2015,72381928419.36209
arg,2016,73663667559.86382
arm,1993,173470000
arm,1994,229020000
arm,1995,357751040
arm,1996,447789357.82188
arm,1997,474062773.80822
arm,1998,462193581.19109
arm,1999,479368786.63242
arm,2000,557854584.68917
arm,2001,665720600.88456
arm,2002,884142112.1502
arm,2003,1147694288.01234
arm,2004,1511732725.63406
arm,2005,1943703724.84209
arm,2006,2302670548.11901
arm,2007,2924909839.69892
arm,2008,3076880999.96319
arm,2009,2435101657.5018
arm,2010,3259762075.98752
arm,2011,3807748403.31919
arm,2012,4032591598.93567
arm,2013,4414406842.36423
arm,2014,4531263614.29491
arm,2015,4022253780.2782
arm,2016,4351375269.37861
atg,1977,31600000
atg,1978,42200000
atg,1979,51000000
atg,1980,106900000
atg,1981,107100000
atg,1982,107600000
atg,1983,104300000
atg,1984,172400000
atg,1985,181000000
atg,1986,207329629.62963
atg,1987,228400000
atg,1988,266959259.25926
atg,1989,292140740.74074
atg,1990,347788888.88889
atg,1991,372522222.22222
atg,1992,411070370.37037
atg,1993,442277777.77778
atg,1994,440714814.81482
atg,1995,406814814.81481
atg,1996,408314814.81481
atg,1997,446996296.2963
atg,1998,478785185.18518
atg,1999,484526552.96296
atg,2000,482383391.11111
atg,2001,464016296.2963
atg,2002,435953768.14815
atg,2003,471248371.11111
atg,2004,545510517.03704
atg,2005,563228077.77778
atg,2006,574877212.96296
atg,2007,607078164.07407
atg,2008,641475825.55555
atg,2009,574729269.62963
atg,2010,534969908.14815
atg,2011,547981720.74074
atg,2012,552059917.03704
atg,2013,539821382.96296
atg,2014,1042712673.61877
atg,2015,1052857958.1345
atg,2016,1052722083.86709
aus,1989,50246690313.02279
aus,1990,54113174389.63711
aus,1991,57337587295.6856
aus,1992,58333974591.4988
aus,1993,59500174922.71239
aus,1994,67017433121.7764
aus,1995,76255068274.21609
aus,1996,87243283648.98288
aus,1997,92607825445.92601
aus,1998,80279189958.57422
aus,1999,83249984025.88901
aus,2000,94027773391.64508
aus,2001,90769749908.41071
aus,2002,94387840252.4989
aus,2003,106294577827.59299
aus,2004,131584831384.86002
aus,2005,157277206579.26096
aus,2006,184047067669.92102
aus,2007,220969655606.79599
aus,2008,277393422499.06201
aus,2009,226171085028.888
aus,2010,300299664182.67297
aus,2011,372114218126.87604
aus,2012,359590135497.97205
aus,2013,353487712787.48596
aus,2014,341297798517.07098
aus,2015,275782813272.422
aus,2016,290096210096.27704
aut,2005,184973007421.97894
aut,2006,210232831512.39398
aut,2007,258155807310.98694
aut,2008,283465994576.95599
aut,2009,222808608562.12799
aut,2010,237695822696.67102
aut,2011,278565974589.07605
aut,2012,261264913392.00696
aut,2013,256749171127.05603
aut,2014,266343007266.97202
aut,2015,219573551042.18399
aut,2016,233777827782.25797
aze,1995,794633000
aze,1996,807981000
aze,1997,1172833000
aze,1998,1047722000
aze,1999,1293062000
aze,2000,2174015000
aze,2001,2410233000
aze,2002,2692274000
aze,2003,3090917000
aze,2004,4188596000
aze,2005,8341331000
aze,2006,13994393000
aze,2007,22682991000
aze,2008,32484232000
aze,2009,23310691000
aze,2010,28910312000
aze,2011,38057559000.00001
aze,2012,37837472000
aze,2013,36941498000
aze,2014,34230672000
aze,2015,21288283000
aze,2016,18499727000
bdi,1985,128361121.29616
bdi,1986,142943375.1835
bdi,1987,113172273.97985
bdi,1988,139164500.16026
bdi,1989,117447478.9916
bdi,1990,97661144.53801
bdi,1991,128272098.67452
bdi,1992,108420119.44158
bdi,1993,99686959.3871
bdi,1994,103675852.17434
bdi,1995,139727535.70964
bdi,1996,57361490.35497
bdi,1997,97018643.82327
bdi,1998,72089243.07534
bdi,1999,61317954.97394
bdi,2000,55410264.47489
bdi,2001,46240676.65974
bdi,2002,39380857.17688
bdi,2003,46101217.41701
bdi,2004,65547370.33336
bdi,2005,98744965.49252
bdi,2006,97780313.20386
bdi,2007,98301026.19592
bdi,2008,163850385.39417
bdi,2009,119721016.24763
bdi,2010,181856512.77204
bdi,2011,243125987.91506
bdi,2012,235581819.65495
bdi,2013,235021576.98184
bdi,2014,220018642.00032
bdi,2015,193458567.61305
bdi,2016,193246190.48003
bel,2002,231975464419.69296
bel,2003,258563821335.009
bel,2004,310181164903.49194
bel,2005,344348161671.18207
bel,2006,381695453767.82202
bel,2007,461857114349.85596
bel,2008,521488562314.56995
bel,2009,409266725238.95605
bel,2010,440580479346.5459
bel,2011,498146106745.75891
bel,2012,479494361331.47809
bel,2013,495785959332.09601
bel,2014,503713563310.91803
bel,2015,417670141898.18805
bel,2016,442479960506.59088
ben,1974,119071226.50037
ben,1975,147727924.68205
ben,1976,119878387.72991
ben,1977,165027888.81983
ben,1978,168163148.79063
ben,1979,182313370.76431
ben,1980,241301151.45278
ben,1981,465422750.34053
ben,1982,194022479.71953
ben,1983,187411086.92086
ben,1984,289493237.89781
ben,1985,342115893.71248
ben,1986,383187230.24345
ben,1987,460509692.71125
ben,1988,309286053.02778
ben,1989,293959436.63703
ben,1990,376084255.21831
ben,1991,543594627.46772
ben,1992,535263274.48845
ben,1993,577854249.98217
ben,1994,558884142.06141
ben,1995,637738362.94325
ben,1996,685560226.56988
ben,1997,565414968.87074
ben,1998,587673628.5
ben,1999,625982042.1777
ben,2000,551852096.91727
ben,2001,543013356.27105
ben,2002,620794724.72833
ben,2003,735918735.41204
ben,2004,807051598.85423
ben,2005,797284548.28705
ben,2006,976360024.05929
ben,2007,1385914952.0314
ben,2008,1675121027.91343
ben,2009,1488594679.18111
ben,2010,1707389931.62919
ben,2011,1765497659.44436
ben,2012,1968767239.42251
ben,2013,2650541313.95273
ben,2014,3197445649.32658
ben,2015,2129608359.18067
ben,2016,2238690836.61641
bfa,2005,583197306.1799
bfa,2006,728168295.78853
bfa,2007,803944721.39253
bfa,2008,1069154490.82983
bfa,2009,1140431246.19119
bfa,2010,1980770270.51536
bfa,2011,2913210037.65245
bfa,2012,3393230013.01274
bfa,2013,3280488517.43903
bfa,2014,3366473830.03945
bfa,2015,2912109808.87266
bfa,2016,3445716970.8781
bgd,1976,483588161.4867
bgd,1977,567120159.74564
bgd,1978,684784580.74618
bgd,1979,852604342.47857
bgd,1980,1081034789.04313
bgd,1981,1043424141.64224
bgd,1982,1015542802.0184
bgd,1983,975782628.6782
bgd,1984,1207351321.42226
