geo,time,bm_gsr_trvl_zs
abw,1986,24.41989
abw,1987,34.4306
abw,1988,27.12975
abw,1989,28.38818
abw,1990,29.85507
abw,1991,32.04837
abw,1992,32.05173
abw,1993,34.06013
abw,1994,28.46323
abw,1995,6.66189
abw,1996,6.68997
abw,1997,8.345
abw,1998,12.19969
abw,1999,20.97666
abw,2000,22.55146
abw,2001,21.94969
abw,2002,25.95525
abw,2003,25.80065
abw,2004,33.75868
abw,2005,31.73597
abw,2006,28.83337
abw,2007,31.90839
abw,2008,31.52488
abw,2009,35.04074
abw,2010,35.72368
abw,2011,31.94224
abw,2012,33.41239
abw,2013,35.79846
abw,2014,36.06408
abw,2015,38.88547
abw,2016,36.7467
afg,1980,2.01669
afg,1981,1.47149
afg,1982,1.35328
afg,1983,1.79283
afg,1984,1.27421
afg,1985,1.03829
afg,2008,6.35748
afg,2009,8.29349
afg,2010,10.1598
afg,2011,16.22068
afg,2012,6.01921
afg,2013,8.62791
afg,2014,10.05697
afg,2015,14.59861
afg,2016,8.92253
afg,2017,10.86748
ago,1985,5.30421
ago,1986,2.21465
ago,1987,3.5461
ago,1988,1.32275
ago,1989,3.14894
ago,1990,2.11365
ago,1991,3.54521
ago,1992,3.6526
ago,1993,4.20001
ago,1994,5.59857
ago,1995,3.6694
ago,1996,3.03104
ago,1997,3.74297
ago,1998,2.83776
ago,1999,4.88561
ago,2000,5.05025
ago,2001,1.88737
ago,2002,0.58479
ago,2003,0.36436
ago,2004,0.80874
ago,2005,1.09021
ago,2006,1.96663
ago,2007,1.67624
ago,2008,1.14773
ago,2009,0.69127
ago,2010,0.78969
ago,2011,0.76212
ago,2012,0.71738
ago,2013,0.72131
ago,2014,0.45305
ago,2015,0.84679
ago,2016,4.70762
alb,1992,1.3468
alb,1993,4.38542
alb,1994,4.22642
alb,1995,4.21725
alb,1996,6.2302
alb,1997,4.16621
alb,1998,4.06963
alb,1999,7.54139
alb,2000,63.40554
alb,2001,57.95992
alb,2002,61.92033
alb,2003,60.93307
alb,2004,60.81755
alb,2005,56.84653
alb,2006,61.30855
alb,2007,65.89277
alb,2008,65.57358
alb,2009,71.01852
alb,2010,67.82974
alb,2011,69.60296
alb,2012,68.63559
alb,2013,74.72496
alb,2014,76.87146
alb,2015,74.24958
alb,2016,71.26944
alb,2017,71.06075
arg,1976,15.49865
arg,1977,19.44157
arg,1978,38.01813
arg,1979,44.9538
arg,1980,47.30729
arg,1981,42.83634
arg,1982,27.99802
arg,1983,22.79676
arg,1984,26.21232
arg,1985,30.6813
arg,1986,35.52
arg,1987,34.68433
arg,1988,36.08438
arg,1989,36.30505
arg,1990,37.53205
arg,1991,43.39905
arg,1992,48.88772
arg,1993,50.66137
arg,1994,47.78384
arg,1995,45.33247
arg,1996,45.19988
arg,1997,44.23266
arg,1998,45.64988
arg,1999,47.66771
arg,2000,48.20417
arg,2001,46.14121
arg,2002,47.85223
arg,2003,44.92094
arg,2004,39.98547
arg,2005,37.21143
arg,2006,35.82655
arg,2007,35.68665
arg,2008,33.60581
arg,2009,36.18473
arg,2010,33.86063
arg,2011,32.10687
arg,2012,33.34783
arg,2013,31.20811
arg,2014,33.16889
arg,2015,36.69039
arg,2016,42.99769
arg,2017,43.84464
arm,1993,0.71649
arm,1994,1.5916
arm,1995,4.33558
arm,1996,15.00078
arm,1997,22.76446
arm,1998,21.21153
arm,1999,18.81968
arm,2000,19.33151
arm,2001,13.44612
arm,2002,17.78246
arm,2003,18.96372
arm,2004,32.21691
arm,2005,35.82201
arm,2006,38.81215
arm,2007,39.69796
arm,2008,37.83663
arm,2009,41.72905
arm,2010,45.42691
arm,2011,49.91468
arm,2012,53.37912
arm,2013,56.52894
arm,2014,59.05885
arm,2015,61.9322
arm,2016,63.48167
arm,2017,64.86526
atg,1977,32.30769
atg,1978,34.23138
atg,1979,32.09654
atg,1980,18.14437
atg,1981,22.28893
atg,1982,26.87028
atg,1983,33.9141
atg,1984,43.41676
atg,1985,34.89583
atg,1986,17.39786
atg,1987,18.24241
atg,1988,19.54603
atg,1989,17.60611
atg,1990,17.12705
atg,1991,18.33456
atg,1992,18.11971
atg,1993,18.28566
atg,1994,17.87348
atg,1995,15.65278
atg,1996,16.5604
atg,1997,16.26912
atg,1998,17.12921
atg,1999,17.12009
atg,2000,19.67293
atg,2001,18.65801
atg,2002,19.30232
atg,2003,19.08397
atg,2004,19.73682
atg,2005,17.61632
atg,2006,17.524
atg,2007,18.27444
atg,2008,20.67261
atg,2009,23.53876
atg,2010,22.50151
atg,2011,23.24791
atg,2012,23.95416
atg,2013,22.93812
atg,2014,16.97611
atg,2015,17.95103
atg,2016,17.58761
aus,1989,28.23031
aus,1990,29.79166
aus,1991,27.82317
aus,1992,27.73978
aus,1993,26.44581
aus,1994,26.96359
aus,1995,28.89064
aus,1996,30.56498
aus,1997,31.75958
aus,1998,32.00941
aus,1999,32.16375
aus,2000,33.03338
aus,2001,32.82376
aus,2002,32.25805
aus,2003,32.94414
aus,2004,37.63468
aus,2005,37.83384
aus,2006,37.6828
aus,2007,39.03089
aus,2008,39.47798
aus,2009,43.69043
aus,2010,43.72663
aus,2011,43.86765
aus,2012,42.05679
aus,2013,42.14072
aus,2014,41.92031
aus,2015,41.15381
aus,2016,47.33916
aus,2017,50.53034
aut,2005,26.01862
aut,2006,27.33901
aut,2007,25.72935
aut,2008,25.25198
aut,2009,27.70678
aut,2010,26.11655
aut,2011,23.70724
aut,2012,22.64237
aut,2013,20.09059
aut,2014,20.09677
aut,2015,19.56397
aut,2016,19.93303
aut,2017,19.25893
aze,1995,47.78804
aze,1996,22.60962
aze,1997,25.66389
aze,1998,24.19657
aze,1999,28.62078
aze,2000,27.16565
aze,2001,16.38167
aze,2002,8.07429
aze,2003,5.44378
aze,2004,4.61194
aze,2005,6.16673
aze,2006,6.85217
aze,2007,7.78595
aze,2008,8.75462
aze,2009,11.04104
aze,2010,19.88843
aze,2011,28.92391
aze,2012,33.33778
aze,2013,34.57494
