geo,time,ip_tmk_nres
abw,1989,1848
abw,1992,574
abw,2002,491
ago,1992,1883
alb,1994,33
alb,1995,1254
alb,1996,2068
alb,1997,2380
alb,1998,2337
alb,1999,2299
alb,2000,2502
alb,2001,2470
alb,2002,2118
alb,2003,2212
alb,2004,2582
alb,2005,3062
alb,2006,3274
alb,2007,3523
alb,2008,3808
alb,2009,3243
alb,2010,3079
alb,2011,3122
alb,2012,2183
alb,2013,2564
alb,2014,2592
alb,2015,2520
alb,2016,2609
and,1996,2285
and,1997,7139
and,1998,1906
and,1999,915
and,2000,892
and,2001,978
and,2002,485
and,2003,601
and,2004,539
and,2005,502
and,2006,637
and,2007,812
and,2008,696
and,2009,542
and,2010,689
and,2011,578
and,2012,438
and,2014,705
and,2015,863
and,2016,767
are,2011,12851
are,2012,12668
are,2013,13454
are,2014,13329
are,2015,14990
are,2016,13578
arg,1967,6550
arg,1968,6856
arg,1969,9226
arg,1970,8231
arg,1971,4033
arg,1972,4213
arg,1973,4060
arg,1974,3482
arg,1975,2689
arg,1976,2630
arg,1977,3311
arg,1978,4198
arg,1979,5276
arg,1980,6818
arg,1981,7075
arg,1982,5161
arg,1983,4484
arg,1986,7216
arg,1987,7611
arg,1988,8165
arg,1989,8237
arg,1990,14475
arg,1991,9703
arg,1992,10596
arg,1993,10650
arg,1994,13551
arg,1995,17788
arg,1996,14279
arg,1997,17410
arg,1998,19439
arg,1999,19342
arg,2000,18947
arg,2001,12996
arg,2002,12091
arg,2003,19373
arg,2004,16748
arg,2005,19754
arg,2006,19428
arg,2007,17890
arg,2008,23303
arg,2009,18410
arg,2010,19454
arg,2011,20148
arg,2012,15772
arg,2013,15004
arg,2014,14352
arg,2015,14070
arg,2016,15319
arm,1992,1
arm,1994,465
arm,1995,3393
arm,1996,3884
arm,1997,2433
arm,1998,2605
arm,1999,2192
arm,2000,2376
arm,2001,2436
arm,2002,1940
arm,2003,2146
arm,2004,2569
arm,2005,2603
arm,2006,2855
arm,2007,3540
arm,2008,3252
arm,2009,2836
arm,2010,3042
