geo,time,ne_dab_totl_zs
abw,1995,101.58018
abw,1996,102.05941
abw,1997,103.67664
abw,1998,104.00835
abw,1999,104.67571
abw,2000,96.28804
abw,2001,98.05063
abw,2002,104.46043
abw,2003,107.76672
abw,2004,103.48458
abw,2005,109.39597
abw,2006,112.25806
abw,2007,110.66012
abw,2008,110.50061
abw,2009,112.49721
abw,2010,116.54592
abw,2011,115.97283
abw,2012,117.19198
abw,2013,113.95802
abw,2014,109.88826
abw,2015,106.0191
abw,2016,104.79105
abw,2017,104.42698
afg,1960,102.89256
afg,1961,103.64372
afg,1962,104.47155
afg,1963,107.69231
afg,1964,109.16666
afg,1965,110.15453
afg,1966,110
afg,1967,107.43691
afg,1968,106.31068
afg,1969,104.88959
afg,1970,102.16011
afg,1971,105.21844
afg,1972,103.34263
afg,1973,101.79488
afg,1974,100.82475
afg,1975,101.59625
afg,1976,101.65218
afg,1977,103.16027
afg,1978,103.0303
afg,2002,144.67982
afg,2003,160.27747
afg,2004,158.65796
afg,2005,156.95793
afg,2006,155.98478
afg,2007,147.78084
afg,2008,148.54846
afg,2009,131.63488
afg,2010,132.50148
afg,2011,125.93157
afg,2012,115.87292
afg,2013,112.96463
afg,2014,113.34576
afg,2015,116.50651
afg,2016,112.85476
afg,2017,112.01852
ago,2000,73.17545
ago,2001,99.55791
ago,2002,91.1316
ago,2003,95.25855
ago,2004,86.81921
ago,2005,75.53843
ago,2006,67.68943
ago,2007,72.2485
ago,2008,76.41465
ago,2009,104.93154
ago,2010,81.03741
ago,2011,78.64261
ago,2012,79.91984
ago,2013,85.31776
ago,2014,89.94287
ago,2015,103.37932
ago,2016,97.12119
ago,2017,94.24862
alb,1980,103.22126
alb,1981,102.08094
alb,1982,108.26688
alb,1983,106.30806
alb,1984,105.63656
alb,1985,105.89622
alb,1986,104.06881
alb,1987,103.74394
alb,1988,106.58328
alb,1989,106.51483
alb,1990,112.22897
alb,1991,124.70302
alb,1992,192.56881
alb,1993,152.16778
alb,1994,134.70271
alb,1995,126.69498
alb,1996,125.5074
alb,1997,129.78275
alb,1998,127.81494
alb,1999,122.02913
alb,2000,125.54453
alb,2001,128.55166
alb,2002,130.03047
alb,2003,132.87863
alb,2004,126.28915
alb,2005,125.45094
alb,2006,127.55316
alb,2007,130.98574
alb,2008,129.25114
alb,2009,126.53007
alb,2010,119.57544
alb,2011,120.68715
alb,2012,117.14024
alb,2013,119.1074
alb,2014,117.91386
alb,2015,117.62447
alb,2016,118.22212
alb,2017,116.2936
are,2001,91.54587
are,2002,94.06496
are,2003,90.45399
are,2004,89.48709
are,2005,84.38241
are,2006,82.21504
are,2007,92.02996
are,2008,90.77781
are,2009,94.15513
are,2010,85.83304
are,2011,72.23465
are,2012,64.49839
are,2013,64.2781
are,2014,69.82015
are,2015,73.48027
are,2016,74.74162
are,2017,72.04277
arg,1960,102.51571
arg,1961,97.86714
arg,1962,100.97707
arg,1963,100.28625
arg,1964,97.37466
arg,1965,97.92471
arg,1966,98.33677
arg,1967,97.50147
arg,1968,98.91926
arg,1969,100.00001
arg,1970,99.13432
arg,1971,100.60072
arg,1972,99.64011
arg,1973,98.09683
arg,1974,99.38644
arg,1975,100.15483
arg,1976,96.74621
arg,1977,97.7105
arg,1978,97.10701
arg,1979,99.8188
arg,1980,101.42173
arg,1981,100.45088
arg,1982,97.4305
arg,1983,96.68463
arg,1984,97.16659
arg,1985,94.53723
arg,1986,98.16208
arg,1987,99.70256
arg,1988,96.68023
arg,1989,93.52114
arg,1990,94.27178
arg,1991,98.40296
arg,1992,101.5346
arg,1993,102.40445
arg,1994,103.07443
arg,1995,100.41065
arg,1996,100.64928
arg,1997,102.21444
arg,1998,102.5189
arg,1999,101.7284
arg,2000,100.64969
arg,2001,98.69422
arg,2002,84.98758
arg,2003,88.78283
arg,2004,92.99741
arg,2005,94.05952
arg,2006,94.38009
arg,2007,95.61967
arg,2008,96.28087
arg,2009,94.93516
arg,2010,97.10337
arg,2011,98.30774
arg,2012,98.05082
arg,2013,100.09958
arg,2014,99.59584
arg,2015,101.07492
arg,2016,100.95425
arg,2017,102.6577
arm,1990,114.07275
arm,1991,115.57284
arm,1992,114.32026
arm,1993,120.45842
arm,1994,133.77275
arm,1995,138.25902
arm,1996,132.74955
arm,1997,138.00133
arm,1998,133.83641
arm,1999,129.04402
arm,2000,127.16797
arm,2001,120.68041
arm,2002,117.23032
