geo,time,fm_lbl_bmny_cn
abw,1985,281100000
abw,1986,315700000
abw,1987,447900000
abw,1988,526100000
abw,1989,649100000
abw,1990,761200000
abw,1991,889392000
abw,1992,1000642000
abw,1993,1064622000
abw,1994,1198663000
abw,1995,1261308000
abw,1996,1301056000
abw,1997,1360779000
abw,1998,1538793000
abw,1999,1699089000
abw,2000,1738261000
abw,2001,1840600000
abw,2002,2033600000
abw,2003,2214100000
abw,2004,2285300000
abw,2005,2426800000
abw,2006,2484400000
abw,2007,2566400000
abw,2008,2991500000
abw,2009,3163500000
abw,2010,3154600000
abw,2011,3158600000
abw,2013,3292000000
abw,2014,3476300000
abw,2015,3804900000
abw,2016,4166400000
afg,1960,3255000000
afg,1961,3590000000
afg,1962,4230000000
afg,1963,4889000000
afg,1964,6008000000
afg,1965,7055000000
afg,1966,7061000000
afg,1967,7035000000
afg,1968,8213500000
afg,1969,9692000000
afg,1970,10391000000
afg,1971,11566000000
afg,1972,13178000000
afg,1973,14183500000
afg,1974,16094500000
afg,1975,18099200000
afg,1976,22478500000
afg,1977,28771600000
afg,1978,33450700000
afg,1979,39660499999.99999
afg,1980,46344600000
afg,1981,54431650000
afg,1982,64206870000
afg,1984,81909449999.99998
afg,1985,90435820000
afg,1986,101586160000
afg,1987,153080670000
afg,1988,205940700000
afg,1989,282461360000
afg,1990,397125350000.00006
afg,2006,81247948057.00002
afg,2007,115693148892.64302
afg,2008,152002075158.00998
afg,2009,202231264209.67996
afg,2010,256726781225.91501
afg,2011,311433123272.22009
afg,2012,338614163696.31897
afg,2013,372186008444.94397
afg,2014,402465467443.89893
afg,2015,414857467601.45795
afg,2016,455204132993.23395
afg,2017,473856695389.00604
ago,1995,5478652.043
ago,1996,230408701.1
ago,1997,396174648.9
ago,1998,624561942.9
ago,1999,3923462686.65
ago,2000,15840411639.28
ago,2001,41660774283.55999
ago,2002,106793512283.31802
ago,2003,179518093989.35098
ago,2004,266677656751.02301
ago,2005,428566980082.89001
ago,2006,685068282991.18005
ago,2007,1023638868705.58997
ago,2008,2094018359082.64941
ago,2009,2543723059447.95068
ago,2010,2678230070993.43018
ago,2011,3673111017825.33008
ago,2012,3853026880550.06055
ago,2013,4398099013490.81934
ago,2014,5110115937912.12793
ago,2015,5711899207270.5
ago,2016,6528854712465.37988
ago,2017,6521678471757.86035
alb,1994,70774400000
alb,1995,107449600000
alb,1996,154552000000
alb,1997,198546800000
alb,1998,239525582000.00003
alb,1999,292870584000
alb,2000,328100755000
alb,2001,393413986960.12994
alb,2002,408129153406.36487
alb,2003,443527430907.01404
alb,2004,503231628092.823
alb,2005,574314175624.68005
alb,2006,666467427984.979
alb,2007,757605287857.19971
alb,2008,815704632038.63293
alb,2009,871469477578.72107
