geo,time,fm_lbl_bmny_gd_zs
abw,1986,43.49806
abw,1987,51.3171
abw,1988,49.27884
abw,1989,52.15352
abw,1990,55.59662
abw,1991,56.9711
abw,1992,58.3244
abw,1993,54.91893
abw,1994,53.75696
abw,1995,53.36272
abw,1996,52.67156
abw,1997,49.62399
abw,1998,51.62817
abw,1999,55.09707
abw,2000,51.83454
abw,2001,53.55252
abw,2002,58.52086
abw,2003,61.19679
abw,2004,57.29005
abw,2005,58.16874
abw,2006,57.24424
abw,2007,54.82589
abw,2008,60.87709
abw,2009,70.72435
abw,2010,73.72283
abw,2011,69.20684
abw,2012,75.36257
abw,2013,71.23999
abw,2014,73.29327
abw,2015,78.9726
abw,2016,87.93584
abw,2017,87.70997
afg,1960,13.45041
afg,1961,14.53441
afg,1962,17.19512
afg,1963,14.4645
afg,1964,16.68889
afg,1965,15.57395
afg,1966,11.20794
afg,1967,9.34263
afg,1968,13.29045
afg,1969,15.28707
afg,1970,13.20332
afg,1971,14.03642
afg,1972,18.35376
afg,1973,18.18398
afg,1974,16.59227
afg,1975,16.99455
afg,1976,19.54652
afg,1977,21.64906
afg,1978,22.52572
afg,1979,24.54239
afg,1980,28.85716
afg,1981,31.60955
afg,2006,23.34386
afg,2007,23.83366
afg,2008,29.51228
afg,2009,33.06096
afg,2010,35.35056
afg,2011,36.62423
afg,2012,32.91369
afg,2013,32.68202
afg,2014,34.2096
afg,2015,33.92805
afg,2016,34.63739
afg,2017,34.44821
afg,2018,34.69973
ago,1995,36.48713
ago,1996,27.57757
ago,1997,22.61548
ago,1998,24.43704
ago,1999,22.84935
ago,2000,17.28056
ago,2001,21.13571
ago,2002,16.04988
ago,2003,13.50837
ago,2004,13.55365
ago,2005,13.29982
ago,2006,16.27333
ago,2007,20.44687
ago,2008,31.5205
ago,2009,45.60817
ago,2010,34.77475
ago,2011,34.97887
ago,2012,31.51773
ago,2013,33.33155
ago,2014,35.67555
ago,2015,40.94466
ago,2016,39.16231
ago,2017,32.18652
ago,2018,29.37185
alb,1994,39.76496
alb,1995,48.44364
alb,1996,46.22335
alb,1997,59.92523
alb,1998,62.23894
alb,1999,66.02227
alb,2000,65.46317
alb,2001,69.82249
alb,2002,66.85225
alb,2003,65.44236
alb,2004,68.22041
alb,2005,71.41761
alb,2006,76.36567
alb,2007,78.4659
alb,2008,75.48053
alb,2009,76.18161
alb,2010,79.07744
alb,2011,82.27973
alb,2012,84.28877
alb,2013,85.10631
alb,2014,85.65083
alb,2015,84.7922
alb,2016,85.80495
alb,2017,81.66991
alb,2018,77.51086
are,1975,15.12562
are,1976,22.05843
are,1977,16.00657
are,1978,19.09551
are,1979,15.29405
are,1980,14.55512
are,1981,16.06467
are,1982,19.65872
are,1983,23.12841
are,1984,30.53852
are,1985,33.46829
are,1986,41.79236
are,1987,41.1323
are,1988,43.67138
are,1989,41.51152
are,1990,31.16615
are,1991,35.10949
are,1992,34.9105
are,1993,33.50392
are,1994,33.90673
are,1995,33.71149
are,1996,32.1912
are,1997,32.75712
are,1998,35.54481
are,1999,35.50138
are,2000,33.13569
are,2001,40.8092
are,2002,42.43194
are,2003,43.16015
are,2004,44.92406
are,2005,48.03536
are,2006,48.16231
are,2007,58.65211
are,2008,58.15073
are,2009,78.19942
are,2010,72.71481
are,2011,63.14301
are,2012,61.76244
are,2013,72.79443
are,2014,76.01567
are,2015,90.23502
are,2016,93.45715
are,2017,92.00003
are,2018,86.02038
arg,1960,21.13925
arg,1961,16.606
arg,1962,14.31012
arg,1963,16.01762
arg,1964,15.96786
arg,1965,15.12888
arg,1966,15.95037
arg,1967,18.42667
arg,1968,20.41522
arg,1969,20.87809
arg,1970,22.99617
arg,1971,18.0217
arg,1972,22.67296
arg,1973,23.26093
arg,1974,26.07638
arg,1975,22.16232
arg,1976,19.05432
arg,1977,22.47231
arg,1978,24.54097
arg,1979,25.86769
arg,1980,24.95573
arg,1981,23.41156
arg,1982,21.24288
arg,1983,21.02594
arg,1984,21.97478
arg,1985,17.30336
arg,1986,19.58474
arg,1987,22.05262
arg,1988,25.14761
arg,1989,20.10466
arg,1990,11.48109
arg,1991,10.55678
arg,1992,13.69144
arg,1993,19.21862
arg,1994,20.77029
arg,1995,20.14127
arg,1996,22.69048
arg,1997,26.47018
arg,1998,28.65068
arg,1999,31.44368
arg,2000,31.84862
arg,2001,27.13925
arg,2002,27.92707
arg,2003,30.10406
arg,2004,28.32565
arg,2005,28.66331
arg,2006,28.04961
arg,2007,27.86432
arg,2008,23.49367
arg,2009,25.32274
arg,2010,25.3131
arg,2011,24.32882
arg,2012,27.09466
arg,2013,27.12687
arg,2014,25.75254
arg,2015,27.64081
arg,2016,28.31388
arg,2017,28.4702
arm,1992,79.87205
arm,1993,69.11378
arm,1994,13.09741
arm,1995,7.70715
arm,1996,8.22291
arm,1997,8.73356
arm,1998,10.05222
arm,1999,11.08461
arm,2000,14.70451
arm,2001,13.44965
arm,2002,15.5516
arm,2003,14.39196
arm,2004,14.98698
arm,2005,16.29839
arm,2006,18.28698
arm,2007,21.9524
arm,2008,19.83584
arm,2009,25.94146
arm,2010,26.33909
arm,2011,29.83045
arm,2012,31.55695
arm,2013,33.9222
arm,2014,34.6723
arm,2015,36.79246
arm,2016,43.02293
arm,2017,46.41542
arm,2018,46.21263
atg,1977,48.99847
atg,1978,47.71441
atg,1979,44.39047
atg,1980,40.96389
atg,1981,42.22158
atg,1982,43.09447
atg,1983,48.15154
atg,1984,44.47921
atg,1985,42.84832
atg,1986,41.98864
atg,1987,49.36926
atg,1988,49.2323
atg,1989,50.6934
atg,1990,50.17119
atg,1991,55.20637
atg,1992,58.63942
atg,1993,58.66094
atg,1994,57.99851
atg,1995,70.89135
atg,1996,63.21545
atg,1997,63.06704
atg,1998,67.7078
atg,1999,80.29403
atg,2000,78.59055
atg,2001,85.49633
atg,2002,88.53959
atg,2003,97.42556
atg,2004,96.21298
atg,2005,94.21158
atg,2006,92.88158
atg,2007,91.26035
atg,2008,90.34565
atg,2009,91.09603
atg,2010,97.32618
atg,2011,99.71275
atg,2012,96.97998
atg,2013,99.82199
atg,2014,95.68062
atg,2015,94.65948
atg,2016,86.9807
atg,2017,91.28935
atg,2018,89.20476
aus,1960,44.61538
aus,1961,44.18224
aus,1962,47.10674
aus,1963,48.12643
aus,1964,48.60267
aus,1965,46.82931
aus,1966,47.99737
aus,1967,46.93427
aus,1968,46.74804
aus,1969,45.66135
aus,1970,42.59857
aus,1971,42.33145
aus,1972,45.91359
aus,1973,49.80381
aus,1974,44.87142
aus,1975,45.82071
aus,1976,43.96316
aus,1977,40.34276
aus,1978,40.81701
aus,1979,40.30501
aus,1980,40.54001
aus,1981,39.35909
aus,1982,37.71129
aus,1983,39.64522
aus,1984,39.26932
aus,1985,42.04892
aus,1986,41.59699
aus,1987,43.96202
aus,1988,45.72664
aus,1989,52.79555
aus,1990,54.17662
aus,1991,53.41213
aus,1992,56.27245
aus,1993,56.68383
aus,1994,59.33589
aus,1995,60.63942
aus,1996,62.89607
aus,1997,64.12825
aus,1998,65.65562
aus,1999,69.55049
aus,2000,67.67536
aus,2001,70.39762
aus,2002,70.4369
aus,2003,74.79538
aus,2004,77.52098
aus,2005,78.51807
aus,2006,83.63054
