geo,time,ic_elc_time
afg,2009,424
afg,2010,196
afg,2011,114
afg,2012,114
afg,2013,114
afg,2014,114
afg,2015,114
afg,2016,114
afg,2017,114
ago,2009,159
ago,2010,159
ago,2011,159
ago,2012,145
ago,2013,145
ago,2014,145
ago,2015,145
ago,2016,145
ago,2017,121
alb,2009,177
alb,2010,177
alb,2011,177
alb,2012,177
alb,2013,177
alb,2014,177
alb,2015,177
alb,2016,134
alb,2017,134
are,2009,55
are,2010,55
are,2011,55
are,2012,40
are,2013,35
are,2014,35
are,2015,32
are,2016,28
are,2017,10
arg,2009,91
arg,2010,91
arg,2011,91
arg,2012,91
arg,2013,91
arg,2014,92
arg,2015,92
arg,2016,92
arg,2017,92
arm,2009,235
arm,2010,235
arm,2011,235
arm,2012,235
arm,2013,180
arm,2014,180
arm,2015,138
arm,2016,138
arm,2017,127
atg,2009,42
atg,2010,42
atg,2011,42
atg,2012,42
atg,2013,42
atg,2014,42
atg,2015,42
atg,2016,42
atg,2017,42
aus,2009,75
aus,2010,75
aus,2011,75
aus,2012,75
aus,2013,75
aus,2014,75
aus,2015,75
aus,2016,75
aus,2017,75
aut,2009,23
aut,2010,23
aut,2011,23
aut,2012,23
aut,2013,23
aut,2014,23
aut,2015,23
aut,2016,23
aut,2017,23
aze,2009,174
aze,2010,174
aze,2011,174
aze,2012,174
aze,2013,97
aze,2014,87
aze,2015,77
aze,2016,69
aze,2017,69
bdi,2009,188
bdi,2010,188
bdi,2011,188
bdi,2012,188
bdi,2013,158
bdi,2014,158
bdi,2015,158
bdi,2016,158
bdi,2017,158
bel,2009,201
bel,2010,201
bel,2011,201
bel,2012,201
bel,2013,201
bel,2014,201
bel,2015,201
bel,2016,201
bel,2017,201
ben,2009,172
ben,2010,172
ben,2011,158
ben,2012,158
ben,2013,158
ben,2014,90
ben,2015,90
ben,2016,90
ben,2017,90
bfa,2009,158
bfa,2010,158
bfa,2011,158
bfa,2012,158
bfa,2013,158
bfa,2014,158
bfa,2015,169
bfa,2016,169
bfa,2017,169
bgd,2013,428.9
bgd,2014,428.9
bgd,2015,428.9
bgd,2016,428.9
bgd,2017,428.9
bgr,2009,137
bgr,2010,137
bgr,2011,130
bgr,2012,130
bgr,2013,130
bgr,2014,130
bgr,2015,130
bgr,2016,263
bgr,2017,262
bhr,2009,85
bhr,2010,85
bhr,2011,85
bhr,2012,85
bhr,2013,85
bhr,2014,85
bhr,2015,85
bhr,2016,85
bhr,2017,85
bhs,2009,67
bhs,2010,67
bhs,2011,67
bhs,2012,67
bhs,2013,67
bhs,2014,67
bhs,2015,67
bhs,2016,67
bhs,2017,67
bih,2009,134
bih,2010,125
bih,2011,125
bih,2012,125
bih,2013,125
bih,2014,125
bih,2015,125
bih,2016,125
bih,2017,125
blr,2009,179
blr,2010,179
blr,2011,179
blr,2012,179
blr,2013,112
blr,2014,112
blr,2015,112
blr,2016,105
blr,2017,105
blz,2009,66
blz,2010,66
blz,2011,66
blz,2012,66
blz,2013,66
blz,2014,66
blz,2015,66
blz,2016,66
blz,2017,66
bol,2009,42
bol,2010,42
bol,2011,42
bol,2012,42
bol,2013,42
bol,2014,42
bol,2015,42
bol,2016,42
bol,2017,42
bra,2013,43.6
bra,2014,43.6
bra,2015,55.3
bra,2016,64.4
bra,2017,64.4
brb,2011,88
brb,2012,88
brb,2013,88
brb,2014,88
brb,2015,88
brb,2016,88
brb,2017,88
brn,2009,79
brn,2010,79
brn,2011,56
brn,2012,56
brn,2013,56
brn,2014,56
brn,2015,56
brn,2016,35
brn,2017,36
btn,2009,93
btn,2010,93
btn,2011,93
btn,2012,82
btn,2013,82
btn,2014,71
btn,2015,61
btn,2016,61
btn,2017,61
bwa,2009,121
bwa,2010,121
bwa,2011,121
bwa,2012,121
bwa,2013,121
bwa,2014,121
bwa,2015,77
bwa,2016,77
bwa,2017,77
caf,2009,172
caf,2010,172
caf,2011,102
caf,2012,102
caf,2013,102
caf,2014,102
caf,2015,98
caf,2016,98
caf,2017,98
can,2009,169
can,2010,169
can,2011,169
can,2012,142
can,2013,142
can,2014,142
can,2015,137
can,2016,137
can,2017,137
che,2009,39
che,2010,39
che,2011,39
che,2012,39
che,2013,39
che,2014,39
che,2015,39
che,2016,39
che,2017,39
chl,2009,43
chl,2010,43
chl,2011,43
chl,2012,43
chl,2013,43
chl,2014,43
chl,2015,43
chl,2016,43
chl,2017,43
chn,2013,143.2
chn,2014,143.2
chn,2015,143.2
chn,2016,143.2
chn,2017,143.2
civ,2009,59
civ,2010,59
civ,2011,59
civ,2012,59
civ,2013,59
civ,2014,59
civ,2015,59
civ,2016,55
civ,2017,55
cmr,2009,64
cmr,2010,64
cmr,2011,64
cmr,2012,64
cmr,2013,64
cmr,2014,64
cmr,2015,64
cmr,2016,64
cmr,2017,64
cod,2009,111
cod,2010,111
cod,2011,111
cod,2012,111
cod,2013,111
cod,2014,65
cod,2015,56
cod,2016,54
cod,2017,54
cog,2009,134
cog,2010,134
cog,2011,134
cog,2012,134
cog,2013,134
cog,2014,134
cog,2015,134
cog,2016,134
cog,2017,134
col,2009,165
col,2010,165
col,2011,165
col,2012,165
col,2013,105
col,2014,102
col,2015,109
col,2016,109
col,2017,106
com,2009,120
com,2010,120
com,2011,120
com,2012,120
com,2013,120
com,2014,120
com,2015,120
com,2016,120
com,2017,120
cpv,2009,88
cpv,2010,88
cpv,2011,88
cpv,2012,88
cpv,2013,88
cpv,2014,88
cpv,2015,88
cpv,2016,88
cpv,2017,88
cri,2009,62
cri,2010,62
cri,2011,62
cri,2012,62
cri,2013,62
cri,2014,55
cri,2015,45
cri,2016,45
cri,2017,45
cyp,2009,207
cyp,2010,207
cyp,2011,207
cyp,2012,207
cyp,2013,207
cyp,2014,207
cyp,2015,137
