geo,time,dt_oda_odat_mp_zs
abw,1986,14.72126
abw,1987,6.26425
abw,1988,4.12337
abw,1989,4.65833
abw,1990,4.06055
abw,1991,1.58402
abw,1992,1.84116
abw,1993,1.4286
abw,1994,0.98264
abw,1995,1.26315
abw,1996,0.75399
abw,1997,0.91167
abw,1998,0.53331
abw,1999,-0.44161
afg,1979,13.22674
afg,1980,3.57058
afg,1981,2.21286
afg,1982,0.94281
afg,1983,1.24941
afg,1984,0.45794
afg,1985,1.50512
afg,1986,0.14099
afg,1987,4.22349
afg,1988,8.38179
afg,1989,20.18508
afg,2008,210.47375
afg,2009,148.60776
afg,2010,109.17319
afg,2011,93.26853
afg,2012,67.38621
afg,2013,50.56258
afg,2014,58.50775
afg,2015,49.75429
afg,2016,55.07819
afg,2017,47.48542
ago,1985,4.01108
ago,1986,6.83368
ago,1987,6.65495
ago,1988,5.0314
ago,1989,5.07473
ago,1990,6.38655
ago,1991,6.52967
ago,1992,7.11603
ago,1993,7.51292
ago,1994,11.87532
ago,1995,9.67911
ago,1996,7.6802
ago,1997,5.68771
ago,1998,5.86363
ago,1999,5.45846
ago,2000,4.05422
ago,2001,3.41409
ago,2002,4.74019
ago,2003,4.68216
ago,2004,8.69993
ago,2005,2.15969
ago,2006,0.72316
ago,2007,0.75299
ago,2008,0.64448
ago,2009,0.48979
ago,2010,0.53886
ago,2011,0.35859
ago,2012,0.43094
ago,2013,0.47502
ago,2014,0.37344
ago,2015,0.86294
ago,2016,0.66044
ago,2017,0.62003
alb,1988,1.35875
alb,1989,2.13548
alb,1990,2.26946
alb,1991,97.54628
alb,1992,61.38768
alb,1993,34.07351
alb,1994,21.05059
alb,1995,20.88827
alb,1996,20.17627
alb,1997,24.11511
alb,1998,33.92411
alb,1999,51.0435
alb,2000,23.3782
alb,2001,16.69236
alb,2002,16.63122
alb,2003,15.25174
alb,2004,10.30239
alb,2005,8.86809
alb,2006,7.82287
alb,2007,5.68458
alb,2008,5.10502
alb,2009,5.41264
alb,2010,5.81401
alb,2011,5.41515
alb,2012,5.64497
alb,2013,4.38323
alb,2014,4.2842
alb,2015,6.2333
alb,2016,2.95747
alb,2017,2.40197
arg,1976,0.75333
arg,1977,0.49477
arg,1978,0.46561
arg,1979,0.40988
arg,1980,0.12176
arg,1981,0.26408
arg,1982,0.24493
arg,1983,0.38474
arg,1984,0.39086
arg,1985,0.34589
arg,1986,0.73372
arg,1987,0.78627
arg,1988,1.18002
arg,1989,1.57769
arg,1990,1.28809
arg,1991,1.55748
arg,1992,1.09828
arg,1993,0.82235
arg,1994,0.42778
arg,1995,0.40845
arg,1996,0.32786
arg,1997,0.20823
arg,1998,0.16344
arg,1999,0.1827
arg,2000,0.12567
arg,2001,0.3767
arg,2002,0.3695
arg,2003,0.36139
arg,2004,0.22554
arg,2005,0.20278
arg,2006,0.202
arg,2007,0.12662
arg,2008,0.14475
arg,2009,0.17892
arg,2010,0.14929
arg,2011,0.08918
arg,2012,0.17884
arg,2013,0.0328
arg,2014,0.0513
arg,2015,-0.02072
arg,2016,0.0029
arg,2017,-0.00451
arm,1993,35.96762
arm,1994,42.76238
arm,1995,28.50127
arm,1996,31.096
arm,1997,16.32726
arm,1998,18.58951
arm,1999,22.21294
arm,2000,20.94679
arm,2001,18.82444
arm,2002,23.4072
arm,2003,15.6232
arm,2004,12.75138
arm,2005,6.84921
arm,2006,7.09477
arm,2007,8.11889
arm,2008,5.52195
arm,2009,11.83113
arm,2010,6.68062
arm,2011,7.03323
arm,2012,4.64595
arm,2013,4.63175
arm,2014,4.32878
arm,2015,7.12679
arm,2016,6.37784
arm,2017,4.03267
atg,1977,12.22727
atg,1978,7.25806
atg,1979,4.06948
atg,1980,4.05007
atg,1981,6.01864
atg,1982,3.12106
atg,1983,2.71774
atg,1984,1.26677
atg,1985,1.35135
atg,1986,1.52565
atg,1987,1.61385
atg,1988,2.6668
atg,1989,1.12553
atg,1990,1.187
atg,1991,1.7863
atg,1992,1.11238
atg,1993,0.70663
atg,1994,0.91885
atg,1995,0.48196
atg,1996,0.77496
atg,1997,0.86284
atg,1998,1.90515
atg,1999,1.92041
atg,2000,1.76902
atg,2001,1.61874
atg,2002,2.57837
atg,2003,0.96726
atg,2004,0.29278
atg,2005,1.0852
atg,2006,0.36777
atg,2007,0.49365
atg,2008,0.58966
atg,2009,0.55296
atg,2010,2.72467
atg,2011,2.23045
atg,2012,0.27895
atg,2013,0.20525
atg,2014,0.2551
atg,2015,0.15563
atg,2016,0.00578
atg,2017,0.91131
aze,1995,9.15288
aze,1996,5.33656
aze,1997,8.62761
aze,1998,4.86058
aze,1999,8.66034
aze,2000,5.82265
aze,2001,9.09601
aze,2002,9.93513
aze,2003,5.75744
aze,2004,2.52401
aze,2005,2.43593
aze,2006,1.91559
aze,2007,1.54324
aze,2008,1.37362
aze,2009,1.68378
aze,2010,1.12358
aze,2011,1.33174
aze,2012,1.25722
aze,2013,-0.28735
aze,2014,0.90405
aze,2015,0.32035
aze,2016,0.38911
aze,2017,0.57326
bdi,1985,52.9794
bdi,1986,65.76956
bdi,1987,60.95878
bdi,1988,65.36141
bdi,1989,76.24103
bdi,1990,76.93274
bdi,1991,71.6329
bdi,1992,89.21513
bdi,1993,70.01531
bdi,1994,108.78646
bdi,1995,101.82416
bdi,1996,69.62474
bdi,1997,38.20116
bdi,1998,38.90767
bdi,1999,56.25625
bdi,2000,56.57254
bdi,2001,85.87893
bdi,2002,107.46451
bdi,2003,117.42161
bdi,2004,142.08605
bdi,2005,106.29487
bdi,2006,93.8422
bdi,2007,111.92103
bdi,2008,85.39656
bdi,2009,107.01367
bdi,2010,101.43376
bdi,2011,72.41049
bdi,2012,55.57032
bdi,2013,60.35339
bdi,2014,54.52876
bdi,2015,43.14149
bdi,2016,98.50738
bdi,2017,47.66863
ben,1974,17.34265
ben,1975,20.16918
ben,1976,18.61014
ben,1977,14.77631
ben,1978,16.13661
ben,1979,21.77004
ben,1980,20.62526
ben,1981,11.95618
ben,1982,11.75944
ben,1983,19.72232
ben,1984,17.04579
ben,1985,19.88232
ben,1986,24.46853
ben,1987,21.07006
ben,1988,31.91728
ben,1989,66.02191
ben,1990,54.27979
ben,1991,29.43858
ben,1992,34.76803
ben,1993,37.40809
ben,1994,39.1668
ben,1995,30.30601
ben,1996,35.98342
ben,1997,27.83127
ben,1998,25.38456
ben,1999,23.88161
ben,2000,32.92248
ben,2001,35.91768
ben,2002,23.71122
ben,2003,26.64181
