geo,time,gc_tax_gsrv_cn
afg,2006,5952943918.98
afg,2007,6702036585.18
afg,2008,8070694888.4844
afg,2009,13497091985.61
afg,2010,18435006021.0875
afg,2011,20918998549.2775
afg,2012,21452208403.34669
afg,2013,19386490829
afg,2014,17309900936.38
afg,2015,17608165999.12
ago,1999,326358386.5
ago,2000,1495978615
ago,2001,17300349784
ago,2002,12670999806
ago,2003,30463029879
ago,2004,41894421448.99999
ago,2005,51456380174.00001
ago,2006,68937892658
ago,2007,92906282321.99997
ago,2008,137367000000
ago,2009,149494000000.00003
ago,2010,162085000000
ago,2011,170041000000
ago,2012,165995000000
ago,2013,202397000000
ago,2014,228895697525.99997
ago,2015,176561786757
ago,2016,209778948579
alb,1995,18850000000
alb,1996,15948958000
alb,1997,18926363000
alb,1998,35385497000
alb,2002,64835600000
alb,2003,76255180000
alb,2004,89353959999.99998
alb,2011,175055100000.00003
alb,2012,173505580000.00003
alb,2013,166375459999.99997
alb,2014,195997779999.99997
alb,2015,200012910000
alb,2016,208378160000
are,1997,2872000000
are,1998,2990000000
are,1999,3481000000
are,2011,4133984906.74
are,2012,4999707821.9
are,2013,5173170943
are,2014,5108759558.71
are,2015,630843985.2
are,2016,443995150.43
arg,1990,1572200000
arg,1991,5557700000
arg,1992,8344800000
arg,1993,12098700000
arg,1994,12779200000
arg,1995,13203700000
arg,1996,13931400000
arg,1997,16227200000
arg,1998,17185200000
arg,1999,16728900000
arg,2000,17674300000
arg,2001,16224000000
arg,2002,16481800000
arg,2003,22164550546.9
arg,2004,30264211941.63999
arg,2005,36184400000
arg,2006,44376700000.00001
arg,2007,54722400000
arg,2008,69210800000
arg,2009,76968800000
arg,2010,101267600000
arg,2011,130577600000
arg,2012,165330200000
arg,2013,210696000000
arg,2014,282293400000
arg,2015,369418100000
arg,2016,478910200000
arm,2004,113048383600
arm,2005,144577255728.60004
arm,2006,163233826600
arm,2007,286724239432.17499
arm,2008,361177594616
arm,2009,293121813614.00006
arm,2010,346424420349.99994
arm,2011,364465369127
arm,2012,415937000000
arm,2014,532789401679.99994
arm,2015,472922401444
arm,2016,450833122379.99994
atg,2000,37760000
atg,2001,45840000
atg,2002,56270000
atg,2003,61643000
atg,2004,62892212
atg,2005,66983428
