geo,time,sh_sta_wast_zs
afg,1997,18.2
afg,2004,8.6
afg,2013,9.5
ago,1996,8.6
ago,2007,8.2
ago,2016,4.9
alb,1997,8.1
alb,2000,12.2
alb,2005,7.3
alb,2009,9.4
arg,1994,1.6
arg,1996,4.2
arg,2005,1.2
arm,1998,3.3
arm,2000,2.5
arm,2005,5.5
arm,2010,4.2
arm,2016,4.2
aus,1995,0
aus,2007,0
aze,1996,3.8
aze,2000,9
aze,2001,3.2
aze,2006,6.8
aze,2011,6.6
aze,2013,3.1
bdi,1987,6.7
bdi,2000,8.2
bdi,2005,9
bdi,2010,6.1
bdi,2016,5.1
ben,1996,12.3
ben,2001,9
ben,2006,8.4
ben,2014,4.5
bfa,1993,15.5
bfa,1999,15.7
bfa,2003,21.2
bfa,2006,24.4
bfa,2009,11.3
bfa,2010,15.4
bfa,2011,10.2
bfa,2012,10.9
bfa,2013,8.1
bfa,2014,8.6
bfa,2016,7.6
bgd,1986,17.3
bgd,1990,17.5
bgd,1991,15.2
bgd,1992,16.1
bgd,1993,14
bgd,1994,16.7
bgd,1995,15.1
bgd,1996,15.5
bgd,1997,20.6
bgd,1998,15
bgd,1999,13.7
bgd,2000,12.5
bgd,2001,12.7
bgd,2002,12.4
bgd,2003,12.5
bgd,2004,14.6
bgd,2005,11.8
bgd,2006,11.9
bgd,2007,17.5
bgd,2011,15.7
bgd,2012,9.6
bgd,2013,18.1
bgd,2014,14.3
bgr,2004,3.2
bhr,1989,6.8
bhr,1995,6.6
bih,2000,7.4
bih,2006,4
bih,2012,2.3
blr,2005,2.2
blz,2006,1.9
blz,2011,3.3
blz,2015,1.8
bol,1989,1.5
bol,1994,3.6
bol,1998,1.6
bol,2003,1.7
bol,2008,1.4
bol,2012,1.6
bol,2016,2
bra,1996,2.8
bra,2007,1.6
brb,2012,6.8
brn,2009,2.9
btn,1987,5.2
btn,1999,2.5
btn,2008,4.7
btn,2010,5.9
bwa,1996,13.2
bwa,2000,6
bwa,2007,7.2
caf,1994,8.7
caf,2000,10.5
caf,2006,12.2
caf,2010,7.4
chl,1986,0.7
chl,1994,0.5
chl,1995,0.5
chl,1996,0.5
chl,1998,0.6
chl,1999,0.5
chl,2001,0.5
chl,2002,0.5
chl,2003,0.5
chl,2004,0.5
chl,2006,0.5
chl,2007,0.3
chl,2008,0.3
chl,2013,0.3
chl,2014,0.3
chn,1987,4.8
chn,1990,4.2
chn,1992,3.9
chn,1995,5
chn,1998,2.4
chn,2000,2.5
chn,2002,3
chn,2005,2.9
chn,2008,2.6
chn,2009,2.6
chn,2010,2.3
chn,2013,1.9
civ,1986,10.3
civ,1994,8.3
civ,1998,6.9
civ,2006,8.4
civ,2007,14
civ,2012,7.6
civ,2016,6
cmr,1991,4.5
cmr,1998,6.2
cmr,2004,6.2
cmr,2006,7.3
cmr,2011,5.8
cmr,2014,5.2
cod,1995,11.4
cod,2001,20.9
cod,2007,14
cod,2010,8.5
cod,2013,8.1
cog,1987,6.6
cog,2005,8
cog,2011,5.9
cog,2015,8.2
col,1986,1
col,1989,3.8
col,1995,1.7
col,2000,1.1
col,2005,1.5
col,2010,0.9
com,1992,5.3
com,1996,10.7
com,2000,13.3
com,2012,11.1
cpv,1985,4.2
cpv,1994,6.9
cri,1996,2.4
cri,2008,1
cub,2000,2.4
cze,1991,2.8
cze,2001,4.6
deu,2005,1
dji,1989,12.5
dji,1996,14.9
dji,2002,19.4
dji,2006,26
dji,2012,21.5
dom,1986,3.3
dom,1991,2.2
dom,1996,2
dom,2000,1.5
dom,2002,2.2
dom,2006,1.9
dom,2007,2.3
dom,2013,2.4
dza,1987,4
dza,1992,7.1
dza,1995,9.6
dza,2000,3.1
dza,2002,9.6
dza,2005,4
dza,2012,4.1
east_asia_pacific,2017,4
ecu,1986,2.3
ecu,1998,3.2
ecu,2004,2.3
ecu,2006,2.1
ecu,2012,2.3
ecu,2014,1.6
egy,1988,1.9
egy,1991,4.5
egy,1993,4.1
egy,1995,5.7
egy,1997,7.5
egy,1998,6.4
egy,2003,5.2
egy,2005,5.3
egy,2008,7.9
egy,2014,9.5
eri,1993,11.8
eri,1995,17
eri,2002,14.9
eri,2010,15.3
eth,1992,9.2
eth,2000,12.4
eth,2005,12.3
eth,2011,10.1
eth,2014,8.7
eth,2016,9.9
fji,1993,9.8
fji,2004,6.3
gab,2000,4.3
gab,2012,3.4
geo,1999,3.1
geo,2005,3
geo,2009,1.6
gha,1988,7
gha,1993,10.9
gha,1999,9.9
gha,2003,8.4
gha,2006,6.1
gha,2008,8.7
gha,2011,6.2
gha,2014,4.7
gin,1994,14
gin,1999,9.9
gin,2005,10.8
gin,2007,8.3
gin,2011,5.6
gin,2012,9.9
gin,2016,8.1
gmb,2000,8.9
gmb,2006,7.4
gmb,2010,9.5
gmb,2012,9.6
gmb,2013,11.1
gnb,2000,11.8
gnb,2006,8.9
gnb,2010,5.8
gnb,2014,6
gnq,1997,4
gnq,2000,9.2
gnq,2004,2.8
gnq,2011,3.1
gtm,1987,1.9
gtm,1995,3.8
gtm,1999,2.9
gtm,2000,3.7
gtm,2002,1.8
gtm,2009,1.1
gtm,2015,0.7
guy,1997,13.3
guy,2000,12.1
guy,2006,8.3
guy,2009,5.3
guy,2014,6.4
high_income,2017,0.7
hnd,1987,2.3
hnd,1992,2.1
hnd,1994,2.7
hnd,1996,1.6
hnd,2001,1.2
hnd,2006,1.4
hnd,2012,1.4
hti,1990,5.9
hti,1994,9.4
hti,2000,5.6
hti,2006,10.3
hti,2012,5.2
idn,1995,14.9
idn,2000,5.5
idn,2001,5.4
idn,2004,14.4
idn,2007,14.8
idn,2010,12.3
idn,2013,13.5
ind,1989,20.3
ind,1992,20
ind,1993,19.9
ind,1997,18.4
ind,1999,17.1
ind,2006,20
ind,2014,15.1
ind,2015,21
irn,1995,8.1
irn,1998,6.1
irn,2004,4.8
irn,2011,4
irq,1991,4.4
irq,2000,6.6
irq,2003,5.6
irq,2004,6.9
irq,2006,5.8
irq,2011,7.4
jam,1989,4.4
jam,1991,5.3
jam,1992,3.2
jam,1993,4.5
jam,1994,2.9
jam,1995,4.5
jam,1996,2.5
jam,1997,2.3
jam,1998,2.9
jam,1999,2.5
jam,2000,3
jam,2001,2.9
jam,2002,2.3
jam,2004,4.5
jam,2006,3.3
jam,2007,2.3
jam,2008,2.1
jam,2010,3.5
jam,2012,3
jam,2014,3.6
jor,1990,3.8
jor,1997,2.4
jor,2002,2.5
jor,2009,1.6
jor,2012,2.4
jpn,2010,2.3
kaz,1995,6.4
kaz,1999,2.5
kaz,2006,4.9
kaz,2010,4.1
kaz,2015,3.1
ken,1987,5.5
ken,1993,7.1
ken,1994,9.4
ken,1998,7.2
ken,2000,7.4
ken,2003,6.2
ken,2005,7.7
ken,2009,7
ken,2014,4
kgz,1997,2.9
kgz,2006,3.4
kgz,2009,1.3
kgz,2012,2.8
kgz,2014,2.8
khm,1996,13.4
khm,2000,16.9
khm,2005,8.3
khm,2008,8.9
khm,2010,10.8
khm,2014,9.6
kir,1985,12.6
kor,2003,0.9
kor,2010,1.2
kwt,1996,1.7
kwt,2001,2.2
kwt,2002,2.2
kwt,2003,2.6
kwt,2004,3.4
kwt,2005,3.3
kwt,2006,2.8
