geo,time,vc_idp_nwds
afg,2008,3400
afg,2009,28000
afg,2010,71000
afg,2011,3000
afg,2012,30000
afg,2013,15000
afg,2014,13000
afg,2015,71000
afg,2016,7400
afg,2017,27000
ago,2009,86000
ago,2010,79000
ago,2011,227000
ago,2012,6400
ago,2013,2500
ago,2015,5600
ago,2016,19000
ago,2017,14000
alb,2009,150
alb,2013,450
alb,2014,24
alb,2015,4200
alb,2016,3100
alb,2017,3500
are,2017,850
arg,2008,640
arg,2012,2000
arg,2013,6900
arg,2014,32000
arg,2015,36000
arg,2016,12000
arg,2017,27000
atg,2008,45
atg,2017,1400
aus,2008,1000
aus,2009,7500
aus,2010,1000
aus,2011,10000
aus,2012,16000
aus,2013,13000
aus,2014,1200
aus,2015,5700
aus,2016,3200
aus,2017,31000
aut,2013,1000
aut,2016,250
aze,2009,200
aze,2010,32000
aze,2012,36000
bdi,2008,2800
bdi,2010,1500
bdi,2014,13000
bdi,2015,3100
bdi,2016,6600
bdi,2017,11000
ben,2008,150000
ben,2009,40000
ben,2010,275000
ben,2012,10000
ben,2013,15000
ben,2016,960
ben,2017,3500
bfa,2008,28000
bfa,2009,150000
bfa,2010,20000
bfa,2013,1800
bfa,2015,3700
bfa,2016,18000
bfa,2017,8200
bgd,2008,61000
bgd,2009,1342000
bgd,2010,569000
bgd,2011,400000
bgd,2012,651000
bgd,2013,1160000
bgd,2014,543000
bgd,2015,531000
bgd,2016,614000
bgd,2017,946000
bgr,2012,2100
bgr,2014,2300
bgr,2015,820
bgr,2016,24
bgr,2017,22
bhs,2008,500
bhs,2015,2800
bhs,2016,3500
bhs,2017,1600
bih,2014,91000
bih,2015,320
blz,2008,400
blz,2013,130
blz,2015,250
blz,2016,3500
bol,2009,630
bol,2010,100000
bol,2011,11000
bol,2012,9000
bol,2013,4700
bol,2014,190000
bol,2015,11000
bol,2016,7000
bol,2017,3100
bol,2018,470
bra,2008,309000
bra,2009,523000
bra,2010,230000
bra,2011,170000
bra,2012,35000
bra,2013,82000
bra,2014,150000
bra,2015,59000
bra,2016,14000
bra,2017,71000
brb,2016,90
brn,2014,51
brn,2017,94
btn,2011,20000
btn,2015,2900
btn,2016,690
bwa,2009,870
bwa,2013,1200
bwa,2014,2000
bwa,2015,250
bwa,2017,2000
caf,2008,14000
caf,2009,15000
caf,2012,18000
caf,2013,14000
caf,2014,940
caf,2015,1100
caf,2016,7500
caf,2017,2900
can,2008,2000
can,2013,120000
can,2014,5800
can,2015,13000
can,2016,93000
can,2017,85000
che,2013,13
che,2015,360
che,2017,160
chl,2008,43000
chl,2009,700
chl,2010,2000000
chl,2011,4000
chl,2012,7300
chl,2013,3600
chl,2014,985000
chl,2015,1047000
chl,2016,16000
chl,2017,8300
chn,2008,18660000
chn,2009,4031000
chn,2010,15920000
chn,2011,4490000
chn,2012,5731000
chn,2013,5924000
chn,2014,3612000
chn,2015,3602000
chn,2016,7434000
chn,2017,4473000
civ,2009,10000
civ,2013,78
civ,2014,4500
cmr,2008,1000
cmr,2010,3000
cmr,2012,30000
cmr,2013,10000
cmr,2014,3500
cmr,2015,11000
cod,2008,5100
cod,2009,130
cod,2010,98000
cod,2011,12000
cod,2012,23000
cod,2013,3800
cod,2014,24000
cod,2015,106000
cod,2016,130000
cod,2017,27000
col,2008,63000
col,2009,9100
col,2010,3000000
col,2011,149000
col,2012,71000
col,2013,11000
col,2014,20000
col,2015,4600
col,2016,31000
col,2017,25000
com,2012,11000
com,2014,12000
com,2017,94
cpv,2014,2500
cpv,2015,190
cpv,2016,300
cri,2008,12000
cri,2009,2400
cri,2011,2100
cri,2012,2000
cri,2013,65
cri,2015,1100
cri,2016,5800
cri,2017,11000
cub,2008,1014000
cub,2012,352000
cub,2015,2000
cub,2016,1079000
cub,2017,1738000
cym,2008,720
cyp,2016,40
cze,2013,26000
deu,2013,53000
deu,2016,2000
deu,2017,220
dma,2011,96
dma,2013,18
dma,2015,710
dma,2017,35000
dom,2008,8900
dom,2011,17000
dom,2012,43000
dom,2013,14000
dom,2014,11000
dom,2015,28000
dom,2016,52000
dom,2017,69000
dza,2008,25000
dza,2009,2500
dza,2013,340
dza,2014,4500
dza,2015,19000
dza,2016,2000
east_asia_pacific,2008,24278485
east_asia_pacific,2009,7382300
east_asia_pacific,2010,19119650
east_asia_pacific,2011,10107600
east_asia_pacific,2012,10482800
east_asia_pacific,2013,15612742
east_asia_pacific,2014,11683477
east_asia_pacific,2015,8305770
east_asia_pacific,2016,16427753
east_asia_pacific,2017,8601204
ecu,2008,14000
ecu,2010,500
ecu,2012,4800
ecu,2013,7500
ecu,2014,570
ecu,2015,1900
ecu,2016,289000
ecu,2017,3000
egy,2008,20000
egy,2014,200
egy,2015,100
egy,2016,820
eri,2013,100
esp,2011,15000
esp,2012,22000
esp,2013,2600
esp,2014,3800
esp,2015,4100
esp,2016,5400
esp,2017,2100
eth,2008,73000
eth,2010,10000
eth,2012,20000
eth,2013,61000
eth,2014,49000
eth,2015,104000
eth,2016,347000
eth,2017,434000
europe_central_asia,2013,149733
europe_central_asia,2016,56782
fin,2008,20
fin,2013,30
fji,2009,13000
fji,2010,18000
fji,2012,27000
fji,2014,800
fji,2016,76000
fji,2017,370
fra,2008,870
fra,2010,4500
fra,2013,6700
fra,2014,4100
fra,2015,120
fra,2016,190
fra,2017,21000
fra,2018,650
fsm,2015,6800
gab,2009,800
gab,2012,1600
gab,2013,1800
gab,2017,8
gbr,2012,300
gbr,2013,20000
gbr,2014,620
gbr,2015,6100
gbr,2016,1200
gbr,2017,6200
geo,2013,1500
geo,2014,120
geo,2015,1200
gha,2008,14000
gha,2009,52000
gha,2011,49000
gha,2013,31000
gha,2015,9300
gha,2016,7900
gha,2017,23000
gin,2011,4500
gin,2013,300
gin,2015,34000
gin,2016,490
gin,2017,710
gmb,2008,400
gmb,2010,25000
gmb,2012,7700
gmb,2013,400
gmb,2016,4600
gmb,2017,880
gnb,2008,750
gnb,2010,2000
grc,2009,330
grc,2013,60
grc,2014,8200
grc,2015,270
grc,2016,2900
grc,2017,800
grd,2017,150
grl,2017,78
gtm,2008,18000
gtm,2009,990
gtm,2010,163000
gtm,2011,29000
gtm,2012,64000
gtm,2013,80
gtm,2014,10000
gtm,2015,2900
gtm,2016,1700
gtm,2017,45000
guy,2017,200
high_income,2013,1121892
high_income,2014,1818668
high_income,2015,1720220
high_income,2016,2286100
high_income,2017,2066343
hkg,2016,220
hkg,2017,3300
hnd,2008,70000
hnd,2009,2300
hnd,2010,8000
hnd,2011,12000
hnd,2014,2500
hnd,2015,2000
hnd,2016,890
hrv,2014,18000
hrv,2015,1000
hrv,2017,230
hti,2008,139000
hti,2009,9900
hti,2010,1573000
hti,2011,500
hti,2012,86000
hti,2013,1100
hti,2014,6500
hti,2015,1500
hti,2016,180000
hti,2017,15000
hun,2013,1300
hun,2014,290
hun,2017,96
idn,2008,221000
idn,2009,854000
idn,2010,409000
