geo,time,ne_imp_gnfs_kd_zg
ago,2001,156.37274
ago,2002,108.6844
ago,2003,9.69
ago,2004,7.13
ago,2005,11.95
ago,2006,6.35
ago,2007,7.6
ago,2008,18.17
ago,2009,-0.47443
ago,2010,-11.73824
ago,2011,10.95004
ago,2012,-0.08946
ago,2013,4.37865
ago,2014,-5.15848
ago,2015,-23.91032
ago,2016,-24.7389
ago,2017,11.2331
alb,1997,-8.69061
alb,1998,36.69689
alb,1999,17.29976
alb,2000,39.1484
alb,2001,10.41855
alb,2002,11.64265
alb,2003,9.28612
alb,2004,10.89847
alb,2005,13.46547
alb,2006,8.88238
alb,2007,22.17298
alb,2008,7.5672
alb,2009,1.33135
alb,2010,1.77568
alb,2011,12.73843
alb,2012,-1.32825
alb,2013,-0.12667
alb,2014,4.91688
alb,2015,-3.23323
alb,2016,6.80996
alb,2017,8.24332
are,2002,12.93833
are,2003,15.98872
are,2004,29.73794
are,2005,14.93465
are,2006,18.19529
are,2007,34.46051
are,2008,21.39811
are,2009,-15.6543
are,2010,-17.8826
are,2011,15.38347
are,2012,8.56413
are,2013,8.02625
are,2014,9.86474
are,2015,-5.72183
are,2016,2.65306
are,2017,-0.96104
arg,1961,18.17689
arg,1962,0
arg,1963,-23.0834
arg,1964,20.01239
arg,1965,0
arg,1966,-8.33114
arg,1967,0
arg,1968,9.0883
arg,1969,24.9936
arg,1970,-18.84381
arg,1971,11.91373
arg,1972,-4.86976
arg,1973,-1.30954
arg,1974,5.4283
arg,1975,1.83051
arg,1976,-21.01109
arg,1977,37.12672
arg,1978,-5.18691
arg,1979,54.59448
arg,1980,46.35623
arg,1981,-8.23892
arg,1982,-42.57997
arg,1983,-6.92373
arg,1984,4.70511
arg,1985,-13.03793
arg,1986,17.86744
arg,1987,11.48517
arg,1988,-9.20805
arg,1989,-16.51669
arg,1990,-1.89992
arg,1991,80.0557
arg,1992,65.68396
arg,1993,14.80661
arg,1994,21.13103
arg,1995,-9.80663
arg,1996,17.52909
arg,1997,26.87155
arg,1998,8.41393
arg,1999,-11.26677
arg,2000,-0.15757
arg,2001,-13.94658
arg,2002,-50.05955
arg,2003,37.56537
arg,2004,40.12178
arg,2005,15.84823
arg,2006,10.99186
arg,2007,19.64028
arg,2008,13.56219
arg,2009,-18.41644
arg,2010,35.20442
arg,2011,22.02862
arg,2012,-4.72826
arg,2013,3.88288
arg,2014,-11.47999
arg,2015,4.71132
arg,2016,5.72719
arg,2017,14.99952
arm,1995,-29.27702
arm,1996,-0.42317
arm,1997,11.91122
arm,1998,-5.17877
arm,1999,-1.70087
arm,2000,7.02326
arm,2001,6.86804
arm,2002,18.24892
arm,2003,27.40847
arm,2004,-3.26883
arm,2005,14.15683
arm,2006,3.76097
arm,2007,12.99479
arm,2008,7.27811
arm,2009,-19.15362
arm,2010,12.8
arm,2011,-2.29997
arm,2012,-2.73246
arm,2013,-2.1
arm,2014,-1
arm,2015,-15.1
arm,2016,7.6
arm,2017,24.8
asm,2003,-0.6402
asm,2004,-13.01546
asm,2005,0.14815
asm,2006,-3.84615
asm,2007,-3.69231
asm,2008,2.07668
asm,2009,-12.98905
asm,2010,-11.15108
asm,2011,-6.88259
asm,2012,4.13043
asm,2013,3.13152
asm,2014,11.1336
asm,2015,4.73588
asm,2016,-2.95652
asm,2017,-12.90323
aus,1961,12.51041
aus,1962,-14.25398
aus,1963,17.32153
aus,1964,11.24333
aus,1965,19.07808
aus,1966,2.75514
aus,1967,1.68537
aus,1968,9.88699
aus,1969,3.44814
aus,1970,8.33886
aus,1971,3.06585
aus,1972,-7.9743
aus,1973,1.25958
aus,1974,30.3372
aus,1975,2.5728
aus,1976,-4.90163
aus,1977,9.51876
aus,1978,-4.68477
aus,1979,8.06843
aus,1980,0.09927
aus,1981,9.4577
aus,1982,11.56836
aus,1983,-8.44125
aus,1984,5.98917
aus,1985,16.63951
aus,1986,-0.23411
aus,1987,-4.72919
aus,1988,11.225
aus,1989,24.88124
aus,1990,5.61737
aus,1991,-5.71533
aus,1992,3.49834
aus,1993,6.59507
aus,1994,7.50046
aus,1995,16.34336
aus,1996,4.68667
