geo,time,sh_med_beds_zs
afg,1960,0.17063
afg,1970,0.199
afg,1981,0.2756
afg,1987,0.3091
afg,1990,0.2498
afg,2000,0.3
afg,2001,0.4
afg,2002,0.4
afg,2003,0.4
afg,2004,0.4
afg,2005,0.4
afg,2006,0.4
afg,2007,0.4
afg,2008,0.4
afg,2009,0.4
afg,2010,0.4
afg,2011,0.4
afg,2012,0.5
afg,2013,0.5
afg,2014,0.5
afg,2015,0.5
ago,1960,2.06146
ago,1970,2.721
ago,1990,1.2913
ago,2005,0.8
alb,1960,5.10268
alb,1980,4.2717
alb,1981,4.1871
alb,1982,4.1607
alb,1983,4.0862
alb,1984,4.139
alb,1985,4.1388
alb,1986,4.0697
alb,1987,3.97
alb,1988,3.9355
alb,1989,4.1321
alb,1990,4.0249
alb,1991,3.9987
alb,1992,4.0134
alb,1993,3.8314
alb,1994,3.0171
alb,1995,3.19
alb,1996,3.14
alb,1997,3.05
alb,1998,3.05
alb,1999,3.03
alb,2000,3.3
alb,2001,3.3
alb,2002,3.1
alb,2003,3.1
alb,2004,3
alb,2005,3.1
alb,2006,3.1
alb,2007,3.1
alb,2009,2.8
alb,2010,3
alb,2011,2.6
alb,2012,2.9
alb,2013,2.9
and,1996,3.18
and,1997,3
and,1998,3.09
and,1999,3.2
and,2000,3.2
and,2001,2.59
and,2003,3.3
and,2005,2.7
and,2006,2.6
and,2007,2.6
and,2009,2.5
are,1980,2.8495
are,1981,2.8751
are,1990,2.64
are,1992,3.0605
are,1996,2.64
are,2000,2.4
are,2001,2.3
are,2002,2.2
are,2003,2.2
are,2004,2.2
are,2005,2.2
are,2006,1.9
are,2007,1.9
are,2008,1.9
are,2009,1.9
are,2010,1.9
are,2011,1.1
are,2012,1.1
are,2013,1.2
arg,1960,6.35225
arg,1970,5.5858
arg,1990,4.5943
arg,1993,4.6
arg,1996,3.29
arg,2000,4.1
arg,2005,4
arg,2010,4.5
arg,2011,4.5
arg,2012,4.7
arg,2013,4.9
arg,2014,5
arm,1980,8.3954
arm,1981,8.5784
arm,1982,8.6828
arm,1983,8.5481
arm,1984,8.6601
arm,1985,8.6992
arm,1986,9.0242
arm,1987,8.9966
arm,1988,9.1904
arm,1989,9.0358
arm,1990,9.0948
arm,1991,8.5293
arm,1992,8.3677
arm,1993,8.2147
arm,1994,7.766
arm,1995,7.64
arm,1996,7.13
