geo,time,se_prm_cuat_zs
abw,2000,90.32299
abw,2010,91.41014
afg,1975,6.69999
afg,1979,4.48299
alb,2001,91.39765
alb,2008,92.39538
alb,2011,95.84747
alb,2012,95.50839
and,2006,93.00279
and,2014,96.53449
and,2015,96.45533
are,2005,74.45433
arg,1970,49.9
arg,1980,59.5
arg,1991,71.96287
arg,2001,80.87169
arg,2003,89.97009
arm,2001,97.89708
arm,2011,99.35955
arm,2015,99.45579
aus,2010,99.86813
aus,2012,99.90282
aus,2015,100
aze,1999,96.98462
aze,2007,97.12163
aze,2008,97.1324
aze,2009,98.37981
aze,2010,98.44966
aze,2011,98.44816
aze,2012,98.46663
aze,2013,98.52169
aze,2014,98.53766
aze,2015,98.50648
bdi,2014,10.93089
bel,1970,94.48585
bel,2006,92.48347
bel,2008,93.01065
bel,2009,93.26414
bel,2010,92.66365
bel,2011,92.91851
bel,2012,92.49424
bel,2013,93.03236
bel,2014,93.87284
bel,2015,95.06906
bfa,2006,11.271
bfa,2007,5.16848
bgd,2001,47.24151
bgr,1992,82.7249
bgr,2001,96.99078
bhr,1971,17.2
bhr,2001,80.32081
bhr,2010,68.29699
bhs,2000,98.49593
bhs,2010,95.07771
bih,2010,73.09963
bih,2011,74.34972
bih,2014,78.04538
bih,2015,79.87345
blr,2009,99.03563
blz,2005,68.31764
blz,2010,99.79344
bmu,2000,99.49995
bol,1992,51.91676
bol,2001,58.06432
bol,2006,45.76689
bol,2008,49.76619
bol,2009,51.65605
bol,2012,58.578
bra,1970,30.87424
bra,1976,14.3
bra,1980,16.69684
bra,2004,68.98745
bra,2006,72.665
bra,2007,73.52706
bra,2008,74.28956
bra,2009,73.60671
bra,2010,100
bra,2011,75.44809
bra,2012,77.74551
bra,2013,76.11808
bra,2014,76.90186
brb,2000,86.3726
btn,2012,20.42908
bwa,1971,5.20108
caf,1975,10.11919
can,1970,80.2
can,1976,79.7
can,1981,83.72147
can,1986,93.77894
can,1991,95.06149
che,2009,100
chl,2004,87.01519
chl,2007,88.941
chl,2008,85.60041
chl,2009,81.71729
chl,2010,84.66626
chl,2011,80.87242
chl,2013,85.63364
chn,1982,55.52637
cmr,2010,36.30954
cod,1984,16.10319
cod,2013,56.78789
cod,2016,63.55963
cog,1984,28.17663
col,1993,59.92695
col,2004,71.33408
col,2005,71.88702
col,2006,69.51075
col,2007,70.98412
col,2008,71.83898
col,2009,71.52893
col,2010,72.10117
col,2011,73.00724
col,2012,73.57052
col,2013,74.50666
col,2014,75.40398
col,2015,76.00128
cpv,2015,51.92241
cri,1973,34.75286
cri,2007,77.50686
cri,2008,79.0691
cri,2009,79.7336
cri,2010,79.26555
cri,2011,79.91407
cri,2012,80.23139
cri,2014,82.0141
cri,2015,81.3329
cub,2002,85.93741
cub,2012,91.19461
cym,2004,97.03149
cym,2005,98.84842
cym,2006,98.85358
cym,2007,97.225
cym,2008,98.87254
cym,2014,99.77701
cym,2015,99.02892
cyp,1992,81.88188
cyp,2004,89.13424
cyp,2005,91.69501
cyp,2006,92.53257
cyp,2007,92.62402
cyp,2008,92.50935
cyp,2009,92.52577
cyp,2010,93.12907
cyp,2011,94.77306
cyp,2012,94.03773
cyp,2013,94.36194
cyp,2014,93.90716
cyp,2015,93.89231
cze,2006,99.88014
cze,2007,99.88188
cze,2008,99.86738
cze,2009,99.86653
cze,2010,99.87434
cze,2011,99.8645
cze,2012,99.8714
cze,2013,99.84897
cze,2014,99.85421
cze,2015,99.84998
deu,2004,100
deu,2005,100
deu,2006,100
deu,2007,100
deu,2008,100
deu,2009,100
deu,2010,100
deu,2011,100
deu,2012,100
deu,2013,100
deu,2014,100
deu,2015,100
dma,2001,89.43647
dnk,2003,100
dnk,2004,100
dnk,2008,100
dom,1970,18.3
dom,2007,55.1926
dom,2010,62.85334
dom,2011,64.09265
dom,2012,64.59923
dom,2013,65.22193
dom,2014,66.50808
dom,2015,66.80485
dza,2006,46.5909
dza,2008,64.37154
ecu,1982,57.59777
ecu,2008,79.55426
ecu,2009,69.67801
ecu,2010,71.87594
ecu,2013,79.22296
ecu,2014,81.05611
ecu,2015,82.59524
egy,2006,49.40781
esp,1970,74.19523
esp,1981,53.1
esp,1986,54.5
esp,2004,86.62874
esp,2005,85.94746
esp,2006,86.58106
esp,2007,86.95586
esp,2008,87.40165
esp,2009,87.53907
esp,2010,88.21069
esp,2011,88.52355
esp,2012,89.12309
esp,2014,90.14872
esp,2015,90.4641
eth,2007,25.41249
eth,2011,24.63092
fji,1976,34.48142
fji,1986,53.21999
fji,1996,73.27352
fji,2007,82.79478
fra,1990,99.42611
fra,2004,98.34358
fra,2005,98.60759
fra,2007,99.16474
fra,2008,99.27945
fra,2009,98.88952
fra,2010,98.43424
fra,2011,98.44558
fra,2012,98.45092
