geo,time,gc_tax_othr_rv_zs
afg,2006,2.29584
afg,2007,0.09512
afg,2008,0.07509
afg,2009,0.16621
afg,2010,0.36196
afg,2011,0.3549
afg,2012,0.46239
afg,2013,0.75331
afg,2014,0.69494
afg,2015,0.75734
ago,1999,1.51259
ago,2000,1.1103
ago,2001,2.56238
ago,2002,2.96458
ago,2003,3.15718
ago,2004,3.01681
ago,2005,3.29589
ago,2006,1.72954
ago,2007,1.92618
ago,2008,2.73706
ago,2009,7.14522
ago,2010,3.49008
ago,2011,2.47267
ago,2012,2.73698
ago,2013,3.05153
ago,2014,3.89848
ago,2015,6.6259
ago,2016,7.99836
ago,2017,5.8902
alb,1995,1.35345
alb,1996,1.16586
alb,1997,0.75429
alb,1998,0.48498
alb,2002,0.99936
alb,2003,2.34782
alb,2004,1.12601
alb,2011,0.65255
alb,2012,0.90801
alb,2013,0.47773
alb,2014,0.12049
alb,2015,0.0766
alb,2016,0.45004
alb,2017,0.94079
arg,1990,8.00777
arg,1991,7.22761
arg,1992,4.35029
arg,1993,3.46726
arg,1994,3.35576
arg,1995,5.40944
arg,1996,3.64068
arg,1997,1.9606
arg,1998,1.42156
arg,1999,0.90347
arg,2000,2.07379
arg,2001,1.59483
arg,2002,5.60468
arg,2003,5.96794
arg,2004,6.1931
arg,2005,5.65685
arg,2006,5.37097
arg,2007,5.33694
arg,2008,5.19202
arg,2009,4.64396
arg,2010,4.49244
arg,2011,4.66543
arg,2012,4.54315
arg,2013,4.36742
arg,2014,4.24786
arg,2015,4.47404
arg,2016,9.88591
arg,2017,6.87488
arm,2004,24.98563
arm,2005,19.71914
arm,2006,18.71477
arm,2007,9.97034
arm,2008,9.58196
arm,2009,8.06929
arm,2010,7.74352
arm,2011,7.66862
arm,2012,7.80095
arm,2014,4.40752
arm,2015,7.85409
arm,2016,8.11589
arm,2017,9.85732
atg,2000,6.72256
atg,2001,7.89617
atg,2002,6.76808
atg,2003,7.67415
atg,2004,9.1724
atg,2005,8.55635
atg,2006,7.541
atg,2007,2.9183
atg,2008,1.86177
atg,2009,2.49284
atg,2010,2.5888
atg,2011,2.59125
atg,2012,3.11585
atg,2013,3.06113
atg,2014,3.2998
aus,1972,2.06889
aus,1973,1.05252
aus,1974,0.88958
aus,1975,0.79476
aus,1976,0.80774
aus,1977,0.76042
aus,1978,0.69384
aus,1979,0.4928
aus,1980,0.32395
aus,1981,0.19156
aus,1982,0.14095
aus,1983,0.13298
