geo,time,st_int_trnx_cd
abw,1995,6000000
abw,1996,8000000
abw,1997,5000000
abw,1998,5000000
abw,1999,11000000
abw,2000,17000000
abw,2001,21000000
abw,2002,13000000
abw,2003,25000000
abw,2004,30000000
abw,2005,24000000
abw,2006,23000000
abw,2007,19000000
abw,2008,22000000
abw,2009,21000000
abw,2010,18000000
abw,2011,18000000
abw,2012,19000000
abw,2013,22000000
abw,2014,21000000
abw,2015,15000000
abw,2016,13000000
afg,2008,2000000
afg,2009,2000000
afg,2010,3000000
afg,2011,9000000
afg,2012,5000000
afg,2013,6000000
afg,2014,4000000
afg,2015,4000000
afg,2016,9000000
ago,1995,38000000
ago,1996,37000000
ago,1997,27000000
ago,1998,21000000
ago,1999,15000000
ago,2000,10000000
ago,2001,14000000
ago,2002,33000000
ago,2003,37000000
ago,2004,47000000
ago,2005,61000000
ago,2006,245000000
ago,2007,261000000
ago,2008,193000000
ago,2009,137000000
ago,2010,127000000
ago,2011,143000000
ago,2012,129000000
ago,2013,150000000
ago,2014,392000000
ago,2015,243000000
ago,2016,229000000
alb,1995,12000000
alb,1996,13000000
alb,1997,8000000
alb,1998,17000000
alb,1999,23000000
alb,2000,18000000
alb,2001,12000000
alb,2002,21000000
alb,2003,18000000
alb,2004,27000000
alb,2005,22000000
alb,2006,24000000
alb,2007,63000000
alb,2008,89000000
alb,2009,107000000
alb,2010,92000000
alb,2011,113000000
alb,2012,90000000
alb,2013,88000000
alb,2014,99000000
alb,2015,73000000
alb,2016,76000000
arg,1995,735000000
arg,1996,865000000
arg,1997,1011000000
arg,1998,1052000000
arg,1999,1033000000
arg,2000,1035000000
arg,2001,995000000
arg,2002,416000000
arg,2003,486000000
arg,2004,604000000
arg,2005,764000000
arg,2006,939000000
arg,2007,1142000000
arg,2008,1401000000
arg,2009,1272000000
arg,2010,1497000000
arg,2011,1935000000
arg,2012,2349000000
arg,2013,2489000000
arg,2014,1854000000
arg,2015,2366000000
arg,2016,2703000000
arm,1995,9000000
arm,1996,4000000
arm,1997,4000000
arm,1998,14000000
arm,1999,14000000
arm,2000,16000000
arm,2001,19000000
arm,2002,31000000
arm,2003,30000000
arm,2004,37000000
arm,2005,48000000
arm,2006,35000000
arm,2007,51000000
arm,2008,59000000
arm,2009,53000000
arm,2010,62000000
arm,2011,69000000
arm,2012,71000000
arm,2013,77000000
arm,2014,77000000
arm,2015,61000000
arm,2016,52000000
aus,1995,2095000000
aus,1996,2303000000
aus,1997,2325000000
aus,1998,2127000000
aus,1999,2347000000
aus,2000,2393000000
aus,2001,2193000000
aus,2002,2422000000
aus,2003,2865000000
aus,2004,3982000000
aus,2005,4404000000
aus,2006,4756000000
aus,2007,5598000000
aus,2008,5940000000
aus,2009,3942000000
aus,2010,5293000000
aus,2011,6596000000
aus,2012,7148000000
aus,2013,6622000000
aus,2014,5543000000
aus,2015,4880000000
aus,2016,4879000000
aut,1995,799000000
aut,1996,762000000
aut,1997,610000000
aut,1998,818000000
aut,1999,790000000
aut,2000,769000000
aut,2001,829000000
aut,2002,842000000
aut,2003,1138000000
aut,2004,1575000000
aut,2005,1761000000
aze,1995,19000000
aze,1996,15000000
aze,1997,7000000
aze,1998,11000000
aze,1999,10000000
aze,2000,6000000
aze,2001,10000000
aze,2002,5000000
aze,2003,9000000
aze,2004,14000000
aze,2005,24000000
aze,2006,55000000
aze,2007,117000000
aze,2008,113000000
aze,2009,82000000
aze,2010,74000000
aze,2011,89000000
aze,2012,140000000
aze,2013,155000000
aze,2014,155000000
aze,2015,140000000
aze,2016,99000000
bdi,2004,6000000
bdi,2005,2000000
bdi,2006,1000000
bdi,2007,2000000
bdi,2008,7000000
bdi,2009,9000000
bdi,2010,15000000
bdi,2011,18000000
bel,2001,1102000000
bel,2002,1085000000
bel,2003,1192000000
bel,2004,1500000000
bel,2005,1823000000
bel,2006,2317000000
bel,2007,1709000000
bel,2012,2193000000
bel,2013,2351000000
bel,2014,2623000000
bel,2015,2190000000
bel,2016,2057000000
ben,1995,13000000
ben,1996,22000000
ben,1997,18000000
ben,1998,12000000
ben,1999,37000000
ben,2000,38000000
ben,2001,31000000
ben,2002,29000000
ben,2003,32000000
ben,2004,30000000
ben,2005,31000000
ben,2006,37000000
ben,2007,35000000
ben,2008,38000000
ben,2009,35000000
ben,2010,34000000
ben,2011,28000000
ben,2012,53000000
ben,2013,500000
ben,2014,200000
ben,2015,79000000
bfa,2000,10000000
bfa,2001,13000000
bfa,2002,14000000
bfa,2003,19000000
bfa,2004,28000000
bfa,2005,28000000
bfa,2006,29000000
bfa,2007,35000000
bfa,2008,47000000
bfa,2009,47000000
bfa,2010,41000000
bfa,2011,57000000
bfa,2012,69000000
bfa,2013,71000000
bfa,2014,44000000
bgd,1996,116000000
bgd,1997,136000000
bgd,1998,143000000
bgd,1999,164000000
bgd,2000,181000000
bgd,2001,176000000
bgd,2002,196000000
bgd,2003,224000000
bgd,2004,281000000
bgd,2005,230000000
bgd,2006,339000000
bgd,2007,422000000
bgd,2008,515000000
bgd,2009,396000000
bgd,2010,586000000
bgd,2011,487000000
bgd,2012,585000000
bgd,2013,958000000
bgd,2014,382000000
bgd,2015,400000000
bgd,2016,359000000
bgr,1995,117000000
bgr,1996,115000000
bgr,1997,133000000
bgr,1998,135000000
bgr,1999,221000000
bgr,2000,226000000
bgr,2001,247000000
bgr,2002,301000000
bgr,2003,434000000
bgr,2004,572000000
bgr,2005,549000000
bgr,2006,621000000
bgr,2007,262000000
bgr,2008,291000000
bgr,2009,200000000
bgr,2010,149000000
bgr,2011,159000000
bgr,2012,173000000
bgr,2013,229000000
bgr,2014,257000000
bgr,2015,230000000
bgr,2016,275000000
bhr,1995,198000000
bhr,1996,189000000
bhr,1997,196000000
bhr,1998,185000000
bhr,1999,183000000
bhr,2000,201000000
bhr,2001,173000000
bhr,2002,170000000
bhr,2003,120000000
bhr,2004,141000000
bhr,2005,160000000
bhr,2006,184000000
bhr,2007,192000000
bhr,2008,201000000
bhr,2009,189000000
bhr,2010,178000000
bhr,2011,181000000
bhr,2012,160000000
bhr,2013,160000000
bhr,2014,146000000
bhs,1995,28000000
bhs,1996,44000000
bhs,1997,60000000
bhs,1998,54000000
bhs,1999,34000000
bhs,2000,87000000
bhs,2001,86000000
bhs,2002,94000000
bhs,2003,99000000
bhs,2004,153000000
bhs,2005,184000000
bhs,2006,156000000
bhs,2007,161000000
bhs,2008,155000000
bhs,2009,146000000
bhs,2010,141000000
bhs,2011,101000000
bhs,2012,98000000
bhs,2013,100000000
bhs,2014,116000000
bhs,2015,110000000
bhs,2016,111000000
bih,1998,16000000
bih,1999,18000000
bih,2000,19000000
bih,2001,22000000
bih,2002,27000000
bih,2003,39000000
bih,2004,45000000
bih,2005,36000000
bih,2006,40000000
bih,2007,61000000
bih,2008,64000000
bih,2009,54000000
bih,2010,53000000
bih,2011,54000000
bih,2012,57000000
bih,2013,65000000
bih,2014,76000000
bih,2015,71000000
bih,2016,68000000
blr,1995,14000000
blr,1996,23000000
blr,1997,8000000
blr,1998,14000000
blr,1999,17000000
blr,2000,31000000
blr,2001,32000000
blr,2002,34000000
blr,2003,37000000
blr,2004,50000000
blr,2005,68000000
blr,2006,89000000
blr,2007,118000000
blr,2008,144000000
blr,2009,113000000
blr,2010,126000000
blr,2011,141000000
blr,2012,159000000
blr,2013,180000000
blr,2014,149000000
blr,2015,96000000
blr,2016,91000000
blz,1995,12000000
blz,1996,12000000
blz,1997,12000000
blz,1998,12000000
blz,1999,3000000
blz,2000,4000000
blz,2001,3000000
blz,2002,4000000
blz,2003,4000000
blz,2004,4000000
blz,2005,3000000
blz,2006,2000000
blz,2007,3000000
blz,2008,3000000
blz,2009,2000000
blz,2010,3000000
blz,2011,3000000
blz,2012,2000000
blz,2013,2000000
blz,2014,2000000
blz,2015,3000000
blz,2016,2000000
bmu,2006,126000000
bmu,2007,165000000
bmu,2008,152000000
bmu,2009,112000000
bmu,2010,116000000
bmu,2011,110000000
bmu,2012,106000000
bmu,2013,100000000
bmu,2014,114000000
bmu,2015,119000000
bmu,2016,124000000
bol,1995,24000000
bol,1996,33000000
bol,1997,39000000
bol,1998,38000000
bol,1999,42000000
bol,2000,39000000
bol,2001,31000000
bol,2002,34000000
bol,2003,59000000
bol,2004,68000000
bol,2005,71000000
bol,2006,87000000
bol,2007,81000000
bol,2008,100000000
bol,2009,98000000
bol,2010,108000000
bol,2011,112000000
bol,2012,141000000
bol,2013,139000000
bol,2014,145000000
bol,2015,138000000
bol,2016,126000000
bra,1995,591000000
bra,1996,601000000
bra,1997,789000000
bra,1998,634000000
bra,1999,466000000
bra,2000,654000000
bra,2001,566000000
bra,2002,533000000
bra,2003,613000000
bra,2004,881000000
bra,2005,1185000000
bra,2006,1737000000
bra,2007,2223000000
bra,2008,2307000000
bra,2009,1999000000
bra,2010,2918000000
bra,2011,3806000000
bra,2012,3969000000
bra,2013,4258000000
bra,2014,4431000000
bra,2015,2999000000
bra,2016,2571000000
brb,1995,39000000
brb,1996,40000000
brb,1997,41000000
brb,1998,44000000
brb,1999,45000000
brb,2000,47000000
brb,2001,48000000
brb,2002,47000000
brb,2003,49000000
brb,2004,55000000
brb,2005,57000000
brb,2006,62000000
brb,2007,78000000
brb,2008,74000000
brb,2009,77000000
brb,2010,77000000
brb,2011,59000000
brb,2012,37000000
brb,2013,35000000
btn,2008,1000000
btn,2009,1000000
btn,2010,2000000
btn,2011,2000000
btn,2012,2000000
btn,2013,3000000
btn,2014,3000000
btn,2015,4000000
btn,2016,1000000
bwa,1995,8000000
bwa,1996,14000000
bwa,1997,12000000
bwa,1998,12000000
bwa,1999,8000000
bwa,2000,11000000
bwa,2001,11000000
bwa,2002,13000000
bwa,2003,5000000
bwa,2004,4000000
bwa,2005,1000000
bwa,2006,3000000
bwa,2007,1300000
bwa,2008,700000
bwa,2009,450000
bwa,2010,500000
bwa,2011,480000
bwa,2012,1000000
bwa,2013,200000
bwa,2014,1000000
bwa,2015,400000
caf,2004,1000000
caf,2005,2000000
caf,2006,3000000
caf,2007,6000000
caf,2008,7000000
caf,2009,9000000
caf,2010,18000000
caf,2011,18000000
caf,2012,19000000
caf,2013,19400000
can,1995,2398000000
can,1996,2561000000
can,1997,2671000000
can,1998,2535000000
can,1999,2500000000
can,2000,2687000000
can,2001,2673000000
can,2002,2535000000
can,2003,2972000000
can,2004,3743000000
can,2005,4718000000
can,2006,5452000000
can,2007,6458000000
can,2008,6618000000
can,2009,6027000000
can,2010,7248000000
can,2011,7846000000
can,2012,7972000000
can,2013,7922000000
can,2014,7267000000
can,2015,6109000000
che,1995,2058000000
che,1996,2172000000
che,1997,1957000000
che,1998,1940000000
che,1999,1879000000
che,2000,1941000000
che,2001,1944000000
che,2002,1673000000
che,2003,1731000000
che,2004,1820000000
