geo,time,bm_trf_prvt_cd
abw,1986,16089385.47486
abw,1987,18324022.34637
abw,1988,15810055.86592
abw,1989,14636871.50838
abw,1990,32960893.85475
abw,1991,38100558.65922
abw,1992,25921787.7095
abw,1993,30558659.21788
abw,1994,35865921.78771
abw,1995,35083798.88268
abw,1996,15027932.96089
abw,1997,18770949.72067
abw,1998,21843575.41899
abw,1999,74363128.49162
abw,2000,108329608.93855
abw,2001,94212290.50279
abw,2002,98094972.06704
abw,2003,119089385.47486
abw,2004,148413407.82123
abw,2005,172445274.71271
abw,2006,175508220.71822
abw,2007,171061452.51397
abw,2008,187653631.28492
abw,2009,146424581.00559
abw,2010,134916201.11732
abw,2011,181117318.43575
abw,2012,141173184.35754
abw,2013,146003151.95531
abw,2014,148940137.98883
abw,2015,147565069.27374
abw,2016,138952230.1676
afg,1979,0
afg,1980,6800000
afg,1981,28500000
afg,1982,9100000
afg,1983,2300000
afg,1984,0
afg,1985,0
afg,1986,0
afg,1987,0
afg,1988,0
afg,1989,1200000
afg,2008,96838569.66
afg,2009,319387904.26
afg,2010,385217724.5971
afg,2011,249374085.5805
afg,2012,241372004.71646
afg,2013,369864834.41586
afg,2014,272161608.56653
afg,2015,132775253.35855
afg,2016,123422349.55896
ago,1985,16000000
ago,1986,18000000
ago,1987,8000000
ago,1988,8000000
ago,1989,69000000
ago,1990,140000000
ago,1991,81200000
ago,1992,67757000
ago,1993,85300000
ago,1994,87800000
ago,1995,153496000
ago,1996,107259000
ago,1997,80390000
ago,1998,85050000
ago,1999,92780000
ago,2000,91220000
ago,2001,107910000
ago,2002,103330000
ago,2003,87272970
ago,2004,117850790
ago,2005,117326826.7
ago,2006,213745137.16
ago,2007,229900503.78
ago,2008,222451405
ago,2009,397064204.88
ago,2010,412737126
ago,2011,1377346692.17221
ago,2012,1753880543.19526
ago,2013,2166456294.79063
ago,2014,2207744010.95541
ago,2015,812370622.5
ago,2016,424453743.56
alb,1980,0
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,0
alb,1991,0
alb,1992,300000
alb,1993,1700000
alb,1994,3800000
alb,1995,35700000
alb,1996,23600000
alb,1997,31400000
alb,1998,51720000
alb,1999,180100000
alb,2000,93300000
alb,2001,72500000
alb,2002,56860000
alb,2003,81393510.064
alb,2004,90640381.969
alb,2005,220457840.99339
alb,2006,147255155.77391
alb,2007,241370000
alb,2008,263789853.65677
alb,2009,221221034.37261
alb,2010,194424481.4502
alb,2011,136693799.95306
alb,2012,178750664.93507
alb,2013,162523561.30208
alb,2014,159459039.47187
alb,2015,157304048.51634
alb,2016,154619274.01573
arg,1976,6000000
arg,1977,11000000
arg,1978,17000000
arg,1979,31000000
arg,1980,62000000
arg,1981,92000000
arg,1982,17000000
arg,1983,19000000
arg,1984,19000000
arg,1985,18000000
arg,1986,19000000
arg,1987,19000000
arg,1988,2000000
arg,1989,10000000
arg,1990,17000000
arg,1991,28000000
arg,1992,190200000
arg,1993,195300000
arg,1994,232500000
arg,1995,230100000
arg,1996,244500000
arg,1997,245347385.63534
arg,1998,273468825.01896
arg,1999,297532920.4017
arg,2000,344139734.15402
arg,2001,376463222.43553
arg,2002,250550000
arg,2003,366400000
arg,2004,462340000
arg,2005,657830000
arg,2006,735651124.47527
arg,2007,916880857.79783
arg,2008,1182173502.31699
arg,2009,1317790708.22889
arg,2010,1715497046.57669
arg,2011,1937442338.89078
arg,2012,1628565041.29611
arg,2013,1967694429.99161
arg,2014,1292870670.08407
arg,2015,1262241379.97999
arg,2016,1490791441.82718
arm,1993,0
arm,1994,0
arm,1995,0
arm,1996,14400000
arm,1997,33790000
arm,1998,19671120
arm,1999,22584400
arm,2000,18450800
arm,2001,22928800
arm,2002,24436508
arm,2003,24692508
arm,2004,132948015.94943
arm,2005,153220232.73931
arm,2006,150768993.23014
arm,2007,204200522.20399
arm,2008,208362205.53675
arm,2009,165021395.90814
arm,2010,203033570.71866
arm,2011,237067834.65038
arm,2012,253751422.60002
arm,2013,289514593.31329
arm,2014,308876252.17251
arm,2015,259923938.49158
arm,2016,253145664.97782
atg,1977,100000
atg,1978,200000
atg,1979,1100000
atg,1980,1300000
atg,1981,1200000
atg,1982,1300000
atg,1983,1400000
atg,1984,1500000
atg,1985,1600000
atg,1986,3133333.33333
atg,1987,4137037.03704
atg,1988,4740740.74074
atg,1989,4222222.22222
atg,1990,4644444.44444
atg,1991,7111111.11111
atg,1992,8514814.81481
atg,1993,10981481.48148
atg,1994,8396296.2963
atg,1995,11566666.66667
atg,1996,2051851.85185
