geo,time,bx_trf_pwkr_cd_dt
abw,1991,2569832.325
abw,1992,2625698.328
abw,1993,3351955.414
abw,1994,3910614.491
abw,1995,1340782.12291
abw,1996,1620111.73184
abw,1997,1843575.41899
abw,1998,1620111.73184
abw,1999,608938.54749
abw,2000,1083798.88268
abw,2001,1335195.53073
abw,2002,1329608.93855
abw,2003,273743.01676
abw,2004,1458100.55866
abw,2005,819846.09627
abw,2006,1036166.00246
abw,2007,5195530.72626
abw,2008,6759776.53631
abw,2009,9050279.32961
abw,2010,4972067.03911
abw,2011,5307262.56983
abw,2012,4860335.19553
abw,2013,6337950.83799
abw,2014,7465211.17318
abw,2015,8083713.40782
abw,2016,7490432.96089
abw,2017,7723417.6355
afg,2008,76298328.17
afg,2009,106800435.58
afg,2010,362010492.4881
afg,2011,178951662.902
afg,2012,204432325.60146
afg,2013,329226634.30262
afg,2014,249788572.48174
afg,2015,341311420.48635
afg,2016,368030029.73576
afg,2017,378240417.21915
ago,1996,5142000
ago,2008,82084000
ago,2009,162358.5
ago,2010,17972037
ago,2011,204751.1
ago,2012,40348853.98948
ago,2013,36637411.34017
ago,2014,30971119.27078
ago,2015,11114711.6
ago,2016,3988048.38
ago,2017,1418195.84
alb,1992,151800000
alb,1993,332000000
alb,1994,307100000
alb,1995,427300000
alb,1996,550900000
alb,1997,300300000
alb,1998,504140000
alb,1999,407200000
alb,2000,597800000
alb,2001,699300000
alb,2002,733570000
alb,2003,888748582.30964
alb,2004,1160672105.01954
alb,2005,1289704315.92613
alb,2006,1359467324.66364
alb,2007,1468020000
alb,2008,1865574187.98517
alb,2009,1716130304.11596
alb,2010,1586925580.48814
alb,2011,1551123785.68566
alb,2012,1420282798.149
alb,2013,1281914066.36452
alb,2014,1420535452.78401
alb,2015,1290350891.31656
alb,2016,1305750160.70427
alb,2017,1310873388.34702
arg,1978,26000000
arg,1979,42000000
arg,1980,56000000
arg,1981,42000000
arg,1982,28000000
arg,1983,28000000
arg,1984,32000000
