geo,time,ic_cus_durs_ex
afg,2008,14.6
afg,2014,8.1
ago,2010,6.7
alb,2005,1.4
alb,2007,1.9
alb,2013,1.2
arg,2006,5.5
arg,2010,7.3
arg,2017,6.5
arm,2002,3.3
arm,2005,4.9
arm,2009,3.3
arm,2013,8.6
atg,2010,6.4
aze,2002,2.2
aze,2005,1.4
aze,2009,1.9
bdi,2014,20.6
ben,2009,7
ben,2016,17.9
bfa,2006,2.8
bfa,2009,7.4
bgd,2007,8.4
bgd,2013,7
bgr,2002,6.9
bgr,2005,2.1
bgr,2007,2.6
bgr,2009,4.2
bgr,2013,2.3
bhs,2010,6.1
bih,2002,3.2
bih,2005,2.1
bih,2009,1.3
bih,2013,2.8
blr,2002,2.2
blr,2005,3.2
blr,2008,2.6
blr,2013,2.4
blz,2010,6.2
bol,2006,15.3
bol,2010,12.4
bol,2017,9.7
bra,2009,16.4
brb,2010,6.5
btn,2009,2.2
btn,2015,12.7
bwa,2006,1.3
bwa,2010,6.2
caf,2011,9.5
chl,2006,5.8
chl,2010,10.8
chn,2012,7.6
civ,2009,16.6
civ,2016,19.6
cmr,2006,4.3
cmr,2009,15.1
cmr,2016,6.7
cod,2006,3.6
cod,2010,18
cod,2013,6.3
col,2006,7
col,2010,8.6
col,2017,12.5
cri,2005,3.4
cri,2010,10
cze,2002,3.8
cze,2005,2.4
cze,2009,5.7
cze,2013,11.4
deu,2005,4.7
dji,2013,10.4
dma,2010,4.8
dom,2010,6.6
dom,2016,9.4
dza,2007,14.1
east_asia_pacific,2017,7.11667
ecu,2006,7
ecu,2010,18.2
ecu,2017,9.2
egy,2007,5.8
egy,2008,6.2
egy,2013,7.4
egy,2016,7.5
eri,2009,9.6
esp,2005,4.9
est,2002,2.5
est,2005,1.7
est,2009,1.8
est,2013,2
eth,2006,4.3
eth,2011,15.8
eth,2015,7.7
europe_central_asia,2017,4.53448
fji,2009,11.6
fsm,2009,18.3
gab,2009,3.8
geo,2002,3.9
geo,2005,3.5
geo,2008,3.8
geo,2013,2.9
gha,2007,7.8
gha,2013,7.8
gin,2006,4.3
gmb,2006,5
gmb,2018,4.8
gnb,2006,5.6
grc,2005,5.5
grd,2010,9.3
gtm,2006,4.5
gtm,2010,4.7
gtm,2017,4.5
guy,2010,11.5
high_income,2017,5.155
hnd,2006,6
hnd,2010,10.1
hnd,2016,3.8
hrv,2002,2.7
hrv,2005,2
hrv,2007,1.3
hrv,2013,1.8
hun,2002,2.3
hun,2005,4.4
hun,2009,4.3
hun,2013,3.7
idn,2009,2.2
idn,2015,8.3
ind,2006,15.1
ind,2014,5.8
irl,2005,2.6
irq,2011,11.8
isr,2013,4.6
jam,2010,13.1
