geo,time,bx_gsr_nfsv_cd
abw,1986,216871508.37989
abw,1987,260055865.92179
abw,1988,326201117.31844
abw,1989,351340782.1229
abw,1990,411005586.59218
abw,1991,472681564.24581
abw,1992,571173184.35754
abw,1993,604078212.2905
abw,1994,624245810.05587
abw,1995,646201117.31844
abw,1996,770726256.98324
abw,1997,816089385.47486
abw,1998,892402234.63687
abw,1999,967821229.05028
abw,2000,1580927374.30168
abw,2001,1826307262.56983
abw,2002,1224983240.22346
abw,2003,1606865921.78771
abw,2004,1253318435.75419
abw,2005,1307801365.864
abw,2006,1309238124.44077
abw,2007,1471229050.27933
abw,2008,1603072625.69832
abw,2009,1538268156.42458
abw,2010,1560111731.84358
abw,2011,1680949720.67039
abw,2012,1762122905.02793
abw,2013,1883048062.56983
abw,2014,2040683391.62011
abw,2015,2104597279.32961
abw,2016,2062962236.87151
afg,1979,75100000
afg,1980,35600000
afg,1981,31900000
afg,1982,49000000
afg,1983,49700000
afg,1984,33400000
afg,1985,40000000
afg,1986,29300000
afg,1987,35600000
afg,1988,69600000
afg,1989,8200000
afg,2008,1291163897.42209
afg,2009,1703517187.90446
afg,2010,2116422127.32345
afg,2011,2584229157.06067
afg,2012,1839925061.2595
afg,2013,880573280.42841
afg,2014,1344754765.01547
afg,2015,835413921.64272
afg,2016,508928812.7277
afg,2017,363739706.92948
ago,1985,129000000
ago,1986,116000000
ago,1987,93000000
ago,1988,128000000
ago,1989,150000000
ago,1990,108500000
ago,1991,171300000
ago,1992,142859000
ago,1993,105800000
ago,1994,150200000
ago,1995,113058000
ago,1996,267659000
ago,1997,138540000
ago,1998,121830000
ago,1999,152980000
ago,2000,267280000
ago,2001,202500000
ago,2002,206791017
ago,2003,201083912.5
ago,2004,322767646
ago,2005,176825253.59
ago,2006,1484233231.82
ago,2007,310711817.82
ago,2008,329450105.74
ago,2009,623201630.99
ago,2010,856877283.29
ago,2011,732259285.16365
ago,2012,780010051.96135
ago,2013,1315703839.48478
ago,2014,1681346774.64513
ago,2015,1256163317.86066
ago,2016,710892137.46101
ago,2017,984580377.86522
ago,2018,631124522.86845
alb,1980,10900000
alb,1981,12000000
alb,1982,13200000
alb,1983,13000000
alb,1984,15400000
alb,1985,15000000
alb,1986,16000000
alb,1987,22300000
alb,1988,29600000
alb,1989,40200000
alb,1990,31500000
alb,1991,9200000
alb,1992,20300000
alb,1993,77600000
alb,1994,79100000
alb,1995,98800000
alb,1996,129200000
alb,1997,8480000
alb,1998,36460000
alb,1999,297800000
alb,2000,459300000
alb,2001,548700000
alb,2002,582000000
alb,2003,746054345.36925
alb,2004,1100785351.68689
alb,2005,1266654421.33486
alb,2006,1645948961.12054
alb,2007,2104555789.35781
alb,2008,2735850300.64954
alb,2009,2655765242.53057
alb,2010,2585405550.36809
alb,2011,2811839068.21893
alb,2012,2433248737.35242
alb,2013,2282648007.86168
alb,2014,2491501225.18964
alb,2015,2247966164.26904
alb,2016,2650109891.62724
alb,2017,3240478493.0715
alb,2018,3612977570.59883
arg,1976,714000000
arg,1977,951000000
arg,1978,1087000000
arg,1979,1369000000
arg,1980,1876000000
arg,1981,1716000000
arg,1982,1574000000
arg,1983,1455000000
arg,1984,1511000000
arg,1985,1651000000
arg,1986,1597000000
arg,1987,1794000000
arg,1988,2015000000
arg,1989,2193000000
arg,1990,2446000000
arg,1991,2408000000
arg,1992,2968800000
arg,1993,3023560000
arg,1994,3329000000
arg,1995,3814600000
arg,1996,4390154642.49289
arg,1997,4582871471.35522
arg,1998,4847269562.61265
arg,1999,4709518724.6817
arg,2000,4899720314.83402
arg,2001,4588753076.83113
arg,2002,3420200000
arg,2003,4385610000
arg,2004,5168450000
arg,2005,6458060000
arg,2006,7911015092.92039
arg,2007,10045736496.1757
arg,2008,11424149071.7763
arg,2009,10544621323.6348
arg,2010,12817143360.6088
arg,2011,14496981275.3835
arg,2012,14247100729.5577
arg,2013,13679891768.3754
arg,2014,13396371827.7264
arg,2015,13213512349.9764
arg,2016,13424706884.2252
arg,2017,14751838697.9304
arg,2018,14128614723.365
arm,1993,17280000
arm,1994,13670000
arm,1995,28600000
arm,1996,77709934.82188
arm,1997,101146191.80822
arm,1998,126571484.19109
arm,1999,138907924.63242
arm,2000,140414195.21458
arm,2001,192647538.29561
arm,2002,193009866.88056
arm,2003,256754361.92529
arm,2004,347019635.33988
arm,2005,430149629.08668
arm,2006,593736019.23362
arm,2007,764224433.25257
arm,2008,837340386.74354
arm,2009,785685432.60909
arm,2010,1013193794.38128
arm,2011,1310642402.84272
arm,2012,1401669404.03067
arm,2013,1519401714.50856
arm,2014,1620196592.72308
arm,2015,1512424013.40841
arm,2016,1609698263.08606
arm,2017,1921515442.42765
arm,2018,2062791838.96167
atg,1977,24700000
atg,1978,29500000
atg,1979,38200000
atg,1980,44600000
atg,1981,52500000
atg,1982,51700000
atg,1983,62800000
atg,1984,132100000
atg,1985,150300000
atg,1986,174362962.96296
atg,1987,200681481.48148
atg,1988,237333333.33333
atg,1989,261792592.59259
atg,1990,311874074.07407
atg,1991,314659259.25926
atg,1992,332362962.96296
atg,1993,377088888.88889
atg,1994,392011111.11111
atg,1995,348462962.96296
atg,1996,364488888.88889
atg,1997,405414814.81481
atg,1998,429466666.66667
atg,1999,434956523.33333
atg,2000,414507942.96296
atg,2001,400684444.44444
atg,2002,394225920
atg,2003,417912843.33333
atg,2004,476912066.66667
atg,2005,462599163.7037
atg,2006,474173894.44444
atg,2007,522005722.22222
atg,2008,559982996.2963
atg,2009,510882462.59259
atg,2010,478118505.55556
atg,2011,481604752.59259
atg,2012,482507612.59259
atg,2013,464986200.74074
atg,2014,928575965.50286
atg,2015,949239603.53166
atg,2016,951186063.52592
atg,2017,930547076.32226
aus,1989,9101138891.19944
aus,1990,10379231509.6813
aus,1991,11188489167.529
aus,1992,11657325373.3848
aus,1993,12574272322.5159
aus,1994,14599961679.8575
aus,1995,16875530201.2774
