country,year,sl_tlf_cact_fe_ne_zs
abw,1960,25.73
abw,1972,30.97
abw,1981,40.09
abw,1991,50.7
abw,2000,56.11
abw,2007,59.45
abw,2010,59.52
abw,2011,58.8
afg,1979,6.83
afg,2011,19.15
ago,1960,7.6
ago,2004,62.68
ago,2011,74.91
alb,1960,36.35
alb,1989,46.76
alb,1990,45.22
alb,1991,44.52
alb,1992,44.18
alb,1993,36.54
alb,1995,32.54
alb,1996,30.74
alb,1997,43.6
alb,1998,44.1
alb,1999,43.4
alb,2000,44.3
alb,2001,49.71
alb,2002,49.28
alb,2003,27.17
alb,2004,27.28
alb,2005,27.3
alb,2006,27.31
alb,2007,87.25
alb,2008,45.66
alb,2009,46.13
alb,2010,46.86
alb,2011,52.49
alb,2012,48.84
alb,2013,43.94
alb,2014,44.39
alb,2015,47.23
are,1975,10.15
are,1980,15.82
are,1995,31.33
are,2005,37.77
are,2008,41.82
are,2009,42.07
are,2016,47.54
arg,1960,23.23
arg,1970,26.49
arg,1977,29
arg,1978,29.39
arg,1979,29.74
arg,1980,27.36
arg,1983,27.85
arg,1985,28.04
arg,1987,28.18
arg,1989,29.07
arg,1990,29.11
arg,1991,39.6
arg,1992,35.2
arg,1993,37.9
arg,1994,36.8
arg,1995,41.33
arg,1996,44.5
arg,1997,44.5
arg,1998,45.5
arg,1999,46.8
arg,2000,44.11
arg,2001,43.2
arg,2002,45.6
arg,2003,48.97
arg,2004,50.31
arg,2005,49.48
arg,2006,50.1
arg,2007,48.9
arg,2008,48.42
arg,2009,49.13
arg,2010,48.05
arg,2011,48.24
arg,2012,48.38
arg,2013,47.96
arg,2014,47.71
arm,1997,54.32
arm,2000,35.28
arm,2006,41.46
arm,2008,49.55
arm,2009,51
arm,2010,52.2
arm,2011,55.29
arm,2012,55.25
arm,2013,55.92
arm,2014,55.17
arm,2015,54.17
arm,2016,52.37
asm,1960,42.51
asm,1970,14.57
asm,1974,38.27
asm,1980,34.01
asm,1990,42.37
atg,1960,23.4
atg,1970,43.98
atg,1991,59.92
atg,2001,66.24
aus,1961,28.86
aus,1966,35.17
aus,1971,37.13
aus,1976,43.82
aus,1979,43.58
aus,1980,44.77
aus,1981,44.75
aus,1982,44.64
aus,1983,44.66
aus,1984,45.3
aus,1985,46.28
aus,1986,48.29
aus,1987,48.94
aus,1988,49.86
aus,1989,51.23
aus,1990,52.25
aus,1991,51.98
aus,1992,51.94
aus,1993,51.7
aus,1994,52.6
aus,1995,53.6
aus,1996,53.79
aus,1997,53.58
aus,1998,53.64
aus,1999,53.63
aus,2000,54.51
aus,2001,55.05
aus,2002,55.24
aus,2003,55.91
aus,2004,55.69
aus,2005,56.97
aus,2006,57.52
aus,2007,58.07
aus,2008,58.55
aus,2009,58.75
aus,2010,58.61
aus,2011,58.86
aus,2012,58.77
aus,2013,58.69
aus,2014,58.67
aus,2015,59.13
aus,2016,59.35
aus,2017,59.83
aut,1961,44.77
aut,1971,39.2
aut,1980,37.36
aut,1981,42.43
aut,1982,39.15
aut,1983,39.12
aut,1984,40.59
aut,1985,40.11
aut,1986,40.56
aut,1987,41.45
aut,1988,41.77
aut,1989,42.12
aut,1990,43.03
aut,1991,43.53
aut,1992,44.83
aut,1993,45.3
aut,1994,48.65
aut,1995,49.38
aut,1996,48.82
aut,1997,48.72
aut,1998,49.34
aut,1999,49.52
aut,2000,49.42
aut,2001,49.37
aut,2002,50.66
aut,2003,50.8
aut,2004,50.02
aut,2005,51.3
aut,2006,51.99
aut,2007,52.85
aut,2008,53.38
aut,2009,54.05
aut,2010,54.16
aut,2011,54.51
aut,2012,55
aut,2013,55.29
aut,2014,55.31
aut,2015,55.36
aut,2016,55.91
