geo,time,vc_idp_tocv
afg,2009,297000
afg,2010,352000
afg,2011,450000
afg,2012,492000
afg,2013,631000
afg,2014,805000
afg,2015,1174000
afg,2016,1553000
afg,2017,1286000
arm,2009,8400
arm,2010,8400
arm,2011,8400
arm,2012,8400
arm,2013,8400
arm,2014,8400
arm,2015,8400
arm,2016,8400
aze,2009,586000
aze,2010,593000
aze,2011,599000
aze,2012,600000
aze,2013,543000
aze,2014,569000
aze,2015,564000
aze,2016,582000
aze,2017,393000
bdi,2009,100000
bdi,2010,100000
bdi,2011,79000
bdi,2012,79000
bdi,2013,79000
bdi,2014,78000
bdi,2015,99000
bdi,2016,59000
bdi,2017,57000
bfa,2016,700
bfa,2017,4900
bgd,2009,426000
bgd,2010,426000
bgd,2011,426000
bgd,2012,426000
bgd,2013,426000
bgd,2014,426000
bgd,2015,426000
bgd,2016,426000
bgd,2017,432000
bih,2009,114000
bih,2010,113000
bih,2011,113000
bih,2012,103000
bih,2013,103000
bih,2014,100000
bih,2015,98000
bih,2016,98000
bih,2017,99000
caf,2009,162000
caf,2010,192000
caf,2011,105000
caf,2012,132000
caf,2013,935000
caf,2014,439000
caf,2015,452000
caf,2016,412000
caf,2017,689000
civ,2009,342000
civ,2010,522000
civ,2011,247000
civ,2012,80000
civ,2013,80000
civ,2014,301000
civ,2015,303000
civ,2016,301000
civ,2017,16000
cmr,2014,40000
cmr,2015,124000
cmr,2016,177000
cmr,2017,239000
cod,2009,1900000
cod,2010,1700000
cod,2011,1710000
cod,2012,2700000
cod,2013,2964000
cod,2014,2757000
cod,2015,1500000
cod,2016,2230000
cod,2017,4480000
cog,2009,7800
cog,2010,7800
cog,2011,7800
cog,2012,7800
cog,2013,7800
cog,2014,7800
cog,2015,7800
cog,2016,33000
cog,2017,108000
col,2009,4916000
col,2010,5196000
col,2011,5281000
col,2012,5455000
col,2013,5700000
col,2014,6044000
col,2015,6270000
col,2016,7246000
col,2017,6509000
cyp,2009,201000
cyp,2010,208000
cyp,2011,208000
cyp,2012,210000
cyp,2013,212000
cyp,2014,212000
cyp,2015,272000
cyp,2016,272000
cyp,2017,217000
dza,2016,2500
egy,2015,78000
egy,2016,78000
egy,2017,82000
eri,2009,10000
eri,2010,10000
eri,2011,10000
eri,2012,10000
eri,2013,10000
eri,2014,10000
eth,2009,350000
eth,2010,300000
eth,2011,350000
eth,2012,350000
eth,2013,316000
eth,2014,397000
eth,2015,450000
eth,2016,258000
eth,2017,1078000
geo,2009,240000
geo,2010,257000
geo,2011,270000
geo,2012,280000
geo,2013,207000
geo,2014,233000
geo,2015,239000
geo,2016,208000
geo,2017,289000
gtm,2013,242000
gtm,2014,249000
gtm,2015,251000
gtm,2016,257000
gtm,2017,242000
hnd,2014,29000
hnd,2015,174000
hnd,2016,190000
hnd,2017,190000
hrv,2009,2400
hrv,2010,2300
hrv,2011,2100
idn,2009,70000
idn,2010,200000
idn,2011,180000
idn,2012,170000
idn,2013,90000
idn,2014,84000
idn,2015,6100
idn,2016,7100
idn,2017,13000
ind,2009,500000
ind,2010,650000
ind,2011,650000
ind,2012,1000000
ind,2013,526000
ind,2014,854000
ind,2015,612000
ind,2016,796000
ind,2017,806000
irq,2009,2764000
irq,2010,2800000
irq,2011,2600000
irq,2012,2100000
irq,2013,2100000
irq,2014,3276000
irq,2015,3290000
irq,2016,3035000
irq,2017,2648000
ken,2009,250000
ken,2010,250000
ken,2011,250000
ken,2012,300000
ken,2013,412000
ken,2014,309000
ken,2015,309000
ken,2016,138000
ken,2017,159000
kgz,2010,75000
kgz,2011,67000
kgz,2012,164000
kos,2009,20000
kos,2010,18000
kos,2011,18000
kos,2012,18000
kos,2013,17000
kos,2014,17000
kos,2015,17000
kos,2016,17000
kos,2017,16000
lbn,2009,90000
lbn,2010,75000
lbn,2011,47000
lbn,2012,45000
lbn,2013,20000
lbn,2014,20000
lbn,2015,12000
lbn,2016,12000
lbn,2017,11000
lbr,2009,23000
lbr,2010,23000
lbr,2011,23000
lbr,2012,23000
lbr,2013,23000
lbr,2014,23000
lby,2011,154000
lby,2012,50000
lby,2013,59000
lby,2014,400000
lby,2015,500000
lby,2016,304000
lby,2017,197000
lka,2009,400000
lka,2010,327000
lka,2011,125000
lka,2012,93000
lka,2013,90000
lka,2014,90000
lka,2015,44000
lka,2016,44000
lka,2017,42000
low_income,2016,16198200
low_income,2017,19512902
lower_middle_income,2009,9144600
lower_middle_income,2010,9137600
lower_middle_income,2011,6001100
lower_middle_income,2012,6896100
lower_middle_income,2013,9237100
lower_middle_income,2014,10122600
lower_middle_income,2015,11689200
lower_middle_income,2016,10719500
lower_middle_income,2017,8543000
mex,2009,8000
mex,2010,123000
mex,2011,162000
mex,2012,162000
mex,2013,160000
mex,2014,281000
mex,2015,287000
mex,2016,311000
mex,2017,345000
mkd,2009,640
mkd,2010,640
mkd,2011,640
mkd,2012,620
mkd,2013,330
mkd,2014,220
mkd,2015,200
mkd,2016,150
mkd,2017,140
mli,2012,230000
mli,2013,218000
mli,2014,62000
mli,2015,50000
mli,2016,37000
mli,2017,38000
mmr,2009,470000
mmr,2010,446000
mmr,2011,450000
mmr,2012,450000
mmr,2013,641000
mmr,2014,645000
mmr,2015,644000
mmr,2016,644000
mmr,2017,635000
moz,2016,15000
moz,2017,10000
ner,2009,11000
ner,2010,11000
ner,2011,11000
ner,2012,11000
ner,2013,11000
ner,2014,11000
ner,2015,153000
ner,2016,136000
ner,2017,144000
nga,2013,3300000
nga,2014,1075000
nga,2015,2096000
nga,2016,1955000
nga,2017,1707000
npl,2009,60000
npl,2010,50000
npl,2011,50000
npl,2012,50000
npl,2013,50000
npl,2014,50000
npl,2015,50000
npl,2016,50000
npl,2017,2
pak,2009,1230000
pak,2010,980000
pak,2011,900000
pak,2012,758000
pak,2013,747000
pak,2014,1900000
pak,2015,1459000
pak,2016,464000
pak,2017,249000
per,2009,150000
per,2010,150000
per,2011,150000
per,2012,150000
per,2013,150000
per,2014,150000
per,2015,60000
per,2016,62000
per,2017,59000
phl,2009,125000
phl,2010,15000
phl,2011,46000
phl,2013,116000
phl,2014,78000
phl,2015,62000
phl,2016,87000
phl,2017,445000
png,2014,7500
png,2015,6300
png,2016,8400
png,2017,12000
pse,2009,160000
pse,2010,160000
pse,2011,160000
pse,2012,145000
pse,2013,146000
pse,2014,275000
pse,2015,221000
pse,2016,193000
pse,2017,231000
rus,2009,80000
rus,2010,78000
rus,2012,29000
rus,2013,35000
rus,2014,25000
rus,2015,27000
rus,2016,19000
rus,2017,19000
sdn,2009,4900000
sdn,2010,4800000
sdn,2011,2200000
sdn,2012,3000000
sdn,2013,2427000
sdn,2014,3100000
sdn,2015,3182000
sdn,2016,3300000
sdn,2017,2072000
sen,2009,24000
sen,2010,24000
sen,2011,24000
sen,2012,22000
sen,2013,24000
sen,2014,24000
sen,2015,24000
sen,2016,24000
sen,2017,22000
som,2009,1500000
som,2010,1500000
som,2011,1459000
som,2012,1350000
som,2013,1100000
som,2014,1107000
som,2015,1223000
som,2016,1107000
som,2017,825000
south_asia,2009,2913000
south_asia,2010,2785000
south_asia,2011,2601000
south_asia,2012,2819000
south_asia,2013,2470000
south_asia,2014,4125000
south_asia,2015,3765000
south_asia,2016,3333000
south_asia,2017,2815002
srb,2009,225000
srb,2010,225000
srb,2011,225000
srb,2012,225000
srb,2013,97000
srb,2014,97000
ssd,2011,350000
ssd,2012,350000
ssd,2013,383000
ssd,2014,1498000
ssd,2015,1697000
ssd,2016,1854000
ssd,2017,1899000
sub_saharan_africa,2016,12199200
sub_saharan_africa,2017,13729900
syr,2009,433000
syr,2010,433000
syr,2011,600000
syr,2012,3000000
syr,2013,6500000
syr,2014,7600000
syr,2015,6600000
syr,2016,6326000
syr,2017,6784000
tcd,2009,168000
tcd,2010,171000
tcd,2011,126000
tcd,2012,90000
tcd,2013,90000
tcd,2014,71000
tcd,2015,107000
tcd,2016,108000
tcd,2017,158000
tgo,2009,10000
tgo,2010,10000
tgo,2011,10000
tgo,2012,10000
tgo,2013,10000
tgo,2014,10000
tgo,2015,3000
tgo,2016,1500
tha,2011,35000
tha,2012,35000
tha,2013,35000
tha,2014,35000
tha,2015,35000
tha,2016,35000
tha,2017,41000
tkm,2009,4000
tkm,2010,4000
tkm,2011,4000
tkm,2012,4000
tkm,2013,4000
tkm,2014,4000
tls,2009,400
tls,2010,400
tls,2011,900
tls,2012,900
tls,2013,900
tls,2014,900
tur,2009,1000000
tur,2010,1000000
tur,2011,1000000
tur,2012,1000000
tur,2013,954000
tur,2014,954000
tur,2015,954000
tur,2016,1108000
tur,2017,1113000
uga,2009,435000
uga,2010,166000
uga,2011,30000
uga,2012,30000
uga,2013,30000
uga,2014,30000
uga,2015,30000
uga,2016,53000
uga,2017,24000
ukr,2014,647000
ukr,2015,1679000
ukr,2016,1653000
ukr,2017,800000
uzb,2009,3400
uzb,2010,3400
uzb,2011,3400
uzb,2012,3400
uzb,2013,3400
uzb,2014,3400
yem,2009,175000
yem,2010,226000
yem,2011,464000
yem,2012,385000
yem,2013,307000
yem,2014,334000
yem,2015,2509000
yem,2016,1974000
yem,2017,2014000
