geo,time,sl_tlf_acti_1524_fe_ne_zs
abw,1991,45.48
abw,2007,39.65
afg,1979,9.61
ago,1960,8.34
ago,2004,45.04
ago,2011,57.32
alb,2001,49.43
alb,2002,45.66
alb,2007,88.45
alb,2008,28.67
alb,2009,29.9
alb,2010,27.18
alb,2011,36.07
alb,2012,27
alb,2013,19.36
alb,2014,20.55
alb,2015,22.65
are,1975,8.14
are,2005,28.41
are,2008,30.08
arg,1960,36.63
arg,1970,37.14
arg,1977,38.35
arg,1978,38.4
arg,1979,38.46
arg,1980,34.86
arg,1983,40.26
arg,1985,35.36
arg,1987,35.37
arg,1989,36.16
arg,1990,36.99
arg,1991,36.98
arg,1992,40.5
arg,1993,42.4
arg,1994,43.1
arg,1995,41.16
arg,1996,47
arg,1997,44.2
arg,1998,41.2
arg,1999,41.5
arg,2004,39.64
arg,2005,36.8
arg,2006,38.3
arg,2007,36.7
arg,2008,34.87
arg,2009,33.98
arg,2010,32.52
arg,2011,32.09
arg,2012,31.51
arg,2013,30.78
arg,2014,30.12
arm,1997,26.56
arm,2008,31.71
arm,2011,31.43
arm,2012,29.52
arm,2013,32.69
arm,2014,32.83
arm,2015,35.31
arm,2016,29.87
asm,1960,35.33
asm,1974,27.34
asm,1980,23.06
asm,1990,27.85
atg,1970,50.29
atg,1991,48.16
atg,2001,46.28
aus,1961,58.16
aus,1966,60.71
aus,1971,55.31
aus,1976,57.34
aus,1979,63.85
aus,1980,66.18
aus,1981,65.52
aus,1982,65.38
aus,1983,65.87
aus,1984,66.17
aus,1985,66.75
aus,1986,67.98
aus,1987,67.67
aus,1988,67.32
aus,1989,68.71
aus,1990,68.86
aus,1991,66.69
aus,1992,66.48
aus,1993,65.72
aus,1994,68.14
aus,1995,69.56
aus,1996,69.48
aus,1997,67.52
aus,1998,67.61
aus,1999,67.97
aus,2000,68.45
aus,2001,69.06
aus,2002,68.22
aus,2003,69.01
aus,2004,69.07
aus,2005,69.57
aus,2006,69.49
aus,2007,69.69
aus,2008,69.47
aus,2009,67.73
aus,2010,67.19
aus,2011,67.47
aus,2012,66.78
aus,2013,66.26
aus,2014,66.25
aus,2015,66.72
aus,2016,66.36
aus,2017,66.33
aut,1961,75.33
aut,1971,64.1
aut,1980,51.63
aut,1981,63.46
aut,1982,55.22
aut,1983,56.66
aut,1984,59.99
aut,1985,58.69
aut,1986,59.36
aut,1987,61.53
aut,1988,61.14
aut,1989,60.95
aut,1990,60.14
aut,1991,60.49
aut,1992,61.65
aut,1993,58.2
aut,1994,59.22
aut,1995,58.87
aut,1996,56.38
aut,1997,55.45
aut,1998,55.5
aut,1999,54.17
aut,2000,51.49
aut,2001,50.15
aut,2002,51.01
aut,2003,49.74
aut,2004,51.22
aut,2005,54.1
aut,2006,54.07
aut,2007,56.02
aut,2008,56.16
aut,2009,56.19
aut,2010,53.99
aut,2011,54.81
aut,2012,55.38
aut,2013,55.29
aut,2014,55.36
aut,2015,54.14
aut,2016,54.59
aze,1999,49.4
aze,2007,39.38
aze,2008,35.03
aze,2009,37.78
aze,2010,41.67
aze,2011,32.24
bdi,1979,93.05
bdi,1986,79.1
bdi,1990,84.41
bdi,1998,73.06
bdi,2008,54.03
bdi,2014,57.63
bel,1961,46.18
bel,1970,47.66
bel,1981,21.24
bel,1983,41.76
bel,1984,40.79
bel,1985,41.44
bel,1986,41.56
bel,1987,40.19
bel,1988,36.8
bel,1989,33.79
bel,1990,34.07
bel,1991,35.38
bel,1992,35.71
bel,1993,32.69
bel,1994,32.98
bel,1995,31.68
bel,1996,29.89
bel,1997,29.32
bel,1998,29.41
bel,1999,30.12
bel,2000,32.64
bel,2001,29.96
bel,2002,30.24
bel,2003,28.81
bel,2004,32.16
bel,2005,32.33
bel,2006,31.93
bel,2007,31.56
bel,2008,30.78
bel,2009,29.93
bel,2010,29.77
bel,2011,29.78
bel,2012,27.91
bel,2013,28.24
bel,2014,28.08
bel,2015,27.12
bel,2016,26.15
ben,1975,65.5
ben,1979,35.76
ben,1986,35.36
ben,1992,55.19
ben,2001,52.25
ben,2002,58.66
ben,2010,44.94
ben,2011,47.35
bfa,1985,76.46
bfa,1991,74.14
bfa,2006,57.74
bfa,2014,45.34
bgd,1961,17.13
bgd,1974,3.88
bgd,1981,4.28
bgd,1984,7.74
bgd,1985,7.85
bgd,1986,8.3
bgd,1989,60.61
bgd,1991,59.63
bgd,1996,53.25
bgd,2000,52.48
bgd,2003,32.33
bgd,2005,22.34
bgd,2006,22.09
bgd,2010,34.53
bgd,2013,37.74
bgd,2016,23.61
bgr,1965,50.65
bgr,1975,56.71
bgr,1992,50.36
bgr,1997,29.6
bgr,2000,25.64
bgr,2001,32.57
bgr,2002,28.6
bgr,2003,25.69
bgr,2004,25.63
bgr,2005,24.53
bgr,2006,26.36
bgr,2007,25.96
bgr,2008,26.08
bgr,2009,24.81
bgr,2010,26.59
bgr,2011,24.81
bgr,2012,25.31
bgr,2013,24.7
bgr,2014,22.65
bgr,2015,21.17
bgr,2016,19.56
bhr,1971,6.42
bhr,1981,19.62
bhr,1985,20.82
bhr,1987,21.17
bhr,1991,23.67
bhr,2001,25.91
bhr,2004,29.89
bhr,2010,26.05
bhr,2011,23.41
bhr,2015,27.83
bhs,1963,54.44
bhs,1970,57.2
bhs,1980,51.66
bhs,1990,52.72
bhs,1994,50.54
bhs,1998,52.56
bih,2006,26.56
bih,2007,25.85
bih,2008,25.59
bih,2014,23.33
bih,2015,18.3
bih,2016,16.14
blr,1989,53.9
blr,1999,40.92
blr,2009,42.7
blz,1960,21.83
blz,1970,6.92
blz,1980,38.82
blz,1991,23.16
blz,1994,33.15
blz,2010,46.1
blz,2012,42.08
blz,2013,34.9046
blz,2014,34.77
blz,2015,37.1
blz,2016,36.17
bmu,1970,59.19
bmu,1976,78.81
bmu,1980,67.15
bmu,1991,51.56
bmu,2000,50.54
bmu,2010,47.14
bol,1976,23.5
bol,1980,24.22
bol,1981,24.32
bol,1982,24.23
bol,1985,23.92
bol,1986,23.36
bol,1987,23.2
bol,1989,23.01
bol,1990,22.89
bol,1992,40.24
bol,1995,40.11
bol,1996,42.5
bol,1997,46.06
bol,2000,43.94
bol,2005,43.68
bol,2006,47.66
bol,2007,43.61
bol,2008,45
bol,2009,45.06
bol,2011,44.93
bol,2012,36.27
bol,2013,39.55
bol,2014,43.06
bol,2015,34.68
bra,1960,23.01
bra,1970,26.32
bra,1973,43.55
bra,1980,34.82
bra,1985,45.74
bra,1986,45.8
bra,1987,47.24
bra,1988,46.95
bra,1989,46.2
bra,1990,46.82
bra,1992,52.81
bra,1993,52.08
bra,1995,51.76
bra,1996,49.99
bra,1997,50.44
bra,1998,50.71
bra,1999,51.79
bra,2000,50.24
bra,2001,51.18
bra,2002,52.88
bra,2003,52.83
bra,2004,54.38
