geo,time,ie_ppn_engy_cd
afg,2003,1580000
afg,2017,19000000
ago,2003,45000000
ago,2006,9400000
ago,2009,120000000
alb,2002,8000000
alb,2009,244000000
alb,2010,28000000
alb,2011,4160000
alb,2012,58600000
alb,2013,19400000
arg,1992,4142200000
arg,1993,2200000000
arg,1994,1827980000
arg,1995,1822200000
arg,1996,1114990000
arg,1997,1927900000
arg,1998,1762300000
arg,1999,1206800000
arg,2000,1604900000
arg,2001,895500000
arg,2002,111830000
arg,2003,104040000
arg,2004,274000000
arg,2005,248600000
arg,2006,869000000
arg,2007,420000000
arg,2008,512750000
arg,2009,344250000
arg,2010,322910000
arg,2011,564600000
arg,2012,593000000
arg,2013,828000000
arg,2017,882500000
arm,2006,200000000
aze,2001,230000000
aze,2002,145200000
ben,2005,590000000
bfa,1998,5600000
bfa,2017,45300000
bgd,1997,313700000
bgd,1998,225000000
bgd,1999,16150000
bgd,2000,18500000
bgd,2001,483000000
bgd,2006,22700000
bgd,2007,25400000
bgd,2008,146400000
bgd,2009,88530000
bgd,2010,137130000
bgd,2011,324507000
bgd,2012,1527800000
bgd,2013,40300000
bgd,2014,516500000
bgd,2015,300000000
bgd,2016,170000000
bgd,2017,438000000
bgr,2003,96000000
bgr,2004,117800000
bgr,2005,1400000000
bgr,2006,265100000
bgr,2007,63800000
bgr,2008,375860000
bgr,2009,184800000
bgr,2010,166840000
bgr,2011,569690000
bgr,2012,550680000
bgr,2013,165000000
bih,2012,661900000
blr,1996,500000000
blz,1995,60000000
blz,2003,30000000
blz,2007,62000000
blz,2008,53000000
bol,1997,92400000
bol,1998,2200000000
bol,2000,7300000
bol,2002,409000000
bol,2005,77500000
bra,1984,7300000
bra,1985,11500000
bra,1986,11500000
bra,1987,11500000
bra,1988,11500000
bra,1989,30100000
bra,1990,25900000
bra,1991,30100000
bra,1992,30100000
bra,1993,30100000
bra,1994,242100000
bra,1995,432430000
bra,1996,96600000
bra,1997,13614850000
bra,1998,9490130000
bra,1999,4514240000
bra,2000,7444500000
bra,2001,3683540000
bra,2002,3678930000
bra,2003,3688350000
bra,2004,1757100000
bra,2005,3751790000
bra,2006,5654000000
bra,2007,8034900000
bra,2008,8891200000
bra,2009,23150210000
bra,2010,11218100000
bra,2011,15425100000
bra,2012,29420100000
bra,2013,8683400000
bra,2014,9521900000
bra,2015,5686480000
bra,2016,14598300000
bra,2017,5813300000
btn,2009,201000000
bwa,2011,104000000
chn,1984,62000000
chn,1986,4000000000
chn,1989,542600000
chn,1992,1881000000
