geo,time,se_xpd_cprm_zs
abw,1998,100
abw,1999,99.68919
abw,2000,64.10957
abw,2001,93.9381
abw,2002,67.55448
abw,2005,99.46182
abw,2007,100
abw,2008,100
abw,2009,100
abw,2011,100
abw,2012,100
abw,2013,100
abw,2014,100
abw,2015,100
afg,2010,82.66526
afg,2011,84.10939
afg,2012,89.26381
afg,2013,84.10759
afg,2014,83.58745
afg,2015,84.52097
afg,2016,86.34567
ago,2006,66.2471
alb,2015,93.69516
and,2006,97.22669
and,2007,98.28465
and,2008,97.58809
and,2009,98.9224
and,2010,97.77381
and,2011,98.58239
and,2012,99.19182
and,2013,99.11938
and,2014,98.25885
and,2015,97.85015
and,2016,98.56244
are,1998,93.12617
are,2006,91.20975
are,2009,96.62865
are,2013,99.48362
arg,1998,94.35288
arg,2001,98.32687
arg,2002,99.19537
arg,2003,99.14469
arg,2004,98.9684
arg,2005,98.87881
arg,2006,97.05691
arg,2007,96.16778
arg,2008,94.93315
arg,2009,95.42943
arg,2010,94.91859
arg,2011,94.74662
arg,2012,95.91955
arg,2013,96.13517
arg,2014,95.18103
arg,2015,88.72745
arm,2012,100
arm,2015,100
arm,2016,100
atg,2002,100
aus,1995,93.91158
aus,2000,94.57912
aus,2005,93.9146
aus,2006,91.93859
aus,2007,92.42275
aus,2008,92.52027
aus,2009,80.75449
aus,2010,73.37894
aus,2011,82.06898
aus,2012,92.53726
aus,2013,91.62299
aus,2014,93.77366
aut,1998,92.46458
aut,1999,92.07835
aut,2000,94.63718
aut,2001,95.74512
aut,2002,95.6488
aut,2003,97.04378
aut,2004,94.12843
aut,2005,95.22699
aut,2006,95.15708
aut,2007,97.53017
aut,2008,97.69541
aut,2009,97.22623
aut,2010,97.71659
aut,2011,98.02145
aut,2012,97.77162
aut,2013,96.55921
aut,2014,95.37401
bdi,1999,97.42759
bdi,2001,97.77406
bdi,2002,85.77096
bdi,2004,64.34695
bdi,2008,83.78841
bdi,2009,83.07448
bdi,2010,88.08848
bdi,2011,95.99568
bdi,2012,97.07115
bel,2001,97.56903
bel,2002,97.71692
bel,2003,95.65491
bel,2004,96.60259
bel,2005,96.91138
bel,2006,96.22662
bel,2007,96.0414
bel,2008,95.08126
bel,2009,94.73877
bel,2010,95.01314
bel,2011,95.52254
bel,2013,91.94972
bel,2014,94.19771
ben,1998,83.06115
ben,2007,93.90392
ben,2008,96.71278
ben,2009,96.57762
ben,2010,85.30996
ben,2012,86.38108
ben,2013,90.78434
ben,2014,92.75654
ben,2015,90.97733
bfa,2007,60.00963
bfa,2010,100
bfa,2011,90.9203
bfa,2012,87.31672
bfa,2013,89.92249
bfa,2014,89.48398
bfa,2015,95.77773
bgd,2007,78.61383
bgd,2008,77.44168
bgd,2009,78.44987
bgd,2011,100
bgd,2012,100
bgr,2001,99.0224
bgr,2002,96.46554
bgr,2003,97.27896
bgr,2004,97.85041
bgr,2005,89.01481
bgr,2006,92.64255
bgr,2007,84.50527
bgr,2008,85.98045
bgr,2009,89.81182
bgr,2010,96.13566
bgr,2011,96.88369
bgr,2012,95.81437
bgr,2013,93.91775
blr,2004,95.15969
blr,2005,95.17228
blr,2006,94.95748
blz,2000,97.00278
blz,2001,89.32323
bol,2000,85.05178
bol,2001,100
bol,2002,100
bol,2011,94.37394
bol,2012,93.22898
bol,2014,87.68736
bra,1998,93.61085
bra,1999,93.17521
bra,2000,91.91658
bra,2001,91.07777
bra,2002,90.00318
bra,2004,92.83094
bra,2005,93.17427
bra,2006,93.26553
bra,2007,92.98453
bra,2008,93.22123
bra,2009,94.60437
bra,2010,94.15757
bra,2011,94.3174
bra,2012,91.35136
bra,2013,94.71939
bra,2014,93.99881
brb,1999,80.82571
brb,2000,99.74674
brb,2001,99.09219
brb,2002,85.15708
brb,2003,86.66349
brb,2004,87.29372
brb,2005,97.67503
brb,2007,96.14302
brb,2016,91.98854
brn,2016,98.76636
btn,2013,97.57677
btn,2015,87.39642
bwa,2009,100
caf,2005,98.1831
caf,2007,99.70732
caf,2009,91.2463
caf,2010,99.27254
che,1998,87.07809
che,1999,88.97091
che,2000,90.15589
che,2001,89.44537
che,2002,88.6828
che,2003,88.08085
che,2004,89.34828
che,2005,88.56542
che,2006,89.70769
che,2007,90.51499
che,2008,90.31843
che,2009,90.1453
che,2010,90.72665
che,2011,90.5355
che,2012,90.27813
che,2013,89.05034
che,2014,87.8038
chl,1998,91.40714
chl,1999,90.84253
chl,2000,84.74325
chl,2002,83.37015
chl,2003,86.98757
chl,2004,83.45626
chl,2005,97.25683
chl,2006,96.62891
chl,2007,96.56086
chl,2008,97.94736
chl,2009,97.9178
chn,1999,94.23045
civ,1998,84.57728
civ,1999,91.68221
civ,2006,98.87308
civ,2007,97.3282
civ,2008,95.12051
civ,2009,93.41828
civ,2010,94.1339
civ,2011,98.28662
civ,2012,93.48161
civ,2013,92.02
civ,2014,93.92783
civ,2015,96.43412
cmr,2008,78.40547
cmr,2009,68.54042
cmr,2010,87.54204
cmr,2011,91.21931
cmr,2012,85.25509
cmr,2013,88.56367
cod,2010,99.99438
cod,2013,73.00475
col,2004,96.12217
col,2007,100
col,2008,100
col,2009,100
col,2010,98.59153
col,2011,99.10109
col,2012,98.15205
col,2013,91.48617
col,2014,94.10522
col,2015,93.69441
col,2016,95.9206
com,1998,98.47677
com,2002,44.07443
com,2011,100
com,2012,100
com,2015,99.99874
cpv,2002,84.77199
cpv,2004,87.71882
cpv,2005,90.72834
cpv,2006,88.77968
cpv,2008,91.34795
cpv,2009,92.44592
cpv,2013,97.70227
cpv,2014,97.07975
cpv,2015,97.00067
cpv,2016,96.86448
cri,2001,100
cri,2002,100
cri,2004,97.25072
cri,2006,98.08092
cri,2007,94.25862
cri,2008,96.33713
cri,2009,94.38324
cri,2010,92.64265
cri,2011,97.96785
cri,2012,92.88725
cri,2013,95.08362
cri,2014,95.58583
cri,2015,93.7996
cri,2016,100
cub,2000,95.81096
cub,2001,91.47111
cub,2002,85.01604
cub,2004,86.6083
