geo,time,fs_ast_cgov_gd_zs
abw,1986,-7.10491
abw,1987,0.39333
abw,1988,-0.2544
abw,1989,0.54146
abw,1990,0.46869
abw,1991,-0.48061
abw,1992,0.11366
abw,1993,-1.8727
abw,1994,-1.8683
abw,1995,-3.64051
abw,1996,-2.00192
abw,1997,-0.89939
abw,1998,-0.70219
abw,1999,-0.06894
abw,2000,-0.69742
abw,2001,-1.19328
abw,2002,-2.23016
abw,2003,-1.19748
abw,2004,-0.71607
abw,2005,-0.5744
abw,2006,-1.57594
abw,2007,-1.41859
abw,2008,-4.34833
abw,2009,-3.90686
abw,2010,-0.96705
abw,2011,-1.40708
abw,2012,2.35656
abw,2013,1.61469
abw,2014,2.74495
abw,2015,3.37208
abw,2016,5.3095
afg,1960,5.01653
afg,1961,9.38866
afg,1962,12.0935
afg,1963,10.85799
afg,1964,13.9
afg,1965,10.12362
afg,1966,6.89206
afg,1967,6.47676
afg,1968,10.03398
afg,1969,10.14675
afg,1970,8.6937
afg,1971,10.17311
afg,1972,13.3222
afg,1973,12.37274
afg,1974,9.99643
afg,1975,8.65938
afg,1976,10.29325
afg,1977,9.69514
afg,1978,10.89367
afg,1979,11.87997
afg,1980,6.89107
afg,1981,9.40244
afg,2006,-11.61514
afg,2007,-7.21518
afg,2008,-5.55502
afg,2009,-6.00758
afg,2010,-6.86374
afg,2011,-7.60054
afg,2012,-6.50722
afg,2013,-6.44976
afg,2014,-4.60734
afg,2015,-4.45566
afg,2016,-4.86544
afg,2017,-6.11761
ago,1995,28.47588
ago,1996,1.29507
ago,1997,4.64494
ago,1998,13.94107
ago,1999,4.0993
ago,2000,-17.15431
ago,2001,-4.41965
ago,2002,0.38925
ago,2003,0.80667
ago,2004,0.60454
ago,2005,-2.77634
ago,2006,-10.88977
ago,2007,-8.57454
ago,2008,-4.02673
ago,2009,7.12227
ago,2010,-2.88916
ago,2011,-4.25085
ago,2012,-7.70793
ago,2013,-5.04395
ago,2014,0.48288
ago,2015,2.52146
ago,2016,6.65482
ago,2017,12.77228
alb,1994,47.23701
alb,1995,35.25993
alb,1996,34.52337
alb,1997,51.60897
alb,1998,55.50696
alb,1999,48.68776
alb,2000,45.88864
alb,2001,42.23807
alb,2002,41.58519
alb,2003,39.44898
alb,2004,37.39065
alb,2005,34.9835
alb,2006,33.50359
alb,2007,31.74191
alb,2008,29.80223
alb,2009,29.65758
alb,2010,27.60601
alb,2011,27.70774
alb,2012,27.57336
alb,2013,30.52551
alb,2014,31.90405
alb,2015,29.00726
alb,2016,27.8568
alb,2017,26.51162
are,1975,-10.87908
