country,year,sp_pop_80up_ma_5y
abw,1960,0.22579
abw,1961,0.23177
abw,1962,0.24661
abw,1963,0.2375
abw,1964,0.22909
abw,1965,0.22783
abw,1966,0.23362
abw,1967,0.24631
abw,1968,0.24844
abw,1969,0.25746
abw,1970,0.25962
abw,1971,0.2927
abw,1972,0.32865
abw,1973,0.36796
abw,1974,0.41068
abw,1975,0.45755
abw,1976,0.5123
abw,1977,0.56507
abw,1978,0.62865
abw,1979,0.68781
abw,1980,0.74767
abw,1981,0.79615
abw,1982,0.83986
abw,1983,0.88794
abw,1984,0.93779
abw,1985,0.98626
abw,1986,1.08863
abw,1987,1.19284
abw,1988,1.28787
abw,1989,1.36489
abw,1990,1.396
abw,1991,1.37179
abw,1992,1.32721
abw,1993,1.29646
abw,1994,1.26329
abw,1995,1.22173
abw,1996,1.20505
abw,1997,1.17124
abw,1998,1.13121
abw,1999,1.10774
abw,2000,1.08103
abw,2001,1.11776
abw,2002,1.14101
abw,2003,1.16174
abw,2004,1.17377
abw,2005,1.17922
abw,2006,1.21623
abw,2007,1.24016
abw,2008,1.25386
abw,2009,1.27433
abw,2010,1.28959
abw,2011,1.36691
abw,2012,1.41986
abw,2013,1.46754
abw,2014,1.49659
abw,2015,1.50816
abw,2016,1.6005
afg,1960,0.17839
afg,1961,0.19615
afg,1962,0.20779
afg,1963,0.21123
afg,1964,0.20476
afg,1965,0.18666
afg,1966,0.20273
afg,1967,0.21237
afg,1968,0.21426
afg,1969,0.20737
afg,1970,0.19016
afg,1971,0.20558
afg,1972,0.21513
afg,1973,0.21683
afg,1974,0.20934
afg,1975,0.19173
afg,1976,0.20538
afg,1977,0.21152
afg,1978,0.20888
afg,1979,0.19671
afg,1980,0.17392
afg,1981,0.19164
afg,1982,0.20254
afg,1983,0.20234
afg,1984,0.18702
afg,1985,0.15247
afg,1986,0.16493
afg,1987,0.17304
afg,1988,0.17449
afg,1989,0.167
afg,1990,0.14892
afg,1991,0.15587
afg,1992,0.16191
