geo,time,bn_cab_xoka_gd_zs
abw,1986,-4.60195
abw,1987,-4.62874
abw,1988,-7.42789
abw,1989,-6.71705
abw,1990,-20.67709
abw,1991,-24.02109
abw,1992,4.5697
abw,1993,3.85343
abw,1994,6.50736
abw,1995,-0.02115
abw,1996,-5.00783
abw,1997,-12.7818
abw,1998,-1.12732
abw,1999,-25.27944
abw,2000,11.05687
abw,2001,16.0803
abw,2002,-17.52662
abw,2003,-8.19071
abw,2004,12.15568
abw,2005,4.50347
abw,2006,12.80863
abw,2007,9.87609
abw,2008,0.00407
abw,2009,6.87011
abw,2010,-19.24749
abw,2011,-10.21911
abw,2012,3.58387
abw,2013,-12.831
abw,2014,-5.1137
abw,2015,4.1124
abw,2016,5.32956
afg,1979,-2.69339
afg,1980,1.47183
afg,1981,-5.91585
afg,2008,-2.6245
afg,2009,-5.93926
afg,2010,-9.48966
afg,2011,-14.06979
afg,2012,-27.37231
afg,2013,-27.40381
afg,2014,-19.23128
afg,2015,-23.55577
afg,2016,-19.1518
afg,2017,-23.96189
ago,1985,2.58156
ago,1986,-4.28446
ago,1987,5.52953
ago,1988,-5.34823
ago,1989,-1.29398
ago,1990,-2.09729
ago,1991,-5.46597
ago,1992,-8.8444
ago,1993,-11.58836
ago,1994,-7.65605
ago,1995,-5.32696
ago,1996,43.39867
ago,1997,-11.55199
ago,1998,-28.69757
ago,1999,-27.79833
ago,2000,8.71506
ago,2001,-16.01298
ago,2002,-0.98193
ago,2003,-4.03958
ago,2004,2.89248
ago,2005,13.89709
ago,2006,20.40781
ago,2007,16.21239
ago,2008,8.12555
ago,2009,-10.76939
ago,2010,8.95704
ago,2011,11.70469
ago,2012,10.80896
ago,2013,5.95792
ago,2014,-2.57186
ago,2015,-8.84114
ago,2016,-3.05091
ago,2017,-0.51822
alb,1984,-1.51292
alb,1985,-1.91877
alb,1986,-0.15258
alb,1987,0.2499
alb,1988,-1.32115
alb,1989,-1.74427
alb,1990,-5.83174
alb,1991,-15.27885
alb,1992,-7.77399
alb,1993,1.25705
alb,1994,-8.36279
alb,1995,-0.48062
alb,1996,-3.3535
alb,1997,-12.05361
alb,1998,-2.55581
alb,1999,-4.83792
alb,2000,-4.49092
alb,2001,-5.54295
alb,2002,-9.37244
alb,2003,-7.24967
alb,2004,-4.98178
alb,2005,-7.09724
alb,2006,-7.54158
alb,2007,-10.7781
alb,2008,-15.63241
alb,2009,-15.36784
alb,2010,-11.36851
alb,2011,-12.926
alb,2012,-10.20373
alb,2013,-9.27437
alb,2014,-10.77224
alb,2015,-8.60215
alb,2016,-7.57515
alb,2017,-7.52767
arg,1976,1.27224
arg,1977,1.98306
arg,1978,3.19543
arg,1979,-0.74077
arg,1980,-6.20307
arg,1981,-5.98906
