geo,time,dt_oda_odat_gn_zs
abw,1986,10.15459
abw,1987,4.41895
abw,1988,3.3294
abw,1989,3.55692
abw,1990,3.95973
abw,1991,2.8888
abw,1992,3.15979
abw,1993,2.33405
abw,1994,1.48978
abw,1995,1.97659
abw,1996,1.43377
abw,1997,1.66163
abw,1998,0.67851
abw,1999,-0.43926
afg,1960,3.12996
afg,1961,6.19107
afg,1962,3.03526
afg,1963,4.78304
afg,1964,5.66117
afg,1965,5.25292
afg,1966,3.52442
afg,1967,2.37581
afg,1968,2.08526
afg,1969,1.89529
afg,1970,1.54726
afg,1971,2.37789
afg,1972,3.38297
afg,1973,3.15904
afg,1974,2.2332
afg,1975,2.87247
afg,1976,2.73562
afg,1977,2.83686
afg,1978,2.44786
afg,1979,2.79336
afg,1980,0.88819
afg,1981,0.67323
afg,2009,50.26655
afg,2010,40.73378
afg,2011,38.60465
afg,2012,33.43614
afg,2013,24.97256
afg,2014,24.13263
afg,2015,21.24396
afg,2016,21.25921
afg,2017,19.36859
ago,1985,1.35373
ago,1986,1.94854
ago,1987,2.01107
ago,1988,2.34917
ago,1989,1.66615
ago,1990,2.65061
ago,1991,2.61303
ago,1992,9.8224
ago,1993,8.93856
ago,1994,23.00596
ago,1995,8.72725
ago,1996,7.87882
ago,1997,5.26935
ago,1998,6.05458
ago,1999,8.10602
ago,2000,4.0572
ago,2001,3.83359
ago,2002,3.03298
ago,2003,3.06784
ago,2004,5.43391
ago,2005,1.25889
ago,2006,0.35392
ago,2007,0.45083
ago,2008,0.49323
ago,2009,0.37638
ago,2010,0.31061
ago,2011,0.18899
ago,2012,0.2071
ago,2013,0.22517
ago,2014,0.17199
ago,2015,0.34461
ago,2016,0.21544
ago,2017,0.18855
alb,1988,0.27103
alb,1989,0.45895
alb,1990,0.54523
alb,1991,30.79716
alb,1992,65.71194
alb,1993,23.06966
alb,1994,8.64816
alb,1995,7.41268
alb,1996,6.92952
alb,1997,7.28816
alb,1998,10.2467
alb,1999,14.84779
alb,2000,8.86084
alb,2001,6.6321
alb,2002,6.89632
alb,2003,6.05611
alb,2004,4.0905
alb,2005,3.83532
alb,2006,3.53831
alb,2007,2.81227
alb,2008,2.81809
alb,2009,3.01323
alb,2010,3.09177
