geo,time,bm_gsr_mrch_cd
abw,1986,210446927.3743
abw,1987,249832402.23464
abw,1988,354636871.50838
abw,1989,397430167.59777
abw,1990,580837988.82682
abw,1991,1402849162.01117
abw,1992,1446703910.61453
abw,1993,1546480446.92737
abw,1994,1607318435.75419
abw,1995,926927374.30168
abw,1996,768826815.64246
abw,1997,836815642.4581
abw,1998,966703910.61452
abw,1999,923050279.32961
abw,2000,858039106.14525
abw,2001,974614525.13967
abw,2002,974055865.92179
abw,2003,1063111731.84358
abw,2004,3589044692.73743
abw,2005,4296239004.22802
abw,2006,4724341245.60902
abw,2007,5126033519.55307
abw,2008,6017988826.81564
abw,2009,2453184357.5419
abw,2010,1394245810.05587
abw,2011,5916759776.53631
abw,2012,2044916201.11732
abw,2013,1376733345.81006
abw,2014,1349605841.34078
abw,2015,1252057109.49721
abw,2016,1141898973.74302
afg,1979,629300000
afg,1980,773800000
afg,1981,897300000
afg,1982,829100000
afg,1983,890900000
afg,1984,1204700000
afg,1985,921600000
afg,1986,1138800000
afg,1987,904500000
afg,1988,731800000
afg,1989,623500000
afg,2008,1838238714.8799
afg,2009,3343377449.65652
afg,2010,4895560543.85991
afg,2011,5871217680.79781
afg,2012,8207683240.37631
afg,2013,8706027960.80307
afg,2014,7037497778.67547
afg,2015,7616082444.73884
afg,2016,6589611185.84535
afg,2017,7103212664.62616
ago,1985,1401000000
ago,1986,1086000000
ago,1987,1303000000
ago,1988,1372000000
ago,1989,1338000000
ago,1990,1578200000
ago,1991,1347200000
ago,1992,1988034000
ago,1993,1462600000
ago,1994,1454100000
ago,1995,1467668000
ago,1996,2040461000
ago,1997,2597000000
ago,1998,2079350000
ago,1999,3109080000
ago,2000,3039510000
ago,2001,3179180000
ago,2002,3760118414.83
ago,2003,5480121172
ago,2004,5831784555.6
ago,2005,8353237654.472
ago,2006,8777632624.254
ago,2007,13661464164.47
ago,2008,20982185983.481
ago,2009,22659935299.34
ago,2010,16666858026.86
ago,2011,20228447301.57
ago,2012,23703843194.26
ago,2013,26330987036.3
ago,2014,28580270905.54
ago,2015,20692537061.32
ago,2016,13040490877.77
alb,1980,353900000
alb,1981,383200000
alb,1982,437700000
alb,1983,382800000
alb,1984,353200000
alb,1985,344100000
alb,1986,316600000
alb,1987,315600000
alb,1988,382300000
alb,1989,455800000
alb,1990,455900000
alb,1991,281000000
alb,1992,540500000
alb,1993,601500000
alb,1994,601000000
alb,1995,679700000
alb,1996,922000000
alb,1997,570600000
alb,1998,654210000
alb,1999,783100000
alb,2000,921000000
alb,2001,1151000000
alb,2002,1237300000
alb,2003,1463316336.14783
alb,2004,1837926826.12004
alb,2005,2117458690.17944
alb,2006,2499761211.87344
alb,2007,3419700000
alb,2008,4356845546.21107
alb,2009,3793206087.26105
alb,2010,3776713168.54406
alb,2011,4457956870.64151
alb,2012,3983219312.59995
alb,2013,4029466791.54854
alb,2014,4169146703.60108
alb,2015,3402083036.79427
alb,2016,3669789887.68202
alb,2017,4103004155.87077
arg,1976,2765000000
arg,1977,3799000000
arg,1978,3488000000
arg,1979,6028000000
arg,1980,9394000000
arg,1981,8431000000
arg,1982,4859000000
arg,1983,4119000000
arg,1984,4118000000
arg,1985,3518000000
arg,1986,4406000000
arg,1987,5343000000
arg,1988,4892000000
arg,1989,3864000000
arg,1990,3726000000
arg,1991,7559000000
arg,1992,13794800000
arg,1993,15632500000
arg,1994,20162200000
arg,1995,18804317000
arg,1996,22283200000
arg,1997,28553500000
arg,1998,29530900000
arg,1999,24103200000
arg,2000,23889100000
arg,2001,19157800000
arg,2002,8473100000
arg,2003,13134200000
arg,2004,21311100000
arg,2005,27300100000
arg,2006,32587900000
arg,2007,42524499999.99999
arg,2008,54596200000
arg,2009,37146134000
arg,2010,54158763701.51
arg,2011,70768777913.21001
arg,2012,65042742213.45998
arg,2013,71292993120.16
arg,2014,62898966094.09999
arg,2015,57594229885.62
arg,2016,53504505686.54
arg,2017,63971048617.48
arm,1993,254180000
arm,1994,393630000
arm,1995,674059047
arm,1996,761292249
arm,1997,794611533
arm,1998,806842471
arm,1999,708235278
arm,2000,780696904
arm,2001,787782645
arm,2002,903938512.44
arm,2003,1176352248.5
arm,2004,1261022093.2
arm,2005,1663370578.31
arm,2006,1999936187.208
arm,2007,2921095487.925
arm,2008,3922614049.225
arm,2009,2863596972
arm,2010,3263209401.5128
arm,2011,3541391954.84546
arm,2012,3627612270.87474
arm,2013,3832017543.46444
arm,2014,3753551043.60112
arm,2015,2810299283.12177
arm,2016,2835051411.4767
arm,2017,3860430588.69917
atg,1977,37000000
atg,1978,42088888.88889
atg,1979,67718518.51852
atg,1980,114714814.81481
atg,1981,125259259.25926
atg,1982,126714814.81481
atg,1983,99718518.51852
atg,1984,150166666.66667
atg,1985,174800000
atg,1986,212492592.59259
atg,1987,222014814.81481
atg,1988,204500000
atg,1989,246329629.62963
atg,1990,235440740.74074
atg,1991,258785185.18518
atg,1992,261770370.37037
atg,1993,270429629.62963
atg,1994,287503703.7037
atg,1995,291040740.74074
atg,1996,309940740.74074
atg,1997,313855555.55556
atg,1998,320837037.03704
atg,1999,352705185.18519
atg,2000,342390740.74074
atg,2001,317498518.51852
atg,2002,302992222.22222
atg,2003,352284404.07407
atg,2004,402358690.37037
