geo,time,it_net_secr
abw,2010,9
abw,2011,13
abw,2012,26
abw,2013,44
abw,2014,59
abw,2015,79
abw,2016,123
abw,2017,103
abw,2018,122
afg,2010,14
afg,2011,16
afg,2012,38
afg,2013,46
afg,2014,57
afg,2015,74
afg,2016,426
afg,2017,1577
afg,2018,1965
ago,2010,30
ago,2011,45
ago,2012,80
ago,2013,119
ago,2014,160
ago,2015,227
ago,2016,240
ago,2017,322
ago,2018,345
alb,2010,12
alb,2011,24
alb,2012,74
alb,2013,103
alb,2014,151
alb,2015,197
alb,2016,416
alb,2017,1273
alb,2018,1508
and,2010,58
and,2011,79
and,2012,92
and,2013,79
and,2014,87
and,2015,158
and,2016,219
and,2017,263
and,2018,400
are,2010,785
are,2011,1124
are,2012,2167
are,2013,2533
are,2014,3382
are,2015,5434
are,2016,8787
are,2017,12192
are,2018,14292
arg,2010,1028
arg,2011,1404
arg,2012,2643
arg,2013,3117
arg,2014,3837
arg,2015,5317
arg,2016,32040
arg,2017,71731
arg,2018,83320
arm,2010,30
arm,2011,54
arm,2012,87
arm,2013,158
arm,2014,182
arm,2015,224
arm,2016,557
arm,2017,799
arm,2018,989
asm,2010,3
asm,2011,1
asm,2012,1
asm,2013,0
asm,2014,24
asm,2015,1
asm,2016,10
asm,2017,55
asm,2018,25
atg,2010,60
atg,2011,73
atg,2012,47
atg,2013,65
atg,2014,72
atg,2015,65
atg,2016,76
atg,2017,85
atg,2018,81
aus,2010,30906
aus,2011,48509
aus,2012,72472
aus,2013,81067
aus,2014,92461
aus,2015,108937
aus,2016,237318
aus,2017,530042
aus,2018,822020
aut,2010,5772
aut,2011,8966
aut,2012,13601
aut,2013,15751
aut,2014,20044
aut,2015,26636
aut,2016,38878
aut,2017,65381
aut,2018,147681
aze,2010,23
aze,2011,45
aze,2012,100
aze,2013,158
aze,2014,219
aze,2015,321
aze,2016,994
aze,2017,2557
aze,2018,3274
bdi,2010,4
bdi,2011,4
bdi,2012,4
bdi,2013,3
bdi,2014,6
bdi,2015,8
bdi,2016,16
bdi,2017,50
bdi,2018,67
bel,2010,4378
bel,2011,6600
bel,2012,10633
bel,2013,14067
bel,2014,18047
bel,2015,22982
bel,2016,34530
bel,2017,94420
bel,2018,159673
ben,2010,1
ben,2011,3
ben,2012,9
ben,2013,10
ben,2014,11
ben,2015,24
ben,2016,27
ben,2017,47
ben,2018,84
bfa,2010,4
bfa,2011,4
bfa,2012,10
bfa,2013,12
bfa,2014,13
bfa,2015,27
bfa,2016,34
bfa,2017,37
bfa,2018,50
bgd,2010,30
bgd,2011,73
bgd,2012,111
bgd,2013,146
bgd,2014,202
bgd,2015,314
bgd,2016,3731
bgd,2017,10413
bgd,2018,18712
bgr,2010,461
bgr,2011,745
bgr,2012,1839
bgr,2013,2343
bgr,2014,4589
bgr,2015,4880
bgr,2016,28821
bgr,2017,228612
bgr,2018,268524
bhr,2010,93
bhr,2011,140
bhr,2012,271
bhr,2013,326
bhr,2014,386
bhr,2015,450
bhr,2016,494
bhr,2017,537
bhr,2018,582
bhs,2010,130
bhs,2011,149
bhs,2012,193
bhs,2013,228
bhs,2014,274
bhs,2015,375
bhs,2016,398
bhs,2017,576
bhs,2018,909
bih,2010,44
bih,2011,66
bih,2012,122
bih,2013,147
bih,2014,215
bih,2015,282
bih,2016,638
bih,2017,5024
bih,2018,6431
blr,2010,48
blr,2011,86
blr,2012,241
blr,2013,366
blr,2014,579
blr,2015,1021
blr,2016,4171
blr,2017,21465
blr,2018,32440
blz,2010,69
blz,2011,93
blz,2012,331
blz,2013,351
blz,2014,295
blz,2015,412
blz,2016,559
blz,2017,3007
blz,2018,4442
bmu,2010,232
bmu,2011,357
bmu,2012,433
bmu,2013,474
bmu,2014,506
bmu,2015,528
bmu,2016,525
bmu,2017,503
bmu,2018,521
bol,2010,58
bol,2011,83
bol,2012,109
bol,2013,150
bol,2014,198
bol,2015,290
bol,2016,418
bol,2017,1226
bol,2018,1478
bra,2010,5529
bra,2011,8709
bra,2012,14059
bra,2013,17456
bra,2014,22778
bra,2015,32503
bra,2016,84536
bra,2017,328718
bra,2018,426560
brb,2010,53
brb,2011,70
brb,2012,83
brb,2013,109
brb,2014,136
brb,2015,164
brb,2016,184
brb,2017,220
brb,2018,249
brn,2010,16
brn,2011,23
brn,2012,49
brn,2013,61
brn,2014,99
brn,2015,238
brn,2016,257
brn,2017,688
brn,2018,853
btn,2010,1
btn,2011,2
btn,2012,8
btn,2013,7
btn,2014,13
btn,2015,14
btn,2016,27
btn,2017,88
btn,2018,134
bwa,2010,9
bwa,2011,12
bwa,2012,20
bwa,2013,22
bwa,2014,40
bwa,2015,75
bwa,2016,110
bwa,2017,151
bwa,2018,301
caf,2013,0
caf,2014,1
caf,2015,1
caf,2016,1
caf,2017,2
caf,2018,3
can,2010,43618
can,2011,56383
can,2012,74500
can,2013,82897
can,2014,95604
can,2015,120922
can,2016,369091
can,2017,970834
can,2018,1147057
che,2010,11343
che,2011,19299
che,2012,27881
che,2013,31993
che,2014,40108
che,2015,57464
che,2016,143994
che,2017,278505
che,2018,580292
chl,2010,790
chl,2011,1110
chl,2012,1791
