geo,time,sp_pop_80up_fe_5y
abw,1960,0.39081
abw,1961,0.39997
abw,1962,0.4187
abw,1963,0.40472
abw,1964,0.39186
abw,1965,0.38611
abw,1966,0.40406
abw,1967,0.42532
abw,1968,0.43961
abw,1969,0.46012
abw,1970,0.46717
abw,1971,0.52957
abw,1972,0.59401
abw,1973,0.68318
abw,1974,0.78548
abw,1975,0.90857
abw,1976,0.97393
abw,1977,1.05521
abw,1978,1.14488
abw,1979,1.21305
abw,1980,1.28871
abw,1981,1.32071
abw,1982,1.36703
abw,1983,1.39106
abw,1984,1.41829
abw,1985,1.48907
abw,1986,1.58473
abw,1987,1.69443
abw,1988,1.79743
abw,1989,1.91973
abw,1990,2.01315
abw,1991,1.99425
abw,1992,1.94577
abw,1993,1.88927
abw,1994,1.83046
abw,1995,1.76624
abw,1996,1.7896
abw,1997,1.81822
abw,1998,1.88565
abw,1999,1.94295
abw,2000,1.9843
abw,2001,1.93786
abw,2002,1.86442
abw,2003,1.78874
abw,2004,1.71707
abw,2005,1.65288
abw,2006,1.70719
abw,2007,1.76886
abw,2008,1.8491
abw,2009,1.95067
abw,2010,2.06955
abw,2011,2.16085
abw,2012,2.2475
abw,2013,2.33246
abw,2014,2.40541
abw,2015,2.47525
abw,2016,2.60996
abw,2017,2.74793
afg,1960,0.17221
afg,1961,0.18827
afg,1962,0.19917
afg,1963,0.20364
afg,1964,0.20007
afg,1965,0.18722
afg,1966,0.20264
afg,1967,0.2125
afg,1968,0.21565
afg,1969,0.21107
afg,1970,0.19789
afg,1971,0.21231
afg,1972,0.22127
afg,1973,0.22387
afg,1974,0.21915
afg,1975,0.20658
afg,1976,0.22181
afg,1977,0.22969
afg,1978,0.22866
afg,1979,0.21756
afg,1980,0.19552
afg,1981,0.21333
afg,1982,0.22244
afg,1983,0.21876
afg,1984,0.19831
afg,1985,0.15691
afg,1986,0.17206
afg,1987,0.1835
afg,1988,0.18824
afg,1989,0.18381
afg,1990,0.16843
afg,1991,0.18052
afg,1992,0.19161
afg,1993,0.202
afg,1994,0.21199
afg,1995,0.22189
afg,1996,0.23741
afg,1997,0.24757
afg,1998,0.25254
afg,1999,0.25274
afg,2000,0.24822
afg,2001,0.26045
afg,2002,0.26819
afg,2003,0.27052
afg,2004,0.26687
afg,2005,0.25766
afg,2006,0.26952
afg,2007,0.27656
afg,2008,0.27869
