geo,time,ic_tax_totl_cp_zs
afg,2005,35.8
afg,2006,35.8
afg,2007,35.8
afg,2008,35.8
afg,2009,35.8
afg,2010,35.8
afg,2011,35.8
afg,2012,35.8
afg,2013,35.6
afg,2014,36.1
afg,2015,36.1
afg,2016,47.9
afg,2017,71.4
ago,2005,52.2
ago,2006,52.2
ago,2007,52.2
ago,2008,52.2
ago,2009,52.2
ago,2010,52.2
ago,2011,52.3
ago,2012,52.3
ago,2013,52.6
ago,2014,52.6
ago,2015,49
ago,2016,48
ago,2017,49.1
alb,2005,58.6
alb,2006,56.9
alb,2007,46.3
alb,2008,50
alb,2009,44
alb,2010,40.6
alb,2011,38.7
alb,2012,38.8
alb,2013,31.7
alb,2014,31.6
alb,2015,36.9
alb,2016,36.9
alb,2017,37.3
are,2005,14.4
are,2006,14.4
are,2007,14.4
are,2008,14.4
are,2009,14.1
are,2010,14.1
are,2011,14.1
are,2012,14.9
are,2013,14.8
are,2014,14.8
are,2015,15.9
are,2016,15.9
are,2017,15.9
arg,2005,107.3
arg,2006,107.3
arg,2007,107.3
arg,2008,107.3
arg,2009,107.3
arg,2010,107.4
arg,2011,107.4
arg,2012,107.5
arg,2013,119.4
arg,2014,137.4
arg,2015,137.6
arg,2016,106
arg,2017,106
arm,2005,36.6
arm,2006,36.6
arm,2007,38.6
arm,2008,38.6
arm,2009,38.6
arm,2010,38.6
arm,2011,38.8
arm,2012,38.8
arm,2013,35.9
arm,2014,20.1
arm,2015,20
arm,2016,18.5
arm,2017,18.5
atg,2005,51.5
atg,2006,47.6
atg,2007,46.2
atg,2008,46.2
atg,2009,41
atg,2010,41
atg,2011,41
atg,2012,41
atg,2013,40.9
atg,2014,41.6
atg,2015,41.9
atg,2016,41.9
atg,2017,41.9
aus,2005,52.1
aus,2006,51.1
aus,2007,50.1
aus,2008,50
aus,2009,47.8
aus,2010,47.6
aus,2011,47.3
aus,2012,47.2
aus,2013,47.3
aus,2014,47.4
aus,2015,47.6
aus,2016,47.6
aus,2017,47.5
aut,2005,57.2
aut,2006,51.1
aut,2007,51.1
aut,2008,51.1
aut,2009,51.6
aut,2010,51.3
aut,2011,50.8
aut,2012,52.3
aut,2013,51.9
aut,2014,51.7
aut,2015,51.7
aut,2016,51.6
aut,2017,51.8
aze,2005,46.4
aze,2006,42.4
aze,2007,40.9
aze,2008,40.9
aze,2009,40.9
aze,2010,38.9
aze,2011,40
aze,2012,40
aze,2013,39.8
aze,2014,39.8
aze,2015,39.8
aze,2016,39.8
aze,2017,39.8
bdi,2005,280.2
bdi,2006,280.2
bdi,2007,280.2
bdi,2008,280.2
bdi,2009,280.2
bdi,2010,154.9
bdi,2011,46.5
bdi,2012,46.5
bdi,2013,45.2
bdi,2014,40.3
bdi,2015,40.3
bdi,2016,40.1
bdi,2017,41.5
bel,2005,60.1
bel,2006,59.9
bel,2007,57.9
bel,2008,55.9
bel,2009,55.2
bel,2010,57.3
bel,2011,57.7
bel,2012,58.2
bel,2013,58
bel,2014,58.4
bel,2015,58.4
bel,2016,58.7
bel,2017,57.1
ben,2005,72.1
ben,2006,72.1
ben,2007,72.1
ben,2008,72.1
ben,2009,68.4
ben,2010,62.7
ben,2011,62.7
ben,2012,62.7
ben,2013,57.3
ben,2014,57.3
ben,2015,57.4
ben,2016,57.4
ben,2017,57.4
bfa,2005,47.6
bfa,2006,47.6
bfa,2007,47.6
bfa,2008,44.5
bfa,2009,44.5
bfa,2010,44.8
bfa,2011,42.7
bfa,2012,42.7
bfa,2013,41.3
bfa,2014,41.3
bfa,2015,41.3
bfa,2016,41.3
bfa,2017,41.3
bgd,2013,35.4
bgd,2014,35.4
bgd,2015,34.4
bgd,2016,34.4
bgd,2017,33.4
bgr,2005,45.2
bgr,2006,41.6
bgr,2007,35.8
bgr,2008,33.9
bgr,2009,30.4
bgr,2010,28
bgr,2011,27.2
bgr,2012,27.8
bgr,2013,27
bgr,2014,27
bgr,2015,27
bgr,2016,27
bgr,2017,27.1
bhr,2007,14.7
bhr,2008,14.7
bhr,2009,14.7
bhr,2010,13.5
bhr,2011,13.5
bhr,2012,13.5
bhr,2013,13.5
bhr,2014,13.5
bhr,2015,13.5
bhr,2016,13.5
bhr,2017,13.8
bhs,2007,42.9
bhs,2008,42.9
bhs,2009,42.9
bhs,2010,42.9
bhs,2011,44.6
bhs,2012,44.6
bhs,2013,48.5
bhs,2014,41.1
bhs,2015,33.8
bhs,2016,33.8
bhs,2017,31.5
bih,2005,42.8
bih,2006,42.7
bih,2007,42.8
bih,2008,42.8
bih,2009,25.9
bih,2010,22.2
bih,2011,23.6
bih,2012,23.6
bih,2013,22.2
bih,2014,23.3
bih,2015,23.3
bih,2016,22.6
bih,2017,23.7
blr,2005,137.2
blr,2006,137.2
blr,2007,120.8
blr,2008,117.4
blr,2009,99.9
blr,2010,80.8
blr,2011,63
blr,2012,54.3
blr,2013,50.5
blr,2014,50.3
blr,2015,51.9
blr,2016,52.7
blr,2017,52.9
blz,2005,34.7
blz,2006,34.8
blz,2007,34.8
blz,2008,33.2
blz,2009,33.2
blz,2010,33.2
blz,2011,33.2
blz,2012,33.2
blz,2013,31.1
blz,2014,31.1
blz,2015,31.1
blz,2016,31.1
blz,2017,31.1
bol,2005,80
bol,2006,80
bol,2007,80
bol,2008,80
bol,2009,80
bol,2010,80
bol,2011,80
bol,2012,83.4
bol,2013,83.7
bol,2014,83.7
bol,2015,83.7
bol,2016,83.7
bol,2017,83.7
bra,2013,69.2
bra,2014,69.2
bra,2015,68.1
bra,2016,68.4
bra,2017,68.4
brb,2011,35
brb,2012,34.7
brb,2013,34.6
brb,2014,34.6
brb,2015,34.7
brb,2016,34.7
brb,2017,35.3
brn,2006,37.4
brn,2007,37.4
brn,2008,37.4
brn,2009,30.1
brn,2010,15.7
brn,2011,16.7
brn,2012,15.4
brn,2013,15.8
brn,2014,15.8
brn,2015,8
brn,2016,8
brn,2017,8
btn,2005,37.3
btn,2006,37.3
btn,2007,37.3
btn,2008,37.3
btn,2009,37.3
btn,2010,37.3
btn,2011,37.3
btn,2012,37.3
btn,2013,35.3
btn,2014,35.3
btn,2015,35.3
btn,2016,35.3
btn,2017,35.3
bwa,2005,17.1
bwa,2006,17.1
bwa,2007,17.1
bwa,2008,17.1
bwa,2009,17
bwa,2010,19.5
bwa,2011,19.5
bwa,2012,25.4
bwa,2013,25.3
bwa,2014,25.1
bwa,2015,25.1
bwa,2016,25.1
bwa,2017,25.1
caf,2005,65.7
caf,2006,203.8
caf,2007,203.8
caf,2008,203.8
caf,2009,203.8
caf,2010,203.8
caf,2011,54.6
caf,2012,67.4
caf,2013,73.3
caf,2014,73.3
caf,2015,73.3
caf,2016,73.3
caf,2017,73.3
can,2005,47.5
can,2006,45
can,2007,44.3
can,2008,44.1
can,2009,42.3
can,2010,22
can,2011,20.7
can,2012,20.1
can,2013,19.9
can,2014,21.1
can,2015,21.1
can,2016,21
