geo,time,sl_emp_totl_sp_fe_ne_zs
abw,1991,47.68
abw,2000,51.93
abw,2007,55.61
abw,2010,53.31
abw,2011,53.4
afg,2011,16
ago,2004,46.3
ago,2011,69.13
alb,2001,35.6
alb,2004,39
alb,2007,87.25
alb,2008,39.39
alb,2009,38.91
alb,2010,39.44
alb,2011,45.27
alb,2012,43.23
alb,2013,38.04
alb,2014,37.64
alb,2015,39.15
are,1975,9.73
are,1980,15.31
are,1995,30.6
are,2005,35.13
are,2008,36.81
are,2009,37.52038
arg,1990,31.9
arg,1991,32
arg,1992,33.1
arg,1993,33.3
arg,1994,31.1
arg,1995,31.5
arg,1996,31.7
arg,1997,33.6
arg,1998,35
arg,1999,35.8
arg,2000,37.2
arg,2001,35.5
arg,2002,37.6
arg,2003,41.2
arg,2004,42.39
arg,2005,42.79
arg,2006,43.92
arg,2007,43.4
arg,2008,43.73
arg,2009,44.3
arg,2010,43.64
arg,2011,44.15
arg,2012,44.13
arg,2013,43.9
arg,2014,43.72
arm,2000,29.73
arm,2004,37.8
arm,2006,36.79
arm,2008,32.79
arm,2011,44.45
arm,2012,45.21
arm,2013,45.82
arm,2014,44.47
arm,2015,43.75
arm,2016,43.21
atg,1991,59.38
atg,2001,60.47
aus,1979,40.01
aus,1980,41.25
aus,1981,41.42
aus,1982,40.84
aus,1983,40.03
aus,1984,41.01
aus,1985,42.22
aus,1986,44.09
aus,1987,44.72
aus,1988,45.92
aus,1989,47.72
aus,1990,48.49
aus,1991,47.22
aus,1992,46.78
aus,1993,46.53
aus,1994,47.67
aus,1995,49.26
aus,1996,49.36
aus,1997,49.26
aus,1998,49.71
aus,1999,50.06
aus,2000,51.2
aus,2001,51.5
aus,2002,51.84
aus,2003,52.57
aus,2004,52.6
aus,2005,54
aus,2006,54.69
aus,2007,55.29
aus,2008,55.87
aus,2009,55.57
aus,2010,55.46
aus,2011,55.74
aus,2012,55.64
aus,2013,55.4
aus,2014,55.05
aus,2015,55.54
aus,2016,55.92
aus,2017,56.43
aut,1980,37.34
aut,1982,37.71
aut,1983,37.13
aut,1984,39.14
aut,1985,38.7
aut,1986,39.31
aut,1987,39.77
aut,1988,40.11
aut,1989,40.62
aut,1990,41.42
aut,1991,41.93
aut,1992,43.04
aut,1993,43.26
aut,1994,46.72
aut,1995,46.96
aut,1996,46.28
aut,1997,46.15
aut,1998,46.58
aut,1999,47.17
aut,2000,47.15
aut,2001,47.33
aut,2002,48.36
aut,2003,48.6
aut,2004,47.07
aut,2005,48.3
aut,2006,49.08
aut,2007,50.05
aut,2008,51.03
aut,2009,51.3
aut,2010,51.65
aut,2011,52.01
aut,2012,52.37
aut,2013,52.37
aut,2014,52.33
aut,2015,52.42
aut,2016,52.81
aze,1997,44.12
aze,1998,43.64
aze,1999,43.29
aze,2000,42.82
aze,2002,42.55
aze,2003,42.48
aze,2004,42.73
aze,2005,42.78
aze,2006,56.95
aze,2007,58.08
aze,2008,57.49
aze,2009,57.71
aze,2010,57.68
aze,2011,57.52
aze,2012,57.6
aze,2013,57.8
aze,2014,58.3
aze,2016,59
bdi,1998,85.8
bdi,2014,78.92
bel,1977,24.64
bel,1979,25.43
bel,1980,25.61
bel,1983,29.83
bel,1984,29.48
bel,1985,29.96
bel,1986,30.32
bel,1987,30.12
bel,1988,30.92
bel,1989,31.51
bel,1990,32.38
bel,1991,33.96
bel,1992,35.21
bel,1993,35.3
bel,1994,35.17
bel,1995,35.58
bel,1996,35.52
bel,1997,36.27
bel,1998,36.78
bel,1999,38.76
bel,2000,40.04
bel,2001,38.97
bel,2002,39.25
bel,2003,39.51
bel,2004,40.58
bel,2005,41.35
bel,2006,41.56
bel,2007,42.6
bel,2008,43.35
bel,2009,43.14
bel,2010,43.65
bel,2011,43.66
bel,2012,43.61
bel,2013,43.87
bel,2014,44.26
bel,2015,44.28
bel,2016,44.16
ben,2010,73.79
ben,2011,67.71
bfa,2006,60.09
bfa,2014,52.89
bgd,1984,9.58
bgd,1985,9.72
bgd,1986,11.49
bgd,1989,72.63
bgd,1991,68.3
bgd,1996,61.03
bgd,2000,54.02
bgd,2003,24.81
bgd,2005,27.12
bgd,2006,27.12
bgd,2010,33.94
bgd,2013,31.08
bgd,2016,33.19
bgr,2000,37.6
bgr,2001,37.68
bgr,2002,38.05
bgr,2003,38.87
bgr,2004,40.16
bgr,2005,40.03
bgr,2006,42.04
bgr,2007,44.01
bgr,2008,45.54
bgr,2009,44.37
bgr,2010,43.18
bgr,2011,42.43
