geo,time,bm_gsr_gnfs_cd
abw,1986,261005586.59218
abw,1987,312625698.32402
abw,1988,439888268.15642
abw,1989,497597765.36313
abw,1990,715754189.94413
abw,1991,1550670391.06145
abw,1992,1606536312.84916
abw,1993,1715586592.17877
abw,1994,1835977653.63129
abw,1995,2017932960.89385
abw,1996,2559217877.09497
abw,1997,2711955307.26257
abw,1998,2071229050.27933
abw,1999,1590245810.05587
abw,2000,1505843575.41899
abw,2001,1587748603.35196
abw,2002,1586519553.07263
abw,2003,1790519553.07263
abw,2004,4234374301.67598
abw,2005,5007906282.35272
abw,2006,5479533272.29581
abw,2007,5911452513.96648
abw,2008,6811899441.34078
abw,2009,3145754189.94413
abw,2010,2073575418.99441
abw,2011,6760111731.84357
abw,2012,2869385474.86034
abw,2013,2269288215.64246
abw,2014,2261644997.76536
abw,2015,2132591430.1676
abw,2016,2008884206.70391
afg,1979,773900000
afg,1980,917600000
afg,1981,1060400000
afg,1982,969500000
afg,1983,1041500000
afg,1984,1400900000
afg,1985,1075700000
afg,1986,1320100000
afg,1987,1060800000
afg,1988,851800000
afg,1989,726900000
afg,2008,2245992222.5365
afg,2009,4161459725.09837
afg,2010,5909446841.36492
afg,2011,7389627905.3368
afg,2012,9952110376.80884
afg,2013,10240865948.2781
afg,2014,8397897053.96261
afg,2015,8624666783.09672
afg,2016,7476065507.98365
afg,2017,8191949461.57218
ago,1985,2042000000
ago,1986,1673000000
ago,1987,1726000000
ago,1988,2506000000
ago,1989,2513000000
ago,1990,3385500000
ago,1991,3186300000
ago,1992,4030416000
ago,1993,3024500000
ago,1994,3017000000
ago,1995,3519068000
ago,1996,4463751000
ago,1997,5202420000
ago,1998,4714530000
ago,1999,5703640000
ago,2000,5738980000
ago,2001,6697310000
ago,2002,7082116361.74
ago,2003,8801255130
ago,2004,10634512711.3
ago,2005,15144220833.7578
ago,2006,16288817457.53
ago,2007,26304709814.87
ago,2008,43121530792.351
ago,2009,41829350282.61
ago,2010,35421222361.08
ago,2011,43898332404.65401
ago,2012,45848189114.45451
