geo,time,se_adt_litr_zs
abw,2000,97.29125
abw,2010,96.82264
afg,1979,18.15768
afg,2011,31.74112
ago,2001,67.40542
ago,2014,66.03011
alb,2001,98.71298
alb,2008,95.93864
alb,2011,96.8453
alb,2012,97.24697
are,1975,53.51488
are,1985,71.2353
are,2005,90.03385
arg,1980,93.91286
arg,1991,96.1282
arg,2001,97.19331
arg,2006,98.6108
arg,2009,98.98342
arg,2010,98.95497
arg,2011,99.10833
arg,2012,99.10523
arg,2013,99.12195
arg,2014,98.99389
arg,2015,99.17996
arg,2016,99.12501
arm,1989,98.75196
arm,2001,99.40016
arm,2011,99.74441
asm,1980,97.34416
atg,2001,98.95
atg,2015,98.95
aze,1999,98.7918
aze,2007,99.60191
aze,2009,99.75984
aze,2010,99.77114
aze,2011,99.77863
aze,2012,99.77577
aze,2013,99.78936
aze,2014,99.78899
aze,2015,99.78806
aze,2016,99.79006
bdi,1979,22.50855
bdi,1990,37.38472
bdi,2000,59.30362
bdi,2008,48.08406
bdi,2014,61.56973
ben,1979,16.48279
ben,1992,27.24525
ben,2002,34.65785
ben,2006,28.70211
ben,2012,32.94882
bfa,1975,8.68515
bfa,1991,13.56923
bfa,1996,12.84817
bfa,2003,21.82292
bfa,2005,23.55372
bfa,2006,22.47258
bfa,2007,28.72921
bfa,2014,34.5994
bgd,1981,29.22723
bgd,1991,35.3193
bgd,2001,47.4855
bgd,2007,46.6636
bgd,2011,47.07731
bgd,2012,57.86075
bgd,2013,61.01554
bgd,2014,61.0933
bgd,2015,65.13733
bgd,2016,72.75872
bgd,2017,72.89297
bgr,2001,98.20356
bgr,2011,98.35245
bhr,1981,69.75351
bhr,1991,84.01383
bhr,2001,86.54874
bih,1991,89.06359
bih,2000,96.6631
bih,2011,98.14204
bih,2013,96.99177
blr,1989,97.88337
blr,1999,99.59073
blr,2009,99.61706
blz,1991,70.29842
bol,1976,63.20815
bol,1992,79.99177
bol,2001,86.72367
bol,2007,90.74347
bol,2008,90.69811
bol,2009,91.16783
bol,2011,92.22615
bol,2012,94.46057
bol,2015,92.45508
bra,1980,74.58673
bra,2000,86.36788
bra,2004,88.61624
bra,2006,89.61523
bra,2007,90.00937
bra,2008,90.03662
bra,2009,90.29821
bra,2010,90.37918
bra,2011,91.41124
bra,2012,91.33785
bra,2013,91.48424
bra,2014,91.72943
bra,2015,92.0479
brb,1970,99.26808
brb,1984,99.6
brb,1994,99.6
brb,2004,99.6
brb,2014,99.6
brn,1981,77.7355
brn,1991,87.80418
brn,2001,92.67113
brn,2011,96.08556
btn,2005,52.81469
btn,2012,57.0336
bwa,1991,68.58091
bwa,2003,81.18871
bwa,2014,87.7
caf,1975,18.23617
caf,1988,33.62442
caf,2000,50.64517
caf,2010,36.75261
chl,1982,91.1284
chl,1992,94.29114
chl,2002,95.71662
chl,2008,98.64901
chl,2009,98.55368
chl,2011,96.70301
chl,2013,96.26706
chl,2015,96.87413
chn,1982,65.50509
chn,1990,77.78506
chn,2000,90.92021
chn,2010,95.12448
civ,1988,34.13928
civ,1998,36.35024
civ,2000,48.74076
civ,2012,40.98163
civ,2014,43.90842
cmr,1976,41.21621
cmr,2000,68.40916
cmr,2007,70.67994
cmr,2010,71.29051
cod,2001,67.17299
cod,2007,61.20555
cod,2012,75.01719
cod,2016,77.04268
cog,2011,79.31117
col,1993,91.06309
col,1996,91.20716
col,2004,92.80378
col,2005,92.84866
col,2006,92.29968
col,2007,92.65179
col,2008,93.37818
col,2009,93.24469
col,2010,93.37233
col,2011,93.58053
col,2014,94.18625
col,2015,94.24505
col,2016,94.65385
com,1980,47.91923
com,2000,68.48923
