geo,time,ny_gdp_frst_rt_zs
abw,1986,0.00088
abw,1987,0.00073
abw,1988,0.00058
abw,1989,0.00049
abw,1990,0.00155
abw,1991,0.00163
abw,1992,0.00138
abw,1993,0.00093
abw,1994,0.00094
abw,1995,0.00117
abw,1996,0.00082
abw,1997,0.001
abw,1998,0.00085
abw,1999,0.00072
abw,2000,0.0007
abw,2001,0.00071
abw,2002,0.00066
abw,2003,0.0007
abw,2004,0.00069
abw,2005,0.00065
abw,2006,0.00094
abw,2007,0.00092
abw,2008,0.00095
abw,2009,0.00097
abw,2010,0.00236
abw,2011,0.00195
abw,2012,0.00197
abw,2013,0.00236
abw,2014,0.0034
abw,2015,0.00261
abw,2016,0.00355
abw,2017,0.00351
afg,1970,0.28509
afg,1971,0.34453
afg,1972,0.39796
afg,1973,0.76812
afg,1974,0.80014
afg,1975,0.81287
afg,1976,0.77341
afg,1977,0.60261
afg,1978,0.75081
afg,1979,0.57172
afg,1980,0.59364
afg,1981,0.44334
afg,2002,0.95914
afg,2003,0.66498
afg,2004,0.38781
afg,2005,0.33222
afg,2006,0.45353
afg,2007,0.3423
afg,2008,0.35338
afg,2009,0.27437
afg,2010,0.35942
afg,2011,0.30924
afg,2012,0.26508
afg,2013,0.25936
afg,2014,0.26643
afg,2015,0.30567
afg,2016,0.38234
afg,2017,0.37763
ago,1980,1.51885
ago,1981,1.28629
ago,1982,1.42194
ago,1983,1.04985
ago,1984,0.94044
ago,1985,0.687
ago,1986,1.03499
ago,1987,0.91072
ago,1988,0.87539
ago,1989,0.81143
ago,1990,0.99741
ago,1991,1.0134
ago,1992,1.36315
ago,1993,1.9831
ago,1994,2.83954
ago,1995,2.98566
ago,1996,2.12784
ago,1997,1.9439
ago,1998,2.38291
ago,1999,2.11623
ago,2000,1.43134
ago,2001,1.40501
ago,2002,0.98272
ago,2003,1.1568
ago,2004,0.68542
ago,2005,0.49515
ago,2006,0.39432
ago,2007,0.40607
ago,2008,0.40297
ago,2009,0.47179
ago,2010,0.38084
ago,2011,0.32623
ago,2012,0.32551
ago,2013,0.31275
ago,2014,0.31044
ago,2015,0.42346
ago,2016,0.49209
ago,2017,0.4101
alb,1984,1.61024
alb,1985,1.67731
alb,1986,1.76133
alb,1987,1.6651
alb,1988,1.92156
alb,1989,1.6033
alb,1990,1.46528
alb,1991,3.58956
alb,1992,6.4525
alb,1993,0.48334
