geo,time,ic_reg_cost_pc_zs
afg,2004,72
afg,2005,75.2
afg,2006,67.4
afg,2007,84.6
afg,2008,59.5
afg,2009,30.2
afg,2010,26.7
afg,2011,25.8
afg,2012,22.5
afg,2013,14.4
afg,2014,15.1
afg,2015,19
afg,2016,19.9
afg,2017,82.3
ago,2003,1316.4
ago,2004,910
ago,2005,653.8
ago,2006,498.2
ago,2007,343.7
ago,2008,196.8
ago,2009,151.1
ago,2010,226.6
ago,2011,163.1
ago,2012,143.1
ago,2013,130.1
ago,2014,118.8
ago,2015,17
ago,2016,20.7
ago,2017,17.4
alb,2003,57.1
alb,2004,32.3
alb,2005,31.3
alb,2006,22.5
alb,2007,46.1
alb,2008,42.5
alb,2009,32.2
alb,2010,31.8
alb,2011,29.3
alb,2012,22.4
alb,2013,21.2
alb,2014,10.1
alb,2015,10.3
alb,2016,12.5
alb,2017,12
are,2003,18.8
are,2004,17.5
are,2005,15.8
are,2006,13
are,2007,13.9
are,2008,11.6
are,2009,11.1
are,2010,12.6
are,2011,13.4
are,2012,11
are,2013,11.4
are,2014,11.3
are,2015,11.2
are,2016,13
are,2017,13.4
arg,2003,13.5
arg,2004,17.3
arg,2005,15.9
arg,2006,15.4
arg,2007,13.6
arg,2008,12.8
arg,2009,16.1
arg,2010,20.7
arg,2011,17.7
arg,2012,15.4
arg,2013,23.4
arg,2014,17.8
arg,2015,11.5
arg,2016,10.8
arg,2017,10.4
arm,2003,8.4
arm,2004,7
arm,2005,6.1
arm,2006,5.1
arm,2007,4.8
arm,2008,3.6
arm,2009,2.6
arm,2010,3.1
arm,2011,2.9
arm,2012,2.5
arm,2013,1.1
arm,2014,1
arm,2015,1
arm,2016,0.9
arm,2017,0.9
atg,2005,12.5
atg,2006,12
atg,2007,11.3
atg,2008,11.1
atg,2009,9.2
atg,2010,10.5
atg,2011,12
atg,2012,10.5
atg,2013,10
atg,2014,9.8
atg,2015,9.5
atg,2016,9.4
atg,2017,9.1
aus,2003,2
aus,2004,2.1
aus,2005,1.9
aus,2006,1.8
aus,2007,0.8
aus,2008,0.8
aus,2009,0.8
aus,2010,0.7
aus,2011,0.7
aus,2012,0.7
aus,2013,0.7
aus,2014,0.7
aus,2015,0.7
aus,2016,0.7
aus,2017,0.7
aut,2003,6.1
aut,2004,6
aut,2005,5.7
aut,2006,5.6
aut,2007,5.4
aut,2008,5.1
aut,2009,5.1
aut,2010,5.2
aut,2011,5.2
aut,2012,4.9
aut,2013,4.8
aut,2014,5.5
aut,2015,5.3
aut,2016,5.2
aut,2017,5.1
aze,2003,16.8
aze,2004,14.4
aze,2005,12.3
aze,2006,9.3
aze,2007,6.9
aze,2008,4.3
aze,2009,2.9
aze,2010,3.1
aze,2011,2.7
aze,2012,2.3
aze,2013,1.1
aze,2014,3.2
aze,2015,1.8
aze,2016,1.9
aze,2017,1.8
bdi,2003,240.2
bdi,2004,181.4
bdi,2005,190.2
bdi,2006,213.8
bdi,2007,241.2
bdi,2008,206.7
bdi,2009,145.7
bdi,2010,124.3
bdi,2011,116.8
bdi,2012,18.3
bdi,2013,17.5
bdi,2014,13.4
bdi,2015,13.4
bdi,2016,13.9
bdi,2017,33.9
bel,2003,11.1
bel,2004,11.3
bel,2005,11.1
bel,2006,5.8
bel,2007,5.6
bel,2008,5.5
bel,2009,5.6
bel,2010,5.7
bel,2011,5.5
bel,2012,5.3
bel,2013,5.3
bel,2014,5.2
bel,2015,5
bel,2016,5
bel,2017,5.6
ben,2003,148.1
ben,2004,173.6
ben,2005,168.2
ben,2006,211.1
ben,2007,197.2
ben,2008,198.2
ben,2009,157.4
ben,2010,154.4
ben,2011,149.9
ben,2012,126.9
ben,2013,122.8
ben,2014,55.9
ben,2015,45.4
ben,2016,3.8
ben,2017,3.7
bfa,2003,145.7
bfa,2004,139.7
bfa,2005,137.4
bfa,2006,112.6
bfa,2007,82.1
bfa,2008,62.3
bfa,2009,50.5
bfa,2010,49.9
bfa,2011,47.7
bfa,2012,46.8
bfa,2013,44.5
bfa,2014,44.7
bfa,2015,43.5
bfa,2016,43.4
bfa,2017,42.6
bgd,2013,18.8
bgd,2014,16.8
bgd,2015,13.9
bgd,2016,15.6
bgd,2017,22.3
bgr,2003,10.4
bgr,2004,10.3
bgr,2005,9.6
bgr,2006,7.9
bgr,2007,7.6
bgr,2008,3
bgr,2009,2.6
bgr,2010,2.5
bgr,2011,2.3
bgr,2012,1.9
bgr,2013,1.8
bgr,2014,1.5
bgr,2015,1.4
bgr,2016,1.3
bgr,2017,1.2
bhr,2007,0.7
bhr,2008,0.6
bhr,2009,0.5
bhr,2010,0.6
bhr,2011,0.9
bhr,2012,0.8
bhr,2013,1
bhr,2014,0.8
bhr,2015,0.8
bhr,2016,1.2
bhr,2017,1
bhs,2007,10.3
bhs,2008,9.8
bhs,2009,8.5
bhs,2010,10.7
bhs,2011,10.6
bhs,2012,10.3
bhs,2013,10.4
bhs,2014,10.2
bhs,2015,10.8
bhs,2016,13.8
bhs,2017,13.8
bih,2003,47.3
bih,2004,45.3
bih,2005,41.2
bih,2006,37.4
bih,2007,30.9
bih,2008,31.6
bih,2009,16.3
bih,2010,18.3
bih,2011,17.6
bih,2012,15.4
bih,2013,15.4
bih,2014,15.2
bih,2015,14.1
bih,2016,13.5
bih,2017,7.7
blr,2003,20.6
blr,2004,26.6
blr,2005,32.9
blr,2006,26.8
blr,2007,9.5
blr,2008,8.3
blr,2009,2.1
blr,2010,2
blr,2011,1.6
blr,2012,2.5
blr,2013,0.9
blr,2014,0.9
blr,2015,0.9
blr,2016,0.6
blr,2017,0.6
blz,2005,38.4
blz,2006,38
blz,2007,37
blz,2008,36.5
blz,2009,35.3
blz,2010,35.8
blz,2011,36.5
blz,2012,36.7
blz,2013,35.4
blz,2014,34.3
blz,2015,34.2
blz,2016,34.6
blz,2017,34.6
bol,2003,173.5
bol,2004,172.1
bol,2005,153.2
bol,2006,143.9
bol,2007,128.6
bol,2008,106.2
bol,2009,93.7
bol,2010,95.2
bol,2011,85.4
bol,2012,70
bol,2013,67.6
bol,2014,60.8
bol,2015,54.9
bol,2016,53.5
bol,2017,54
bra,2013,5.9
bra,2014,5.5
bra,2015,4.8
bra,2016,5.2
bra,2017,5
brb,2011,7.6
brb,2012,7.2
brb,2013,7.2
brb,2014,7.6
brb,2015,7.1
brb,2016,7.7
brb,2017,7.6
brn,2006,8.9
brn,2007,9.1
brn,2008,9.2
brn,2009,9.9
brn,2010,13.6
brn,2011,11.9
brn,2012,10.7
brn,2013,10
brn,2014,10.4
brn,2015,1.2
brn,2016,1.5
brn,2017,1.1
btn,2003,21
btn,2004,17.6
btn,2005,16.9
btn,2006,14.1
btn,2007,8.8
btn,2008,7.2
btn,2009,6.8
btn,2010,6.1
btn,2011,6.1
btn,2012,6
btn,2013,4.8
btn,2014,4.2
btn,2015,4
btn,2016,3.8
btn,2017,3.9
bwa,2003,10.4
bwa,2004,10.2
bwa,2005,10
bwa,2006,9.7
bwa,2007,9.3
bwa,2008,1.7
bwa,2009,1.4
bwa,2010,1.5
bwa,2011,1.1
bwa,2012,0.8
bwa,2013,0.9
bwa,2014,0.8
bwa,2015,0.7
bwa,2016,0.8
bwa,2017,0.7
caf,2003,198.3
caf,2004,210.2
caf,2005,217.4
caf,2006,215
caf,2007,210.8
caf,2008,237.6
caf,2009,223.7
caf,2010,208.8
caf,2011,156.5
caf,2012,154
caf,2013,144.7
caf,2014,200.4
caf,2015,181.3
caf,2016,186
caf,2017,154.7
can,2003,0.6
can,2004,0.9
can,2005,0.9
can,2006,0.8
can,2007,0.8
can,2008,0.4
can,2009,0.4
can,2010,0.4
can,2011,0.4
can,2012,0.4
can,2013,0.4
can,2014,0.4
can,2015,0.4
can,2016,0.4
can,2017,0.4
che,2003,8.9
che,2004,8.9
che,2005,9
che,2006,2.5
che,2007,2.4
che,2008,2.4
che,2009,2.3
che,2010,2.4
che,2011,2.4
che,2012,2.3
che,2013,2.3
che,2014,2.3
che,2015,2.3
che,2016,2.3
che,2017,2.3
chl,2003,19.6
chl,2004,17
chl,2005,16.8
chl,2006,15.7
chl,2007,14.3
chl,2008,12
chl,2009,11.3
chl,2010,11.1
chl,2011,8.9
chl,2012,7.8
chl,2013,3.7
chl,2014,3.5
chl,2015,3.3
chl,2016,3.2
chl,2017,3
chn,2013,1.9
chn,2014,0.9
chn,2015,0.7
chn,2016,0.7
chn,2017,0.6
civ,2003,139.5
civ,2004,133.6
civ,2005,134.9
civ,2006,134.1
civ,2007,135.8
civ,2008,135.1
civ,2009,133.3
civ,2010,133
civ,2011,132.6
civ,2012,130
civ,2013,44.4
civ,2014,20
civ,2015,18.6
civ,2016,18.9
civ,2017,16.5
cmr,2003,193
cmr,2004,183.3
cmr,2005,172.1
cmr,2006,150.9
cmr,2007,143.5
cmr,2008,151.7
cmr,2009,128.6
cmr,2010,46.2
cmr,2011,40.4
cmr,2012,36
cmr,2013,36.4
cmr,2014,34.6
cmr,2015,33
cmr,2016,32.2
cmr,2017,35.8
cod,2003,1486.1
cod,2004,1229.1
cod,2005,1190
cod,2006,1076.9
cod,2007,871.8
cod,2008,935.4
cod,2009,847.6
cod,2010,735.1
cod,2011,551.4
cod,2012,284.7
cod,2013,200.1
cod,2014,30
cod,2015,29.3
cod,2016,29.3
cod,2017,28.6
cog,2003,168.9
cog,2004,172.3
cog,2005,158.1
cog,2006,139.9
cog,2007,150.1
cog,2008,106.4
cog,2009,86.5
cog,2010,95.2
cog,2011,85.2
cog,2012,55.3
cog,2013,52.1
cog,2014,52.7
cog,2015,52.3
cog,2016,61.2
cog,2017,77.7
col,2003,28
col,2004,25.6
col,2005,24.7
col,2006,19.1
col,2007,18.6
col,2008,14.9
col,2009,13.1
col,2010,14.7
col,2011,8
col,2012,7.6
col,2013,7.5
col,2014,7.5
col,2015,14.3
col,2016,14.1
col,2017,14
com,2005,158
com,2006,157.8
com,2007,148.6
com,2008,152.3
com,2009,144.7
com,2010,138.3
com,2011,138
com,2012,114.9
com,2013,90.3
com,2014,86.9
com,2015,89.7
com,2016,98.4
com,2017,84.1
cpv,2005,44
cpv,2006,45.6
cpv,2007,40.1
cpv,2008,35.7
cpv,2009,17
cpv,2010,18.5
cpv,2011,17
cpv,2012,14.9
cpv,2013,13.5
cpv,2014,14.3
cpv,2015,14.8
cpv,2016,14.7
cpv,2017,15.4
cri,2003,15.6
cri,2004,14.7
cri,2005,12.6
cri,2006,12.5
cri,2007,12.7
cri,2008,11.4
cri,2009,10.5
cri,2010,10.1
cri,2011,9.8
cri,2012,15.8
cri,2013,11.9
cri,2014,11.5
cri,2015,11.1
cri,2016,9.1
cri,2017,8.5
cyp,2008,14.1
cyp,2009,11.7
cyp,2010,12.6
cyp,2011,13.1
cyp,2012,12.4
cyp,2013,12.6
cyp,2014,13
cyp,2015,12.5
cyp,2016,12.2
cyp,2017,12.4
cze,2003,10
cze,2004,10.8
cze,2005,9.5
cze,2006,8.9
cze,2007,10.6
cze,2008,9.6
cze,2009,9.2
cze,2010,9.3
cze,2011,8.1
cze,2012,8.1
cze,2013,7
cze,2014,6.9
cze,2015,6.7
cze,2016,5.7
cze,2017,1
deu,2003,6.1
deu,2004,6.1
deu,2005,4.9
deu,2006,5.3
deu,2007,5.8
deu,2008,5.8
deu,2009,4.9
deu,2010,5
deu,2011,4.8
deu,2012,5
deu,2013,5
deu,2014,8.9
deu,2015,2
deu,2016,1.9
deu,2017,1.9
dji,2005,279.6
dji,2006,267
dji,2007,251.6
dji,2008,245.2
dji,2009,240.1
dji,2010,214.9
dji,2011,214.8
dji,2012,195.7
dji,2013,184.7
dji,2014,175.2
dji,2015,170.7
dji,2016,130.8
dji,2017,35.2
dma,2005,30.2
dma,2006,30
dma,2007,27.1
dma,2008,25.5
dma,2009,22.6
dma,2010,22
dma,2011,21.8
dma,2012,15.3
dma,2013,16.6
dma,2014,15.7
dma,2015,15
dma,2016,15.7
dma,2017,15.5
dnk,2003,0
dnk,2004,0
dnk,2005,0
dnk,2006,0
dnk,2007,0
dnk,2008,0
dnk,2009,0
dnk,2010,0
dnk,2011,0
dnk,2012,0.2
dnk,2013,0.2
dnk,2014,0.2
dnk,2015,0.2
dnk,2016,0.2
dnk,2017,0.2
dom,2003,28.3
dom,2004,25.4
dom,2005,30.8
dom,2006,30.2
dom,2007,31.1
dom,2008,19.4
dom,2009,21
dom,2010,20.5
dom,2011,19.3
dom,2012,18.3
dom,2013,17.3
dom,2014,16.9
dom,2015,15.3
dom,2016,14.8
dom,2017,14.5
dza,2003,16.3
dza,2004,14.6
dza,2005,12.4
dza,2006,13.4
dza,2007,13.2
dza,2008,10.8
dza,2009,12.1
dza,2010,12.9
dza,2011,12.1
dza,2012,12.1
dza,2013,12.4
dza,2014,11
dza,2015,10.9
dza,2016,11.1
dza,2017,11.1
east_asia_pacific,2003,50.66957
east_asia_pacific,2004,55.025
east_asia_pacific,2005,44.94167
east_asia_pacific,2006,39.504
east_asia_pacific,2007,33.372
east_asia_pacific,2008,30.52
east_asia_pacific,2009,25.732
east_asia_pacific,2010,25.732
east_asia_pacific,2011,23.568
east_asia_pacific,2012,26.56538
east_asia_pacific,2013,25.80345
east_asia_pacific,2014,24.28276
east_asia_pacific,2015,20.0069
east_asia_pacific,2016,17.15517
east_asia_pacific,2017,16.64828
ecu,2003,51.6
ecu,2004,47.4
ecu,2005,38.1
ecu,2006,31.8
ecu,2007,29.2
ecu,2008,35.3
ecu,2009,35.1
ecu,2010,32.6
ecu,2011,28.8
ecu,2012,29.9
ecu,2013,25.3
ecu,2014,24
ecu,2015,22
ecu,2016,21
ecu,2017,21.9
egy,2003,65.6
egy,2004,63
egy,2005,105.1
egy,2006,69
egy,2007,29.1
egy,2008,22.9
egy,2009,20.9
egy,2010,11.1
egy,2011,10.6
egy,2012,10.6
egy,2013,9.9
egy,2014,9.4
egy,2015,7.8
egy,2016,7.6
egy,2017,7.4
eri,2004,155.6
eri,2005,130.4
eri,2006,115.9
eri,2007,125.8
eri,2008,102.2
eri,2009,76.5
eri,2010,69.2
eri,2011,62.6
eri,2012,52.3
eri,2013,50.5
eri,2014,41.5
eri,2015,38.1
eri,2016,37.6
eri,2017,27
esp,2003,16.8
esp,2004,17
esp,2005,16.5
esp,2006,16.2
esp,2007,15.1
esp,2008,14.9
esp,2009,15
esp,2010,15.1
esp,2011,4.7
esp,2012,5
esp,2013,5
esp,2014,5.3
esp,2015,5.2
esp,2016,5
esp,2017,4.8
est,2003,8
