geo,time,ic_prp_durs
afg,2004,252
afg,2005,252
afg,2006,252
afg,2007,250
afg,2008,250
afg,2009,250
afg,2010,250
afg,2011,250
afg,2012,250
afg,2013,250
afg,2014,250
afg,2015,250
afg,2016,250
afg,2017,250
ago,2004,335
ago,2005,335
ago,2006,335
ago,2007,335
ago,2008,335
ago,2009,190
ago,2010,190
ago,2011,190
ago,2012,190
ago,2013,190
ago,2014,190
ago,2015,190
ago,2016,190
ago,2017,190
alb,2004,42
alb,2005,42
alb,2006,42
alb,2007,42
alb,2008,42
alb,2009,42
alb,2010,42
alb,2011,33
alb,2012,33
alb,2013,33
alb,2014,22
alb,2015,22
alb,2016,19
alb,2017,19
are,2004,10
are,2005,10
are,2006,10
are,2007,10
are,2008,10
are,2009,10
are,2010,10
are,2011,10
are,2012,10
are,2013,6
are,2014,2
are,2015,1.5
are,2016,1.5
are,2017,1.5
arg,2004,51
arg,2005,51
arg,2006,51
arg,2007,51
arg,2008,51
arg,2009,51
arg,2010,51
arg,2011,51.5
arg,2012,51.5
arg,2013,51.5
arg,2014,51.5
arg,2015,51.5
arg,2016,51.5
arg,2017,51.5
arm,2004,6
arm,2005,6
arm,2006,5
arm,2007,5
arm,2008,5
arm,2009,5
arm,2010,7
arm,2011,7
arm,2012,7
arm,2013,7
arm,2014,7
arm,2015,7
arm,2016,7
arm,2017,7
atg,2005,25
atg,2006,25
atg,2007,25
atg,2008,25
atg,2009,25
atg,2010,25
atg,2011,25
atg,2012,25
atg,2013,25
atg,2014,25
atg,2015,39
atg,2016,108
atg,2017,32
aus,2004,7
aus,2005,4.5
aus,2006,4.5
aus,2007,4.5
aus,2008,4.5
aus,2009,4.5
aus,2010,4.5
aus,2011,4.5
aus,2012,4.5
aus,2013,4.5
aus,2014,4.5
aus,2015,4.5
aus,2016,4.5
aus,2017,4.5
aut,2004,31.5
aut,2005,31.5
aut,2006,31.5
aut,2007,31.5
aut,2008,31.5
aut,2009,31.5
aut,2010,20.5
aut,2011,20.5
aut,2012,20.5
aut,2013,20.5
aut,2014,20.5
aut,2015,20.5
aut,2016,20.5
aut,2017,20.5
aze,2004,59
aze,2005,59
aze,2006,59
aze,2007,52
aze,2008,10
aze,2009,10
aze,2010,10
aze,2011,10
aze,2012,10
aze,2013,10
aze,2014,8.5
aze,2015,8.5
aze,2016,8.5
aze,2017,5.5
bdi,2004,104
bdi,2005,104
bdi,2006,104
bdi,2007,104
bdi,2008,94
bdi,2009,94
bdi,2010,94
bdi,2011,94
bdi,2012,64
bdi,2013,26
bdi,2014,23
bdi,2015,23
bdi,2016,23
bdi,2017,23
bel,2004,132
bel,2005,132
bel,2006,132
bel,2007,132
bel,2008,132
bel,2009,79
bel,2010,79
bel,2011,64
bel,2012,64
bel,2013,64
bel,2014,64
bel,2015,56
bel,2016,56
bel,2017,56
ben,2004,120
ben,2005,120
ben,2006,120
ben,2007,120
ben,2008,120
ben,2009,120
ben,2010,120
ben,2011,120
ben,2012,120
ben,2013,120
ben,2014,120
ben,2015,120
ben,2016,120
ben,2017,120
bfa,2004,182
bfa,2005,182
bfa,2006,182
bfa,2007,182
bfa,2008,136
bfa,2009,67
bfa,2010,67
bfa,2011,67
bfa,2012,67
bfa,2013,67
bfa,2014,67
bfa,2015,67
bfa,2016,67
bfa,2017,67
bgd,2013,244
bgd,2014,244
bgd,2015,244
bgd,2016,244
bgd,2017,244
bgr,2004,27
bgr,2005,27
bgr,2006,27
bgr,2007,27
bgr,2008,27
bgr,2009,19
