country,year,se_sec_priv_zs
abw,2001,91.41257
abw,2002,91.46071
abw,2003,91.62906
abw,2004,91.79693
abw,2005,91.34345
abw,2006,92.24358
abw,2007,92.2832
abw,2008,91.78817
abw,2009,91.8403
abw,2010,91.77336
abw,2011,91.56953
abw,2012,92.38391
afg,2011,1.27354
afg,2012,1.94761
afg,2014,1.9775
afg,2015,2.67373
afg,2017,3.67528
ago,1998,18.14794
ago,2008,10.92931
ago,2009,10.22761
ago,2010,10.58419
ago,2011,10.97955
alb,2006,4.5902
alb,2008,5.74341
alb,2009,5.8186
alb,2010,6.14436
alb,2011,6.6148
alb,2012,7.25773
alb,2013,7.76118
alb,2014,8.26905
alb,2015,7.61587
alb,2016,7.74272
and,2002,3.79949
and,2003,4.22668
and,2004,4.67692
and,2005,4.12095
and,2006,3.69503
and,2007,3.116
and,2008,2.67463
and,2009,2.37609
and,2010,2.04484
and,2012,2.49525
and,2013,2.40623
and,2014,2.17643
and,2015,2.84414
and,2016,2.77966
are,2016,66.42749
arg,1998,27.01005
arg,1999,24.81191
arg,2000,25.09398
arg,2001,25.05358
arg,2002,24.90442
arg,2003,24.94298
arg,2004,25.4447
arg,2005,25.89933
arg,2006,26.1405
arg,2007,26.22894
arg,2008,26.33421
arg,2009,26.02571
arg,2010,25.36574
arg,2011,25.45697
arg,2012,26.10511
arg,2013,26.23107
arg,2014,26.15356
arg,2015,26.51714
arm,2011,1.70579
arm,2013,2.30125
arm,2014,2.14686
arm,2015,2.30679
atg,2000,20.10993
atg,2007,18.98443
atg,2010,18.27881
atg,2011,19.50527
atg,2012,16.71239
atg,2014,17.87792
atg,2015,18.40209
aus,2015,41.10029
aus,2016,40.45681
aut,1999,8.47701
aut,2000,8.37324
aut,2002,8.65202
aut,2003,8.8104
aut,2004,9.26646
aut,2005,9.74565
aut,2006,9.62412
aut,2007,9.67868
aut,2008,9.55705
aut,2009,9.66879
aut,2010,9.87671
aut,2011,9.48843
aut,2012,9.5977
aut,2013,9.87188
aut,2014,9.96436
aut,2015,10.133
aut,2016,10.38308
bdi,2003,11.4594
bdi,2004,9.04953
bdi,2005,10.39974
bdi,2006,10.70069
bdi,2007,6.95992
bdi,2009,8.80688
bdi,2010,8.80481
bdi,2011,9.25176
bdi,2012,8.32435
bdi,2013,9.06189
bdi,2014,8.81267
bdi,2015,8.87687
bdi,2016,8.48627
bel,1999,60.76843
bel,2000,59.3803
bel,2001,57.83813
bel,2002,57.4115
bel,2003,57.49142
bel,2004,57.78343
bel,2005,57.31103
bel,2006,57.11229
bel,2007,57.30595
bel,2008,57.58294
bel,2009,57.37636
bel,2010,57.61635
bel,2011,58.10634
bel,2012,57.90992
bel,2013,58.52281
bel,2014,58.74522
bel,2015,58.74521
ben,1999,18.28232
ben,2000,16.26023
ben,2001,17.50966
ben,2002,15.78011
ben,2003,18.87001
ben,2004,19.74601
ben,2011,18.68177
ben,2013,18.03024
ben,2014,12.9721
ben,2015,15.50571
bfa,1999,33.09777
bfa,2000,34.21073
bfa,2001,34.40771
bfa,2005,39.14668
bfa,2006,38.8414
bfa,2007,38.61642
bfa,2008,42.83603
bfa,2009,42.0027
bfa,2010,41.85688
bfa,2011,41.15974
bfa,2012,41.06592
bfa,2013,41.11969
bfa,2014,38.77746
bfa,2015,39.63917
bfa,2016,39.72252
bgd,1998,95.23137
bgd,1999,95.61341
bgd,2000,95.73172
bgd,2001,95.89507
bgd,2002,96.0528
bgd,2003,95.91583
bgd,2004,95.68678
bgd,2005,95.99184
bgd,2006,95.82429
bgd,2007,95.63104
bgd,2008,95.26758
bgd,2009,95.32504
bgd,2010,95.11458
bgd,2011,94.7915
bgd,2012,94.45744
bgd,2013,94.59169
bgd,2015,94.43303
bgd,2016,94.04126
bgr,1999,0.57918
bgr,2000,0.6439
bgr,2001,0.69823
bgr,2002,0.78568
bgr,2003,0.83125
bgr,2004,0.84975
bgr,2005,0.92323
bgr,2007,0.9543
bgr,2008,1.01227
bgr,2009,1.05094
bgr,2010,1.05737
bgr,2011,1.12161
bgr,2012,1.0302
bgr,2013,5.16697
bgr,2014,5.37372
bgr,2015,3.5407
bgr,2016,2.43201
bhr,1999,13.18867
bhr,2000,14.29788
bhr,2001,15.22476
bhr,2002,14.85746
bhr,2003,15.20846
bhr,2004,15.50447
bhr,2005,15.88527
bhr,2006,16.51823
bhr,2008,18.59537
bhr,2009,19.85801
bhr,2010,21.24901
bhr,2011,22.27299
bhr,2012,23.15825
bhr,2013,23.29912
bhr,2014,24.29627
bhr,2015,25.19631
bhr,2016,25.68415
bhs,2002,27.90654
bhs,2005,28.9071
bhs,2006,27.55205
bhs,2007,31.686
bhs,2008,31.47766
bhs,2009,31.64206
bhs,2010,30.49468
bhs,2016,27.4239
bih,2010,1.52556
bih,2011,1.4568
bih,2012,1.72666
bih,2013,1.89376
bih,2014,1.89303
bih,2015,2.0056
bih,2016,2.37139
blr,2008,0.3949
blr,2009,0.43164
blr,2010,0.559
blr,2011,0.50588
blr,2012,0.42075
blr,2013,0.45185
blr,2014,0.46674
blr,2015,0.48855
blr,2016,0.47133
blz,2000,76.51388
blz,2001,73.87579
blz,2006,70.95134
blz,2007,73.51928
blz,2008,70.10604
blz,2009,64.4242
blz,2010,63.20622
blz,2011,63.00054
blz,2012,63.20533
blz,2013,65.89537
blz,2014,62.13775
blz,2015,60.62183
bmu,2001,39.0276
bmu,2002,41.18291
bmu,2003,41.18026
bmu,2004,39.85009
bmu,2005,40.39108
bmu,2006,42.31961
bmu,2010,45.24672
bmu,2011,44.21296
bmu,2012,43.37121
bmu,2013,43.32934
bmu,2014,42.82922
bmu,2015,43.36634
bol,2000,16.85887
bol,2001,15.46816
bol,2002,14.39614
bol,2003,13.62339
bol,2004,13.45567
bol,2005,13.5174
bol,2006,13.24278
bol,2007,13.49193
bol,2008,13.5175
bol,2009,13.4443
bol,2010,13.09918
bol,2011,13.05034
bol,2012,13.06838
bol,2013,12.91545
bol,2014,12.60621
