country,year,bn_gsr_fcty_cd
abw,1986,-6368715.0838
abw,1987,-12234636.87151
abw,1988,-17039106.14525
abw,1989,-11284916.20112
abw,1990,-7765363.12849
abw,1991,-7765363.12849
abw,1992,-7318435.75419
abw,1993,-11229050.27933
abw,1994,-12737430.1676
abw,1995,-8212290.50279
abw,1996,-11843575.41899
abw,1997,-17206703.91061
abw,1998,391061.45251
abw,1999,-42675977.65363
abw,2000,-24033519.55307
abw,2001,-57340782.12291
abw,2002,-135743016.75978
abw,2003,-53368715.0838
abw,2004,-74245810.05587
abw,2005,-478533012.8337
abw,2006,-105887259.33334
abw,2007,-384525139.6648
abw,2008,-116759776.53631
abw,2009,-89106145.2514
abw,2010,-140223463.68715
abw,2011,-245642458.10056
abw,2012,-115083798.88268
abw,2013,-164619988.82682
abw,2014,-102820441.89944
abw,2015,-124727353.63128
abw,2016,-134801596.08938
afg,1979,23200000
afg,1980,45000000
afg,1981,23500000
afg,1982,21100000
afg,1983,6300000
afg,1984,1900000
afg,1985,20600000
afg,1986,-10800000
afg,1987,7900000
afg,1988,11800000
afg,1989,12200000
afg,2008,-2101054.23948
afg,2009,-37811802.03784
afg,2010,29106509.26528
afg,2011,-23586775.50228
afg,2012,53931817.94236
afg,2013,62936800.69074
afg,2014,62543768.50912
afg,2015,100439808.98705
afg,2016,72987981.66421
ago,1985,-214000000
ago,1986,-233000000
ago,1987,-294000000
ago,1988,-615000000
ago,1989,-779000000
ago,1990,-765300000
ago,1991,-1042100000
ago,1992,-782288000
ago,1993,-816100000
ago,1994,-734700000
ago,1995,-767257000
ago,1996,-1473354000
ago,1997,-921000000
ago,1998,-968790000
ago,1999,-1372030000
ago,2000,-1680860000
ago,2001,-1560990000
ago,2002,-1634656133.52
ago,2003,-1726480970
ago,2004,-2488563724.91
ago,2005,-4030888677.06
ago,2006,-6177867505.48
ago,2007,-7599027343.95
ago,2008,-13717547685.5
ago,2009,-6823141271.27
ago,2010,-8086861868.85
ago,2011,-9697326689.50557
ago,2012,-10421753673.915
ago,2013,-9900058900.8031
ago,2014,-8849901928.96056
ago,2015,-5907539217.71847
ago,2016,-5259459580.34336
alb,1980,3500000
alb,1981,10500000
alb,1982,13400000
alb,1983,6600000
alb,1984,3200000
alb,1985,1400000
alb,1986,100000
alb,1987,400000
alb,1988,200000
alb,1989,-100000
alb,1990,-1900000
alb,1991,-25100000
alb,1992,-35100000
alb,1993,33900000
alb,1994,13800000
alb,1995,43600000
alb,1996,71800000
alb,1997,49600000
alb,1998,77350000
alb,1999,75300000
alb,2000,106600000
alb,2001,148900000
alb,2002,127690000
alb,2003,170404093.60074
alb,2004,175411605.3912
alb,2005,174058711.93872
alb,2006,263021194.67588
alb,2007,297320000
alb,2008,54830891.34768
alb,2009,-192114507.31835
alb,2010,-117915994.23889
alb,2011,938038.89142
alb,2012,-91786638.84837
alb,2013,220475999.16662
alb,2014,122981782.90773
alb,2015,133513050.43683
alb,2016,193244806.20655
arg,1976,-492000000
arg,1977,-741000000
arg,1978,-668000000
arg,1979,-907000000
arg,1980,-1512000000
arg,1981,-3684000000
arg,1982,-4707000000
arg,1983,-5399000000
arg,1984,-5701000000
arg,1985,-5294000000
arg,1986,-4404000000
arg,1987,-4472000000
arg,1988,-5127000000
arg,1989,-6422000000
arg,1990,-4400000000
arg,1991,-4260000000
arg,1992,-2383654558.62269
arg,1993,-3068849940.16498
arg,1994,-3558752970.09462
arg,1995,-4636072254.29083
arg,1996,-5464728736.76007
arg,1997,-6145110929.75087
arg,1998,-7404518270.05933
arg,1999,-7490377337.02028
arg,2000,-7547770368.62146
arg,2001,-7726728702.30912
arg,2002,-7490680000
arg,2003,-7975690000
arg,2004,-9282810000
arg,2005,-7305360000
arg,2006,-7722609982.90152
arg,2007,-7594655763.44789
arg,2008,-9034190700.03839
arg,2009,-10318875001.573
arg,2010,-14547533203.937
arg,2011,-15073067099.8511
arg,2012,-13753840627.053
arg,2013,-13164827574.8438
arg,2014,-11613847481.2072
arg,2015,-12104598578.6044
arg,2016,-12104715311.7984
arm,1993,-1300000
arm,1994,-4020000
arm,1995,39521300
arm,1996,44730000
arm,1997,97204737.83188
arm,1998,58815383.60612
arm,1999,54956104.5798
arm,2000,58972285.15789
arm,2001,63600535.32873
arm,2002,82370820.74283
arm,2003,92876589.35325
arm,2004,148352015.2237
arm,2005,206006379.46396
arm,2006,302026902.21017
arm,2007,497420802.86215
arm,2008,691280287.21016
arm,2009,358781515.66094
arm,2010,458281240.76884
arm,2011,360073591.45195
arm,2012,423036162.49865
arm,2013,682546974.62346
arm,2014,541140562.39299
arm,2015,442884498.82546
arm,2016,224219935.01438
atg,1977,-200000
atg,1978,-400000
atg,1979,-1800000
atg,1980,-1200000
atg,1981,-2000000
atg,1982,-3700000
atg,1983,-1000000
atg,1984,-400000
atg,1985,-2700000
atg,1986,-36033333.33333
atg,1987,-39959259.25926
atg,1988,-31625925.92593
atg,1989,-45481481.48148
atg,1990,-45325925.92593
atg,1991,-32200000
atg,1992,-29666666.66667
atg,1993,-22937037.03704
atg,1994,-26559259.25926
atg,1995,-26859259.25926
atg,1996,-26218518.51852
atg,1997,-22155555.55556
atg,1998,-21037037.03704
atg,1999,-23445185.18519
atg,2000,-44518888.88889
atg,2001,-24788148.14815
atg,2002,-41446719.25926
atg,2003,-38696280
atg,2004,-45085318.88889
atg,2005,-42040239.25926
atg,2006,-46743327.03704
atg,2007,-52667419.62963
atg,2008,-61084055.18519
atg,2009,-50820293.33333
atg,2010,-31489412.96296
atg,2011,-39470998.88889
atg,2012,-51089871.48148
atg,2013,-50131508.88889
atg,2014,-77507132.95214
atg,2015,-80930065.29741
atg,2016,-97619344.93297
aus,1989,-11359908733.5246
aus,1990,-13065793040.7447
aus,1991,-12089027238.7006
aus,1992,-10043409121.9624
aus,1993,-8266987914.68642
aus,1994,-11342556252.1539
aus,1995,-13609978311.3446
aus,1996,-14266000007.7232
aus,1997,-13735156762.251
aus,1998,-11361801112.7188
aus,1999,-11882790656.5142
aus,2000,-11130541067.9466
aus,2001,-10336522544.7177
aus,2002,-11594742935.3047
aus,2003,-15098854113.9955
aus,2004,-22013826113.977
aus,2005,-28098343098.7398
aus,2006,-32549042850.7949
aus,2007,-41151952237.4042
aus,2008,-37993429330.0473
aus,2009,-38033817390.0437
aus,2010,-49292957997.89431
aus,2011,-54779715804.3166
aus,2012,-40810759667.74969
aus,2013,-38539806133.4948
aus,2014,-32602224358.4709
aus,2015,-29171393940.9823
aus,2016,-26915734668.8879
aut,2005,-2042988005.06716
aut,2006,844158546.42767
aut,2007,-314983036.00252
aut,2008,3411927021.76047
aut,2009,-93829676.85053
aut,2010,3330807308.5565
aut,2011,1336496863.2985
aut,2012,514602317.74853
aut,2013,1376832520.61281
aut,2014,323941238.41571
aut,2015,-2811866652.69892
aut,2016,-227107684.96322
aze,1995,-6042000
aze,1996,-12126000
aze,1997,-9485000
aze,1998,-13286000
aze,1999,-44969000
aze,2000,-335453000
aze,2001,-367185000
aze,2002,-384691000
aze,2003,-442008000
aze,2004,-700602000
aze,2005,-1645637000
aze,2006,-2680579000
aze,2007,-5079395000
aze,2008,-5266049000
aze,2009,-3519156000
aze,2010,-3467078000
aze,2011,-4859847000
aze,2012,-4266826000
aze,2013,-4127528000
aze,2014,-2581701000
aze,2015,-2027798000
aze,2016,-2472054000
bdi,1985,-18319548.10133
