geo,time,gc_xpn_intp_zs
afg,2006,0.23645
afg,2007,0.09069
afg,2008,0.03946
afg,2009,0.04007
afg,2010,0.02345
afg,2011,0.01818
afg,2012,0.02715
afg,2013,0.05592
afg,2014,0.06706
afg,2015,0.14939
afg,2016,0.10807
afg,2017,0.13421
ago,1999,0.5158
ago,2000,0.87226
ago,2001,3.66566
ago,2002,3.50001
ago,2003,2.01445
ago,2004,5.58778
ago,2005,2.69257
ago,2006,1.331
ago,2007,2.2504
ago,2008,9.10998
ago,2009,7.36797
ago,2010,5.86364
ago,2011,2.90839
ago,2012,3.58611
ago,2013,2.66253
ago,2014,3.67352
ago,2015,8.55526
ago,2016,12.3008
ago,2017,16.23216
alb,1995,9.19776
alb,1996,12.1609
alb,1997,22.15529
alb,1998,31.05324
alb,2002,16.33435
alb,2003,19.21491
alb,2004,16.90427
alb,2011,13.66823
alb,2012,13.4608
alb,2013,13.22369
alb,2014,11.68154
alb,2015,10.98762
alb,2016,10.26141
alb,2017,8.58377
arg,1990,8.65454
arg,1991,11.05147
arg,1992,9.80266
arg,1993,7.60836
arg,1994,8.32104
arg,1995,10.20165
arg,1996,11.21338
arg,1997,13.0351
arg,1998,14.71146
arg,1999,17.27453
arg,2000,20.10401
arg,2001,22.27435
arg,2002,34.28493
arg,2003,30.00839
arg,2004,26.31425
arg,2014,7.75789
arg,2015,7.37421
arg,2016,11.39009
arg,2017,9.41981
arm,2004,3.04007
arm,2005,2.44057
arm,2006,1.98131
arm,2007,1.85513
arm,2008,1.46541
arm,2009,2.17187
arm,2010,3.8248
arm,2011,4.16748
arm,2012,4.45957
arm,2013,4.53286
arm,2014,5.32209
arm,2015,5.85719
arm,2016,7.54302
arm,2017,9.69722
aus,1972,7.61964
aus,1973,7.30594
aus,1974,6.4737
aus,1975,5.84471
aus,1976,4.90614
aus,1977,6.2313
aus,1978,6.44886
aus,1979,7.03475
aus,1980,7.08063
aus,1981,7.15937
aus,1982,7.04294
aus,1983,6.97329
aus,1984,7.62622
aus,1985,9.09076
aus,1986,10.37311
aus,1987,10.82297
aus,1988,9.7456
aus,1989,9.14087
aus,1990,8.34079
aus,1991,6.43565
aus,1992,5.55711
aus,1993,4.88014
aus,1994,5.6626
aus,1995,6.48421
aus,1996,7.13912
aus,1997,7.25416
aus,1998,6.80762
aus,1999,7.75163
aus,2000,6.56836
aus,2001,3.44266
aus,2002,2.85766
aus,2003,2.46279
aus,2004,1.94254
aus,2005,1.819
aus,2006,1.68795
aus,2007,1.54026
aus,2008,1.46518
aus,2009,1.43934
aus,2010,2.01489
aus,2011,2.73014
aus,2012,3.32037
aus,2013,3.30057
aus,2014,3.26319
aus,2015,3.52237
aus,2016,3.61251
aus,2017,3.55996
aut,1972,2.34582
aut,1973,2.11193
aut,1974,2.06494
aut,1975,2.32215
aut,1976,3.31172
aut,1977,3.81511
aut,1978,4.37334
aut,1979,4.69092
aut,1980,4.96947
aut,1981,5.27823
aut,1982,5.98341
aut,1983,5.90658
aut,1984,6.95491
aut,1985,7.52511
aut,1986,7.78529
aut,1987,8.54679
aut,1988,8.69025
aut,1989,9.23702
aut,1990,9.59118
aut,1991,10.00738
aut,1992,10.01424
aut,1993,9.73399
aut,1994,9.29221
aut,1995,7.97717
aut,1996,7.95888
aut,1997,7.59279
aut,1998,7.46286
aut,1999,7.21337
aut,2000,7.50797
aut,2001,7.28218
aut,2002,7.27257
aut,2003,6.81446
aut,2004,6.19958
aut,2005,6.92705
aut,2006,6.72
aut,2007,6.72939
aut,2008,6.14073
aut,2009,6.29972
aut,2010,6.05789
aut,2011,5.94326
aut,2012,5.77754
aut,2013,5.44625
aut,2014,5.004
aut,2015,4.95228
aut,2016,4.54891
aut,2017,4.08689
aze,1994,0.15608
aze,1995,0.27679
aze,1996,2.27628
aze,1997,2.77951
aze,1998,1.90149
aze,1999,2.28073
aze,2008,0.4402
aze,2009,0.95784
aze,2010,0.44565
aze,2011,1.76228
aze,2012,0.74269
aze,2013,1.269
aze,2014,0.64557
aze,2015,1.56824
aze,2016,3.73695
aze,2017,2.51811
bdi,1991,8.66775
bdi,1992,8.29523
bdi,1993,7.06534
bdi,1994,7.28592
bdi,1995,7.46595
bdi,1996,9.86208
bdi,1997,9.69349
bdi,1998,9.00064
bdi,1999,11.55919
bdi,2010,5.23862
bdi,2011,5.79334
bdi,2012,5.54056
bdi,2013,4.63068
bel,1995,17.95321
bel,1996,17.06679
bel,1997,15.93502
bel,1998,15.42833
bel,1999,14.52906
bel,2000,14.41595
bel,2001,13.82593
bel,2002,12.87829
bel,2003,11.40652
bel,2004,10.64459
bel,2005,9.14355
bel,2006,9.31762
bel,2007,8.92577
bel,2008,8.43302
bel,2009,7.66469
bel,2010,7.27548
bel,2011,7.07983
bel,2012,6.94733
bel,2013,6.5655
bel,2014,6.45476
bel,2015,6.27588
bel,2016,5.87443
bel,2017,5.24849
bfa,2002,6.67166
bfa,2003,6.56075
bfa,2004,6.53586
bfa,2005,5.49443
bfa,2006,4.49811
bfa,2007,2.90481
bfa,2008,2.79813
bfa,2009,3.38045
bfa,2010,4.0294
bfa,2011,4.50321
bfa,2012,5.04493
bfa,2013,4.24377
bfa,2014,4.96386
bfa,2015,4.73915
bfa,2016,5.83713
bfa,2017,4.58981
bgd,2001,18.12054
bgd,2002,19.85536
bgd,2003,20.57545
bgd,2004,19.50784
bgd,2005,19.43208
bgd,2006,20.82855
bgd,2007,21.73443
bgd,2008,22.90421
bgd,2009,21.77129
bgd,2010,20.04805
bgd,2011,17.29037
bgd,2012,19.95339
bgd,2013,21.19974
bgd,2014,21.92756
bgd,2015,22.68989
bgd,2016,20.25402
bgr,1990,9.82257
bgr,1991,16.39746
bgr,1992,17.47803
bgr,1993,22.34204
bgr,1994,33.25586
bgr,2005,4.908
bgr,2006,4.32303
bgr,2007,3.37192
bgr,2008,2.57744
bgr,2009,2.07987
bgr,2010,2.11783
bgr,2011,2.27724
bgr,2012,2.47832
bgr,2013,2.13133
bgr,2014,2.18503
bgr,2015,2.58074
bgr,2016,2.65449
bgr,2017,2.3755
bhr,1990,4.22402
bhr,1991,1.95531
bhr,1992,2.68528
bhr,1993,3.10972
bhr,1994,3.25388
bhr,1995,3.986
bhr,1996,3.9012
bhr,1997,3.96021
bhr,1998,4.32908
bhr,1999,5.07258
bhr,2000,6.97434
bhr,2001,7.3358
bhr,2002,4.29323
bhr,2003,5.68535
bhr,2004,4.79273
bhr,2005,5.97662
bhr,2006,6.4998
bhr,2007,5.03931
bhr,2008,3.4194
bhr,2009,2.9364
bhr,2010,4.81149
bhr,2011,4.70287
bhr,2013,6.72842
bhs,1990,11.75128
bhs,1991,13.418
bhs,1992,12.66453
bhs,1993,14.30427
bhs,1994,14.16294
bhs,1995,13.63331
bhs,1996,13.26453
bhs,1997,13.2055
bhs,1998,13.53813
bhs,1999,12.04485
bhs,2000,11.1272
bhs,2001,11.61476
bhs,2002,10.65352
bhs,2003,10.71071
bhs,2004,11.1565
bhs,2005,10.85309
bhs,2006,9.83032
bhs,2007,10.09145
bhs,2008,10.64132
bhs,2009,10.84729
bhs,2010,12.77713
bhs,2011,13.79928
bhs,2012,11.98114
bhs,2013,12.65597
bhs,2014,13.2424
bhs,2015,13.61261
bhs,2016,13.74571
bhs,2017,11.48185
bih,2005,1.62447
bih,2006,1.53219
bih,2007,1.28684
bih,2008,1.1861
bih,2009,1.13976
bih,2010,1.08875
bih,2011,1.43786
bih,2012,1.76889
bih,2013,1.79368
bih,2014,1.96149
bih,2015,2.2706
bih,2016,2.19019
bih,2017,1.93999
blr,1992,2.06186
blr,1993,2.14964
