geo,time,sh_sta_stnt_ma_zs
afg,2004,60
afg,2013,41.3
afg,2018,38.3
afg,2022,45.7
ago,1996,62.9
ago,2007,32.4
ago,2015,41
alb,2005,29.1
alb,2009,22.7
alb,2017,11.6
arg,2005,7.1
arg,2018,9.7
arm,1998,14.5
arm,2000,17.7
arm,2005,18.3
arm,2010,21.7
arm,2016,10.9
aus,2007,2
aze,2000,24.4
aze,2006,28.3
aze,2011,17.1
aze,2013,18
bdi,1987,54.8
bdi,2000,66.8
bdi,2010,61.8
bdi,2016,59.4
bdi,2018,60.2
bdi,2019,57.5
bdi,2020,54.3
bdi,2022,59.7
bel,2014,0
ben,1996,37.3
ben,2001,38
ben,2008,40.8
ben,2014,35.8
ben,2018,35.1
ben,2021,37
bfa,1993,40.9
bfa,1999,43.8
bfa,2009,37.9
bfa,2010,36.8
bfa,2011,38.2
bfa,2012,36.7
bfa,2013,33.8
bfa,2014,31.8
bfa,2015,33.5
bfa,2016,30.3
bfa,2017,22.7
bfa,2018,27.7
bfa,2019,26.1
bfa,2020,19.4
bfa,2021,25.4
bgd,1997,60.1
bgd,2000,51.4
bgd,2004,51.2
bgd,2005,47.1
bgd,2007,43.7
bgd,2011,40.6
bgd,2012,40.5
bgd,2013,42.4
bgd,2014,36.8
bgd,2018,30.8
bgd,2019,28
bgd,2022,23.9
bgr,2004,5.3
bgr,2007,9.1
bgr,2014,9.5
bih,2000,13.2
bih,2006,12.8
bih,2012,8.9
blr,2005,4.7
blz,2006,24
blz,2011,18.6
blz,2015,16.2
bol,1989,45.7
bol,1994,36.6
bol,1998,34.4
bol,2003,33.4
bol,2008,28
bol,2012,20.1
bol,2016,16.1
bra,1989,21.1
bra,1996,14.8
bra,2007,8
bra,2019,9
brb,2012,8.9
brn,2009,22.8
btn,1999,52.1
btn,2008,37.8
btn,2010,33.4
bwa,2000,31.6
bwa,2007,31.6
caf,1994,42.6
caf,2000,46.4
caf,2006,46.6
caf,2010,43.6
caf,2012,41.8
caf,2014,41.2
caf,2018,41.4
caf,2019,42.8
chl,2008,2.2
chl,2013,2
chl,2014,2.1
chn,1990,31.4
chn,1992,38.8
chn,1995,32
chn,1998,20.2
chn,2000,18.5
chn,2002,22.7
chn,2005,12.6
chn,2010,9.9
chn,2013,8.8
civ,1986,22.7
civ,1994,33.7
civ,1998,31.7
civ,2007,40.1
civ,2012,32.7
civ,2016,23.3
civ,2021,24.3
cmr,1991,34
cmr,1998,40.3
cmr,2004,36.9
cmr,2006,40.7
cmr,2011,35.1
cmr,2014,33.5
cmr,2018,31.2
cod,2001,47.5
cod,2007,48.3
cod,2010,47.3
cod,2013,45.1
cod,2017,45.6
cog,2005,33.3
cog,2011,25.1
cog,2014,22.4
col,1986,28.8
col,1995,22
col,2000,19.1
col,2005,17.5
col,2010,13.7
col,2016,14.4
com,1996,41.5
com,2000,46.5
com,2012,33.1
cri,2008,4.8
cri,2018,10.2
cub,2019,7.7
cze,2001,3.2
deu,2004,1.1
deu,2016,0.4
dji,1996,32.5
dji,2011,32.6
dji,2013,28
dji,2019,21.6
dom,1986,26.8
dom,1991,23.9
dom,1996,15.7
dom,2000,8.9
dom,2002,13.2
dom,2006,9.9
dom,2007,10.9
