global,time,en_atm_noxe_kt_ce
world,1970,2202797.8981
world,1971,2065702.93704
world,1972,2220995.22539
world,1973,2265472.40013
world,1974,2215856.85342
world,1975,2306421.33261
world,1976,2388852.13695
world,1977,2500861.93655
world,1978,2527994.65595
world,1979,2685624.98774
world,1980,2707871.06787
world,1981,2612070.20827
world,1982,2781256.60743
world,1983,2756521.51922
world,1984,2670803.62233
world,1985,2672022.14413
world,1986,2722859.06086
world,1987,2904171.49791
world,1988,2765735.75918
world,1989,2815144.20851
world,1990,2332460
world,1991,2323020
world,1992,2316620
world,1993,2302630
world,1994,2394530
world,1995,2449660
world,1996,2492480
world,1997,2463240
world,1998,2475630
world,1999,2477050
world,2000,2485920
world,2001,2498020
world,2002,2536790
world,2003,2542580
world,2004,2613880
world,2005,2625710
world,2006,2658770
world,2007,2710520
world,2008,2696680
world,2009,2694510
world,2010,2741480
world,2011,2834570
world,2012,2847630
world,2013,2838990
world,2014,2881840
world,2015,2904970
world,2016,2934600
world,2017,2986520
world,2018,2984340
