geo,time,se_xpd_totl_gd_zs
abw,1998,4.76391
abw,1999,4.39554
abw,2000,4.71468
abw,2001,4.73986
abw,2002,4.92365
abw,2004,4.40848
abw,2005,4.68132
abw,2007,4.81504
abw,2008,4.99923
abw,2009,5.92479
abw,2010,6.92927
abw,2011,6.11913
abw,2012,6.54906
abw,2013,6.50538
abw,2014,5.90521
abw,2015,5.97571
abw,2016,5.52415
afg,1971,1.16036
afg,1972,1.11718
afg,1973,1.42788
afg,1975,1.30332
afg,1979,1.73981
afg,1980,1.84093
afg,1981,1.90917
afg,1982,1.72998
afg,2010,3.47945
afg,2011,3.46201
afg,2012,2.6042
afg,2013,3.45446
afg,2014,3.69522
afg,2015,3.2558
afg,2016,4.22836
afg,2017,4.05887
ago,1985,4.09022
ago,1986,5.72269
ago,1987,5.05851
ago,1998,2.56712
ago,2000,2.60753
ago,2005,2.12011
ago,2006,2.28146
ago,2010,3.42132
alb,1994,3.44698
alb,1995,3.81464
alb,1996,3.08351
alb,1997,3.37947
alb,1998,3.53698
alb,1999,3.59293
alb,2000,3.43017
alb,2001,3.4587
alb,2002,3.1178
alb,2003,3.13824
alb,2004,3.22752
alb,2005,3.28155
alb,2006,3.19146
alb,2007,3.27593
alb,2013,3.5393
alb,2015,3.43797
alb,2016,3.96209
alb,2017,3.61172
and,1997,3.71328
and,2002,1.65971
and,2004,1.54412
and,2005,1.64497
and,2006,2.2449
and,2007,2.10469
and,2008,2.87393
and,2009,3.14292
and,2010,2.97663
and,2011,2.98706
and,2013,2.50616
and,2014,3.07421
and,2015,3.28035
and,2016,3.23707
and,2017,3.21709
and,2018,3.24672
and,2019,3.15162
arg,1970,1.45809
arg,1972,1.9362
arg,1973,1.78052
arg,1974,1.92352
arg,1975,1.8436
arg,1976,1.16564
arg,1977,1.71984
arg,1978,1.93555
arg,1979,2.40028
arg,1980,2.60715
arg,1982,1.59787
arg,1983,1.6175
arg,1984,2.56972
arg,1985,1.36186
arg,1986,1.26155
arg,1987,1.2823
arg,1989,1.04612
arg,1990,1.06738
arg,1996,3.73198
arg,1998,4.03987
arg,1999,4.52168
arg,2000,4.58031
arg,2001,4.83374
arg,2002,4.01734
arg,2003,3.53505
arg,2004,3.48652
arg,2005,3.86001
arg,2006,4.12821
arg,2007,4.4626
arg,2008,4.84441
arg,2009,5.53105
arg,2010,5.01971
arg,2011,5.29063
arg,2012,5.34583
arg,2013,5.43661
arg,2014,5.36144
arg,2015,5.77611
arg,2016,5.54549
arg,2017,5.46223
arm,1996,1.84843
arm,1999,2.23519
arm,2000,2.77273
arm,2001,2.46944
arm,2002,2.13504
arm,2003,2.14504
arm,2004,2.48673
arm,2005,2.71203
arm,2006,2.71577
arm,2007,3.01894
arm,2008,3.17273
arm,2009,3.84079
arm,2010,3.249
arm,2011,3.14385
arm,2012,2.77248
arm,2013,2.65018
arm,2014,2.24724
arm,2015,2.80591
arm,2016,2.75812
arm,2017,2.70759
atg,1999,2.75397
atg,2002,3.39428
atg,2009,2.51724
aus,1978,6.00891
aus,1979,5.89693
aus,1980,5.65408
aus,1982,5.47975
aus,1983,5.37201
aus,1985,5.40543
aus,1986,5.28063
aus,1987,5.06994
aus,1988,4.91831
aus,1989,4.74914
aus,1990,4.67634
aus,1991,4.79479
aus,1992,4.69241
aus,1993,5.51652
aus,1994,5.25474
aus,1995,5.14391
aus,1996,5.24097
aus,2000,4.89147
aus,2005,4.9103
aus,2006,4.7502
aus,2007,4.66089
aus,2008,4.63776
aus,2009,5.08582
aus,2010,5.55006
aus,2011,5.07451
aus,2012,4.869
aus,2013,5.22974
aus,2014,5.16477
aus,2015,5.31127
aus,2016,5.27678
aus,2017,5.12425
aut,1970,4.14716
aut,1971,4.28235
aut,1972,4.45015
aut,1973,4.51547
aut,1974,4.65594
aut,1975,5.12796
aut,1976,5.23766
aut,1977,4.95401
aut,1978,5.15979
aut,1979,5.03816
aut,1980,5.00897
aut,1981,5.36781
aut,1982,5.36299
aut,1983,5.30378
aut,1984,5.29447
aut,1985,5.29721
aut,1986,5.49996
aut,1987,5.37611
aut,1988,5.19073
aut,1989,5.01817
aut,1990,4.95725
aut,1991,5.10322
aut,1992,5.29698
aut,1993,5.252
aut,1995,5.42835
aut,1996,5.2599
aut,1998,6.10374
aut,1999,6.11234
aut,2000,5.58881
aut,2001,5.57548
aut,2002,5.52213
aut,2003,5.36183
aut,2004,5.30243
aut,2005,5.24937
aut,2006,5.22652
aut,2007,5.1469
aut,2008,5.26396
aut,2009,5.73025
aut,2010,5.70048
aut,2011,5.59227
aut,2012,5.4804
aut,2013,5.54711
aut,2014,5.44762
aut,2015,5.45658
aut,2016,5.48435
aut,2017,5.35804
aze,1992,6.05797
aze,1995,3.33737
aze,1996,3.51257
aze,1998,3.38002
aze,1999,4.21214
aze,2000,3.85399
aze,2001,3.50342
aze,2002,3.15446
aze,2003,3.28615
aze,2004,3.4477
aze,2005,2.97462
aze,2006,2.55552
aze,2007,2.54928
aze,2008,2.44093
aze,2009,3.22431
aze,2010,2.78062
aze,2011,2.43564
aze,2012,2.06763
aze,2013,2.44213
aze,2014,2.63304
aze,2015,2.95168
aze,2016,2.90341
aze,2017,2.47382
aze,2018,2.45543
bdi,1979,2.80336
bdi,1981,3.34676
bdi,1990,3.35933
bdi,1991,3.49366
bdi,1992,3.80585
bdi,1994,4.56527
bdi,1995,5.01511
bdi,1996,4.08324
bdi,1999,3.41745
bdi,2000,2.64548
bdi,2001,2.90391
bdi,2002,3.00493
bdi,2004,3.74496
bdi,2005,3.63216
bdi,2008,5.1929
bdi,2009,6.17195
bdi,2010,6.77525
bdi,2011,6.31925
bdi,2012,6.16786
bdi,2013,5.99536
bdi,2014,6.78452
bdi,2015,6.37054
bdi,2016,4.692
bdi,2017,4.76202
bdi,2018,5.07865
bel,1975,5.76282
bel,1976,5.73104
bel,1977,5.98883
bel,1978,5.43634
bel,1979,5.38035
bel,1980,5.31064
bel,1981,5.43532
bel,1982,5.31673
bel,1986,4.85229
bel,1987,4.57713
bel,1988,4.30072
bel,1993,5.37231
bel,1994,5.41104
bel,1995,2.98866
bel,1996,3.04948
bel,2005,5.79586
bel,2008,6.33294
bel,2009,6.4581
bel,2010,6.44259
bel,2011,6.43199
bel,2013,6.63053
bel,2014,6.59047
bel,2015,6.45157
bel,2016,6.45954
bel,2017,6.41228
ben,1998,2.74789
ben,1999,1.92194
ben,2000,2.11366
ben,2001,2.3651
ben,2002,2.15949
ben,2003,2.28316
ben,2004,2.5669
ben,2005,2.65668
ben,2006,2.5634
ben,2007,2.36331
ben,2008,2.77728
ben,2009,3.08927
ben,2010,3.67997
ben,2012,3.56202
ben,2013,3.32751
ben,2014,3.16179
ben,2015,3.17298
ben,2016,2.8991
ben,2017,3.53559
ben,2018,2.93397
bfa,1978,1.67983
bfa,1980,1.9618
bfa,1983,1.75448
bfa,1985,1.76396
bfa,1988,1.42608
