geo,time,ne_con_prvt_kn
ago,2002,276187000000
ago,2003,298889571400
ago,2004,310725598400
ago,2005,326355096000
ago,2006,347274457700
ago,2007,368041470300
ago,2008,398110458400
ago,2009,439187310200
ago,2010,456379013300
ago,2011,503150672200
ago,2012,552679283000
ago,2013,598367295100
ago,2014,674202907500
ago,2015,694151163300
ago,2016,735064405000
ago,2017,756381272800
ago,2018,730565901900
ago,2019,685474483400
ago,2020,658329693900
ago,2021,674787936200
alb,1996,618572455100
alb,1997,507412483200
alb,1998,480106895500
alb,1999,494193662800
alb,2000,524824883400
alb,2001,545771243800
alb,2002,584916995500
alb,2003,645707312000
alb,2004,669514731200
alb,2005,712321988500
alb,2006,761645044900
alb,2007,858651793700
alb,2008,945620601800
alb,2009,952369948000
alb,2010,968278490000
alb,2011,985429130000
alb,2012,986700167300
alb,2013,1004821731500
alb,2014,1033096845500
alb,2015,1045315557600
alb,2016,1067547538200
alb,2017,1093632489700
alb,2018,1128798654500
alb,2019,1153914328100
alb,2020,1113186623700
alb,2021,1158482299200
are,2001,478697950800
are,2002,508398557100
are,2003,518544233600
are,2004,577771774200
are,2005,593188194300
are,2006,683622845000
are,2007,767716447900
are,2008,859164858500
are,2009,618491802300
are,2010,449542508555.59399
are,2011,499018827100.31299
are,2012,445070331273.02802
are,2013,468253112987.70203
are,2014,525942791856.25098
are,2015,425604228116.71198
are,2016,432554307410
are,2017,473118801475.38702
are,2018,501973203988.67999
are,2019,551949500000
are,2020,483057200000
arg,1993,277751969700
arg,1994,294607107800
arg,1995,281710149700
arg,1996,297301572400
arg,1997,323989040200
arg,1998,335247911300
arg,1999,328549095300
arg,2000,326381812400
arg,2001,307643090600
arg,2002,263483404200
arg,2003,285007283000
arg,2004,312081885800
arg,2005,335152783800
arg,2006,371872908500
arg,2007,406601537800
arg,2008,436058391800
arg,2009,412521477400
arg,2010,458675166100
arg,2011,501647153400
arg,2012,507216850400
arg,2013,525674532300
arg,2014,502764436400
arg,2015,521146490500
arg,2016,517080138800
arg,2017,538582624700
arg,2018,526487534300
arg,2019,488093959100
arg,2020,420894795700
arg,2021,463658403800
arm,1994,1229169865700
arm,1995,1347807475600
arm,1996,1402955066000
arm,1997,1515348352000
arm,1998,1588057914300
arm,1999,1599911828500
arm,2000,1731213812000
arm,2001,1855823067900
arm,2002,2009480094600
arm,2003,2155383979700
arm,2004,2347221971900
arm,2005,2560569706000
arm,2006,2772890353200
arm,2007,3139560326100
arm,2008,3307923780900
arm,2009,3160171745600
arm,2010,3280259093000
arm,2011,3358984232700
arm,2012,3664029000000
arm,2013,3726482953500
arm,2014,3785748293300
arm,2015,3500194102600
arm,2016,3429269219300
arm,2017,3908348506700
arm,2018,4096156855200
arm,2019,4567661697100
arm,2020,3933432979600
arm,2021,4065919983900
asm,2002,494000000
asm,2003,506000000
asm,2004,528000000
asm,2005,521000000
asm,2006,512000000
asm,2007,503000000
asm,2008,489000000
asm,2009,474000000
asm,2010,454000000
asm,2011,431000000
asm,2012,420000000
asm,2013,440000000
asm,2014,451000000
asm,2015,458000000
asm,2016,463000000
asm,2017,460000000
asm,2018,465000000
asm,2019,481000000
asm,2020,485000000
aus,1960,143001000000
aus,1961,146167000000
aus,1962,149833000000
aus,1963,158002000000
aus,1964,169133000000
aus,1965,177589000000
aus,1966,182797000000
aus,1967,192148000000
aus,1968,201689000000
aus,1969,212418000000
aus,1970,225423000000
aus,1971,234181000000
aus,1972,242614000000
aus,1973,254009000000
aus,1974,269984000000
aus,1975,283056000000
aus,1976,285232000000
aus,1977,300368000000
aus,1978,306255000000
aus,1979,310849000000
aus,1980,316415000000
aus,1981,326715000000
aus,1982,344909000000
aus,1983,353204000000
aus,1984,357058000000
aus,1985,360317000000
aus,1986,378817000000
aus,1987,386400000000
aus,1988,398621000000
aus,1989,417000000000
aus,1990,434967000000
aus,1991,439229000000
aus,1992,449480000000
aus,1993,457905000000
aus,1994,467730000000
aus,1995,488431000000
aus,1996,504826000000
aus,1997,519245000000
aus,1998,545366000000
aus,1999,575479000000
aus,2000,599899000000
aus,2001,620054000000
aus,2002,638948000000
aus,2003,666148000000
aus,2004,701488000000
aus,2005,732926000000
aus,2006,756844000000
aus,2007,796652000000
aus,2008,834750000000
aus,2009,836926000000
aus,2010,865317000000
aus,2011,900449000000
aus,2012,926180000000
aus,2013,943589000000
aus,2014,964257000000
aus,2015,988716000000
aus,2016,1013980000000
aus,2017,1038455000000
aus,2018,1066445000000
aus,2019,1082563000000
aus,2020,1048690000000
aus,2021,1058202000000
aut,1970,66536294000
aut,1971,71006321000
aut,1972,75323619000
aut,1973,79369876000
aut,1974,81744713000
aut,1975,84399195000
aut,1976,88234642000
