global,time,fm_ast_prvt_gd_zs
world,1960,170.01583
world,1961,162.03008
world,1962,35.84055
world,1963,38.11781
world,1964,39.12939
world,1965,40.5949
world,1966,41.03438
world,1967,42.08513
world,1968,42.74235
world,1969,43.4873
world,1970,45.77053
world,1971,47.9862
world,1972,52.78048
world,1973,55.10195
world,1974,52.86116
world,1975,51.89188
world,1976,52.38671
world,1977,53.82181
world,1978,57.00111
world,1979,55.19119
world,1980,53.33016
world,1981,53.54682
world,1982,54.47588
world,1983,56.96967
world,1984,59.12334
world,1985,60.88913
world,1986,70.5922
world,1987,76.37192
world,1988,81.75721
world,1989,83.82258
world,1990,79.8545
world,1991,80.21613
world,1992,80.45619
world,1993,82.6757
world,1994,82.43994
world,1995,82.43256
world,1996,79.1613
world,1997,79.78061
world,1998,78.83358
world,1999,81.05475
world,2000,81.30822
world,2001,72.72638
world,2002,72.94634
world,2003,74.56863
world,2004,75.57934
world,2005,77.10078
world,2006,79.37428
world,2007,82.17874
world,2008,83.60194
world,2009,84.56948
world,2010,82.38436
world,2011,81.45222
world,2012,81.50629
world,2013,82.18387
world,2014,83.33526
world,2015,85.90187
world,2016,87.00189
world,2017,86.11031
world,2018,88.19379
world,2019,89.78361
world,2020,99.25203
