global,time,se_prm_enrr_ma
world,1970,98.54973
world,1971,98.74736
world,1972,99.86552
world,1973,103.0416
world,1974,104.40197
world,1975,104.24082
world,1976,103.95946
world,1977,103.74269
world,1978,102.45582
world,1979,103.04605
world,1980,104.35013
world,1981,105.26677
world,1982,105.87969
world,1983,106.17118
world,1984,106.31642
world,1985,106.45035
world,1986,107.20521
world,1987,106.05168
world,1988,106.4869
world,1989,106.55679
world,1990,105.89276
world,1991,104.72677
world,1992,103.7121
world,1993,103.31978
world,1994,103.00149
world,1995,102.96321
world,1996,102.04673
world,1997,101.21077
world,1998,101.7664
world,1999,101.76694
world,2000,102.59177
world,2001,103.11731
world,2002,103.3276
world,2003,103.84342
world,2004,104.3055
world,2005,104.49415
world,2006,104.36455
world,2007,105.00781
world,2008,105.05241
world,2009,104.68574
world,2010,103.96328
world,2011,104.25708
world,2012,104.65221
world,2013,104.0596
world,2014,102.80882
world,2015,102.37938
world,2016,103.43589
world,2017,103.40552
world,2018,102.10292
world,2019,102.23808
world,2020,102.72287
