geo,time,gc_xpn_intp_cn
afg,2006,169353007
afg,2007,106722854
afg,2008,103089253
afg,2009,108627500.96
afg,2010,86638122.74
afg,2011,91977758
afg,2012,118236274.15
afg,2013,268060864
afg,2014,351774772
afg,2015,676278879
afg,2016,580470975
afg,2017,676617776
ago,1999,17405636.4
ago,2000,174545324.6
ago,2001,2096511046
ago,2002,4919234320
ago,2003,6934539227
ago,2004,17750870341
ago,2005,18069136424
ago,2006,10664391829
ago,2007,23459740342
ago,2008,135479000000
ago,2009,104791000000
ago,2010,115831000000
ago,2011,81456387937
ago,2012,102804000000
ago,2013,99104966331
ago,2014,147161321043.54999
ago,2015,248469366541.23999
ago,2016,356489902694.13
ago,2017,548315173180.94
ago,2018,1103126480917.23999
ago,2019,1637874734171.1001
alb,1995,5282000000
alb,1996,8570621000
alb,1997,18779195000
alb,1998,35892130000
alb,2002,24762410000
alb,2003,29823720000
alb,2004,28422970000
alb,2011,40907370000
alb,2012,41277240000
alb,2013,43133460000
alb,2014,39742070000
alb,2015,38526250000
alb,2016,36197910000
alb,2017,31768690000
alb,2018,36513390000
alb,2019,35048620000
alb,2020,34217800000
alb,2021,35822300000
alb,2022,39624019000
alb,2023,47133080000
are,2019,1714656.14
are,2020,73363868.48
are,2021,263960386.01
are,2022,872890535.02
are,2023,1643306602.5
arg,1990,615900000
arg,1991,2240200000
arg,1992,2621800000
arg,1993,2569900000
arg,1994,3192000000
arg,1995,4083100000
arg,1996,4628100000
arg,1997,5731600000
arg,1998,6640400000
arg,1999,8200600000
arg,2000,9617700000
arg,2001,10170000000
arg,2002,21087600000
arg,2003,22377352017.27
arg,2004,21543400000
arg,2014,87281800000
arg,2015,109811400000
arg,2016,245356900000
arg,2017,243838800000
arg,2018,430527800000
arg,2019,750462180135.6499
arg,2020,527523163124.03998
arg,2021,690380049003.28003
arg,2022,1404971246192.69995
arm,2004,9834977870
arm,2005,9933181440
arm,2006,9024646500
arm,2007,9956767600
arm,2008,11053766570
arm,2009,16281591800
arm,2010,30436021340
arm,2011,35532215290
arm,2012,40666765520
arm,2013,46745897050
arm,2014,61644111250
arm,2015,74084107100
arm,2016,98276372290
arm,2017,122110301310
arm,2018,139014899040
arm,2019,157552704410
arm,2020,164767360320
arm,2021,180836184990
arm,2022,198312895710
arm,2023,253412728390
aus,1972,613000000
aus,1973,672000000
aus,1974,709000000
