geo,time,dc_dac_korl_cd
afg,1989,9999.99978
afg,1991,109999.9994
afg,1992,200000.00298
afg,1993,140000.0006
afg,1998,59999.99866
afg,2002,4780000.20981
afg,2003,21120000.83923
afg,2004,21540000.91553
afg,2005,8890000.34332
afg,2006,2150000.09537
afg,2007,2579999.92371
afg,2008,4019999.98093
afg,2009,24090000.15259
afg,2010,93680000.30518
afg,2011,27989999.77112
afg,2012,78500000
afg,2013,122409042.3584
afg,2014,64355949.40186
afg,2015,54599075.31738
afg,2016,51358711.24268
afg,2017,32228321.07544
afg,2018,32483421.32568
afg,2019,26071907.04346
afg,2020,17467115.40222
afg,2021,28431531.90613
afg,2022,25812194.82422
afg,2023,15887352.94342
ago,1991,9999.99978
ago,1992,170000.00179
ago,1993,129999.99523
ago,1994,119999.99732
ago,1995,140000.0006
ago,1996,150000.00596
ago,1997,90000.00358
ago,1998,19999.99955
ago,2000,8609999.65668
ago,2001,1039999.96185
ago,2005,19999.99955
ago,2006,10090000.15259
ago,2007,17409999.84741
ago,2008,25920000.07629
ago,2009,28340000.15259
ago,2010,18829999.92371
ago,2011,16750000
ago,2012,7980000.01907
ago,2013,10278367.99622
ago,2014,5377224.92218
ago,2015,13137530.32684
ago,2016,10939478.87421
ago,2017,13791554.45099
ago,2018,7563282.96661
ago,2019,-6012154.10233
ago,2020,820475.99554
ago,2021,5989862.91885
ago,2022,-368344.9924
ago,2023,1363651.99089
alb,1991,100000.00149
alb,1992,79999.99821
alb,1993,70000.0003
alb,1994,50000.00075
alb,1995,59999.99866
alb,1996,109999.9994
alb,1997,50000.00075
alb,1998,119999.99732
alb,1999,9999.99978
alb,2000,9999.99978
alb,2001,9999.99978
alb,2002,19999.99955
alb,2003,90000.00358
alb,2004,7199999.80927
alb,2005,100000.00149
alb,2006,16940000.53406
alb,2007,4480000.01907
alb,2008,289999.99166
alb,2010,9999.99978
alb,2011,70000.0003
alb,2012,50000.00075
alb,2014,86993.0014
alb,2015,-1281000.97179
alb,2016,-1178154.94537
alb,2017,-1265411.01933
alb,2018,-1142655.96867
alb,2019,-860823.98891
alb,2020,-704190.01579
alb,2021,-1102859.02023
alb,2022,-1047198.05717
alb,2023,-500488.99651
are,1991,9999.99978
are,1993,9999.99978
are,1994,19999.99955
are,1995,9999.99978
arg,1989,19999.99955
arg,1992,119999.99732
arg,1993,50000.00075
arg,1996,9999.99978
arg,1997,19999.99955
arg,1998,9999.99978
arg,1999,9999.99978
arg,2001,9999.99978
arg,2002,39999.99911
arg,2003,90000.00358
arg,2004,90000.00358
arg,2005,180000.00715
arg,2006,189999.99762
arg,2007,39999.99911
arg,2008,180000.00715
arg,2009,100000.00149
arg,2010,170000.00179
arg,2011,109999.9994
arg,2012,29999.99933
arg,2014,20882.99952
arg,2015,268739.99834
arg,2016,167393.99731
arg,2017,283641.994
arg,2018,56131.00156
arg,2019,358884.00674
arg,2020,623713.01651
arg,2021,161320.99926
arg,2022,396907.98521
arg,2023,980898.97633
arm,1994,19999.99955
arm,1995,19999.99955
arm,1996,9999.99978
arm,1997,70000.0003
arm,1998,19999.99955
arm,1999,9999.99978
arm,2000,29999.99933
arm,2001,19999.99955
arm,2002,19999.99955
arm,2003,109999.9994
arm,2004,90000.00358
arm,2005,59999.99866
arm,2006,129999.99523
arm,2007,50000.00075
arm,2008,159999.99642
arm,2009,39999.99911
arm,2010,860000.01431
arm,2011,1490000.00954
arm,2012,129999.99523
arm,2014,34657.99987
arm,2015,155009.00149
arm,2016,148976.99654
arm,2017,101713.00173
arm,2019,248201.99609
arm,2020,499267.01188
arm,2021,668837.01086
arm,2022,746456.98071
arm,2023,1421133.99506
atg,1991,29999.99933
atg,1992,19999.99955
atg,1993,19999.99955
atg,1994,19999.99955
atg,1995,50000.00075
atg,1996,19999.99955
atg,1997,19999.99955
atg,1998,9999.99978
atg,1999,19999.99955
atg,2001,9999.99978
atg,2002,100000.00149
atg,2003,9999.99978
atg,2004,39999.99911
atg,2005,100000.00149
atg,2006,209999.99344
atg,2007,70000.0003
atg,2010,9999.99978
atg,2011,19999.99955
atg,2012,270000.01073
atg,2013,121867.99943
atg,2014,130090.99662
atg,2015,190815.00173
atg,2016,76600.00026
atg,2017,50000.00075
atg,2018,92643.99856
aze,1994,50000.00075
aze,1996,9999.99978
aze,1997,19999.99955
aze,1998,9999.99978
aze,1999,59999.99866
aze,2000,59999.99866
aze,2001,19999.99955
aze,2002,79999.99821
aze,2003,29999.99933
aze,2004,70000.0003
aze,2005,129999.99523
aze,2006,300000.01192
aze,2007,779999.97139
aze,2008,3869999.88556
aze,2009,1669999.95708
aze,2010,4070000.17166
aze,2011,11289999.96185
aze,2012,6199999.80927
aze,2013,10321889.87732
aze,2014,16672504.42505
aze,2015,6709153.17535
aze,2016,12356588.36365
aze,2017,14673005.10406
aze,2018,21787420.27283
aze,2019,20633619.30847
aze,2020,8853218.07861
aze,2021,4840269.08875
aze,2022,4537137.98523
aze,2023,5893130.77927
bdi,1992,200000.00298
bdi,1993,59999.99866
bdi,1994,59999.99866
bdi,1995,70000.0003
bdi,1996,9999.99978
bdi,2000,29999.99933
bdi,2001,29999.99933
bdi,2002,29999.99933
bdi,2005,170000.00179
bdi,2006,200000.00298
bdi,2007,119999.99732
bdi,2010,39999.99911
bdi,2011,209999.99344
bdi,2012,349999.99404
bdi,2013,120155.99757
bdi,2014,577251.01709
bdi,2015,888493.00146
bdi,2016,569891.98923
bdi,2017,189201.99573
bdi,2018,546952.0092
bdi,2019,627339.00547
bdi,2020,903927.98185
bdi,2021,344832.00312
bdi,2022,1001845.00217
bdi,2023,3582736.96899
ben,1991,79999.99821
ben,1992,289999.99166
ben,1993,119999.99732
ben,1994,389999.98569
ben,1995,119999.99732
ben,1996,79999.99821
ben,1997,59999.99866
ben,1998,29999.99933
ben,2000,9999.99978
ben,2001,29999.99933
ben,2002,59999.99866
ben,2003,70000.0003
ben,2004,79999.99821
ben,2005,79999.99821
ben,2006,209999.99344
ben,2007,19999.99955
ben,2008,2440000.05722
ben,2009,19999.99955
ben,2010,150000.00596
ben,2011,129999.99523
ben,2012,140000.0006
ben,2013,100832.00037
ben,2014,95723.00315
ben,2015,124949.00078
ben,2016,231625.0056
ben,2017,17960.99916
ben,2018,184954.0025
ben,2019,90540.99768
ben,2020,195045.99273
ben,2021,303770.98918
ben,2022,300004.00543
ben,2023,749266.0284
bfa,1991,19999.99955
bfa,1992,79999.99821
bfa,1993,70000.0003
bfa,1994,70000.0003
bfa,1995,150000.00596
bfa,1996,90000.00358
bfa,1997,100000.00149
bfa,1998,19999.99955
bfa,2000,9999.99978
bfa,2001,59999.99866
bfa,2002,9999.99978
bfa,2003,9999.99978
bfa,2004,59999.99866
bfa,2005,129999.99523
bfa,2006,150000.00596
bfa,2007,629999.99523
bfa,2008,170000.00179
bfa,2009,119999.99732
bfa,2010,280000.00119
bfa,2011,709999.97854
bfa,2012,810000.00238
bfa,2013,330592.00644
bfa,2014,195672.00541
bfa,2015,317202.98529
bfa,2016,884079.99277
bfa,2017,715820.01448
bfa,2018,897547.00661
bfa,2019,583302.02103
bfa,2020,2167402.02904
