geo,time,pa_nus_atls
abw,1986,1.79
abw,1987,1.79
abw,1988,1.79
abw,1989,1.79
abw,1990,1.79
abw,1991,1.79
abw,1992,1.79
abw,1993,1.79
abw,1994,1.79
abw,1995,1.79
abw,1996,1.79
abw,1997,1.79
abw,1998,1.79
abw,1999,1.79
abw,2000,1.79
abw,2001,1.79
abw,2002,1.79
abw,2003,1.79
abw,2004,1.79
abw,2005,1.79
abw,2006,1.79
abw,2007,1.79
abw,2008,1.79
abw,2009,1.79
abw,2010,1.79
abw,2011,1.79
abw,2012,1.79
abw,2013,1.79
abw,2014,1.79
abw,2015,1.79
abw,2016,1.79
abw,2017,1.79
abw,2018,1.79
abw,2019,1.79
abw,2020,1.79
abw,2021,1.79
abw,2022,1.79
afg,1960,45
afg,1961,45
afg,1962,45
afg,1963,45
afg,1964,45
afg,1965,45
afg,1966,45
afg,1967,45
afg,1968,45
afg,1969,45
afg,1970,45
afg,1971,45
afg,1972,45
afg,1973,45
afg,1974,45
afg,1975,45
afg,1976,45
afg,1977,45
afg,1978,45
afg,1979,43.7
afg,1980,44.1
afg,1981,49.5
afg,1982,50.6
afg,1983,50.6
afg,1984,50.6
afg,1985,50.6
afg,1986,50.6
afg,1987,50.6
afg,1988,50.6
afg,1989,50.6
afg,1990,50.6
afg,1991,50.6
afg,1992,51
afg,1999,47.06015
afg,2000,47.43646
afg,2001,47.43956
afg,2002,47.61551
afg,2003,48.96288
afg,2004,47.80801
afg,2005,49.67765
afg,2006,49.92261
afg,2007,49.79737
afg,2008,50.94784
afg,2009,49.26583
afg,2010,45.79973
afg,2011,47.75864
afg,2012,51.67917
afg,2013,56.52667
afg,2014,57.39679
afg,2015,63.90417
afg,2016,67.50266
afg,2017,68.54525
afg,2018,73.54312
afg,2019,78.17233
afg,2020,76.91779
afg,2021,87.7
afg,2022,88.5
ago,1960,0
ago,1961,0
ago,1962,0
ago,1963,0
ago,1964,0
ago,1965,0
ago,1966,0
ago,1967,0
ago,1968,0
ago,1969,0
ago,1970,0
ago,1971,0
ago,1972,0
ago,1973,0
ago,1974,0
ago,1975,0
ago,1976,0
ago,1977,0
