global,time,sp_pop_0014_to
world,1960,1126565728
world,1961,1146759211
world,1962,1173475705
world,1963,1204619662
world,1964,1233296073
world,1965,1259109964
world,1966,1288631656
world,1967,1313422372
world,1968,1335822238
world,1969,1358382698
world,1970,1381778181
world,1971,1408244023
world,1972,1433034031
world,1973,1456625139
world,1974,1477989661
world,1975,1496154552
world,1976,1514176474
world,1977,1529014780
world,1978,1541826613
world,1979,1553827901
world,1980,1565443352
world,1981,1577945367
world,1982,1592068848
world,1983,1606575837
world,1984,1620614375
world,1985,1634832512
world,1986,1655397047
world,1987,1675813513
world,1988,1695923490
world,1989,1715226180
world,1990,1734016852
world,1991,1756499911
world,1992,1773094399
world,1993,1786859936
world,1994,1799326540
world,1995,1811874896
world,1996,1818373214
world,1997,1827836931
world,1998,1837346423
world,1999,1842898411
world,2000,1843190720
world,2001,1846468158
world,2002,1844268499
world,2003,1838978309
world,2004,1834848839
world,2005,1834114577
world,2006,1837035541
world,2007,1842791746
world,2008,1851142103
world,2009,1860249647
world,2010,1869227993
world,2011,1880107098
world,2012,1890737457
world,2013,1901308011
world,2014,1912167866
world,2015,1923250334
world,2016,1935134328
world,2017,1946847286
world,2018,1957806455
world,2019,1967441994
world,2020,1975541166
