geo,time,ny_gnp_mktp_kd_zg
ago,2001,9.24032
ago,2002,23.50848
ago,2003,3.9788
ago,2004,8.93958
ago,2005,13.2835
ago,2006,9.09891
ago,2007,16.31613
ago,2008,5.92804
ago,2009,11.90128
ago,2010,2.44379
ago,2011,3.30784
ago,2012,9.61472
ago,2013,6.42309
ago,2014,6.69081
ago,2015,2.80582
ago,2016,-2.8252
ago,2017,-1.33626
ago,2018,-3.89886
ago,2019,-1.54013
ago,2020,-2.63329
alb,2009,1.29625
alb,2010,4.30965
alb,2011,3.60985
alb,2012,0.65193
alb,2013,3.45313
alb,2014,0.99894
alb,2015,2.4635
alb,2016,3.74252
alb,2017,2.46151
alb,2018,3.69625
are,2002,-1.57044
are,2003,7.83259
are,2004,10.14014
are,2005,6.12251
are,2006,10.5922
are,2007,4.49678
are,2008,0.97474
are,2009,-5.5942
are,2010,0.47713
are,2011,7.00702
are,2012,4.53282
are,2013,5.0996
are,2014,4.33787
are,2015,5.40047
are,2016,3.14506
are,2017,2.5398
are,2018,0.80659
are,2019,1.85222
arg,1961,5.65358
arg,1962,-1.00986
arg,1963,-5.31455
arg,1964,10.30973
arg,1965,10.47618
arg,1966,0.71471
arg,1967,-0.41629
arg,1968,2.92795
arg,1969,10.53908
arg,1970,-0.04192
arg,1971,10.76005
arg,1972,-0.87505
arg,1973,4.72135
arg,1974,5.52615
arg,1975,0.95257
arg,1976,-3.25709
arg,1977,6.09005
arg,1978,-4.36612
arg,1979,9.93285
arg,1980,1.51432
arg,1981,-6.5764
arg,1982,-4.18859
arg,1983,4.69706
arg,1984,2.06087
arg,1985,-5.29132
arg,1986,7.07509
arg,1987,2.60333
arg,1988,-0.80765
arg,1989,-10.88964
arg,1990,1.62978
arg,1991,10.40798
arg,1992,9.14439
arg,1993,8.89036
arg,1994,5.66037
arg,1995,-3.19823
arg,1996,5.29264
arg,1997,8.00303
arg,1998,3.49591
arg,1999,-3.5197
arg,2000,-0.83153
arg,2001,-4.61378
arg,2002,-13.20443
arg,2003,10.20122
arg,2004,1.06937
arg,2005,8.67094
arg,2006,17.71826
arg,2007,9.74941
arg,2008,4.15675
arg,2009,-6.49146
arg,2010,9.68153
arg,2011,6.58901
arg,2012,-0.67478
arg,2013,2.56831
arg,2014,-2.30354
arg,2015,2.92016
arg,2016,-2.25178
arg,2017,2.37969
arg,2018,-3.81376
arg,2019,-2.42948
arg,2020,-8.54643
arm,1995,10.25666
arm,1996,6.01147
arm,1997,6.65571
arm,1998,4.24783
arm,1999,3.18204
arm,2000,5.81993
arm,2001,9.47013
arm,2002,13.7647
arm,2003,13.96413
arm,2004,11.32883
arm,2005,13.96938
arm,2006,13.75641
arm,2007,14.54001
arm,2008,7.49194
arm,2009,-15.82148
arm,2010,2.97232
arm,2011,3.33228
arm,2012,7.80968
arm,2013,5.29677
arm,2014,1.99195
arm,2015,2.68221
arm,2016,-1.37735
arm,2017,8.72588
arm,2018,3.49963
arm,2019,7.49213
arm,2020,-10.40867
aut,1971,5.21108
aut,1972,6.04816
aut,1973,4.84579
aut,1974,4.26659
aut,1975,-0.44351
aut,1976,4.41041
aut,1977,5.00953
aut,1978,-0.20666
aut,1979,5.49601
aut,1980,1.88286
aut,1981,-0.05099
aut,1982,2.13734
aut,1983,2.98868
aut,1984,0.0991
aut,1985,2.58307
aut,1986,1.88197
aut,1987,1.3147
aut,1988,3.83625
aut,1989,4.24003
aut,1990,4.51073
aut,1991,2.93798
aut,1992,1.88969
aut,1993,0.59908
aut,1994,2.19422
aut,1995,2.30346
aut,1996,2.69781
aut,1997,1.66735
aut,1998,3.42663
aut,1999,2.51746
aut,2000,4.14631
aut,2001,0.75124
aut,2002,2.47639
aut,2003,1.28271
aut,2004,2.85441
aut,2005,2.1677
aut,2006,3.92231
aut,2007,3.37688
aut,2008,2.41623
aut,2009,-4.60722
aut,2010,2.7368
aut,2011,2.40822
aut,2012,0.44449
aut,2013,0.19215
aut,2014,0.52488
aut,2015,-0.11078
aut,2016,2.99581
aut,2017,1.45038
aut,2018,2.61228
aut,2019,2.84877
aze,1994,-19.72836
aze,1995,-11.86435
aze,1996,1.22439
aze,1997,5.84759
aze,1998,9.96735
aze,1999,6.89449
aze,2000,6.40526
aze,2001,10.01729
aze,2002,9.44722
aze,2003,10.03872
aze,2004,6.88722
aze,2005,20.40822
aze,2006,31.29283
aze,2007,20.93168
aze,2008,16.90749
aze,2009,16.29837
