geo,time,bn_gsr_gnfs_cd
abw,1986,-14581005.58659
abw,1987,-7430167.59777
abw,1988,-26312849.16201
abw,1989,-38770949.72067
abw,1990,-149273743.01676
abw,1991,-199217877.09497
abw,1992,33854748.60335
abw,1993,42849162.01117
abw,1994,85027932.96089
abw,1995,-25586592.17877
abw,1996,-53631284.9162
abw,1997,-167541899.44134
abw,1998,-14357541.89944
abw,1999,-339905027.93296
abw,2000,309776536.31285
abw,2001,430458100.55866
abw,2002,-137737430.1676
abw,2003,-24379888.26816
abw,2004,453525139.6648
abw,2005,716110922.86535
abw,2006,546729298.50031
abw,2007,766368715.0838
abw,2008,247765363.12849
abw,2009,344357541.89944
abw,2010,-248938547.48603
abw,2011,101005586.59218
abw,2012,281620111.73184
abw,2013,-102680590.45131
abw,2014,39400255.7906
abw,2015,308640824.10013
abw,2016,333530343.29187
abw,2017,267547883.87619
abw,2018,287147825.57227
abw,2019,321664233.50001
abw,2020,-200488449.87515
abw,2021,253587682.83059
abw,2022,423839378.91145
abw,2023,587859510.23001
afg,1979,-205100000
afg,1980,-176800000
afg,1981,-337700000
afg,1982,-212700000
afg,1983,-263000000
afg,1984,-579800000
afg,1985,-407500000
afg,1986,-793800000
afg,1987,-486500000
afg,1988,-328400000
afg,1989,-466400000
afg,2008,-1877652994.15051
afg,2009,-1956521857.76781
afg,2010,-3205300950.54898
afg,2011,-4149500356.09605
afg,2012,-7442378553.20737
afg,2013,-8671425447.58479
afg,2014,-6261263543.711
afg,2015,-7044964161.23314
afg,2016,-6191463867.40496
afg,2017,-6803560118.47488
afg,2018,-6378166942.37589
afg,2019,-5855061056.02892
afg,2020,-5506547001.36988
ago,1985,388000000
ago,1986,-211000000
ago,1987,689000000
ago,1988,114000000
ago,1989,651000000
ago,1990,606900000
ago,1991,434300000
ago,1992,-54757000
ago,1993,-18200000
ago,1994,149800000
ago,1995,316690000
ago,1996,898908000
ago,1997,-57120000
ago,1998,-1049830000
ago,1999,-394130000
ago,2000,2449010000
ago,2001,39510000
ago,2002,1452563748.26
ago,2003,908005425.5
ago,2004,3163257044.7
ago,2005,9142016030.83224
ago,2006,17057651830.29
ago,2007,18402195771.95
ago,2008,21121860427.389
ago,2009,-378203335.81
ago,2010,16030508137.59
ago,2011,24144210612.8378
ago,2012,26025090817.047
ago,2013,20169149501.7639
ago,2014,7313313527.45261
ago,2015,-3531471369.03048
ago,2016,2642737292.90861
ago,2017,7341498049.76021
ago,2018,15501535712.0518
ago,2019,12880814227.1861
ago,2020,5858757656.16661
ago,2021,14829788600.5572
ago,2022,21556000869.8593
ago,2023,13272713526.9466
ago,2024,14205363776.2715
alb,1980,6700000
alb,1981,27400000
alb,1982,-86700000
alb,1983,-50900000
alb,1984,-37800000
alb,1985,-43500000
alb,1986,-9000000
alb,1987,-2100000
alb,1988,-34300000
alb,1989,-49800000
alb,1990,-131400000
alb,1991,-232200000
alb,1992,-539300000
alb,1993,-574200000
alb,1994,-513100000
alb,1995,-532500000
alb,1996,-738500000
alb,1997,-586432500
alb,1998,-646330000
alb,1999,-556700000
alb,2000,-795800000
alb,2001,-936900000
alb,2002,-1160330000
alb,2003,-1419161205.65833
alb,2004,-1642928988.60121
alb,2005,-2039576837.24939
alb,2006,-2203548908.04487
alb,2007,-2879743004.28052
alb,2008,-3446126996.47815
alb,2009,-2967394172.50194
alb,2010,-2456390642.37229
alb,2011,-2932716632.8208
alb,2012,-2296761241.42573
alb,2013,-2308765606.46251
alb,2014,-2506992157.87102
alb,2015,-1966180769.23214
alb,2016,-2001510213.2648
alb,2017,-1978658722.18737
alb,2018,-2069586882.26658
alb,2019,-2103429046.38418
alb,2020,-2210461795.58811
alb,2021,-2392168078.17823
alb,2022,-1959879935.13069
alb,2023,-1275078200.87066
and,2019,302799704.86973
and,2020,114551911.22563
and,2021,302952018.2727
and,2022,296200061.15285
and,2023,452742525.18801
arg,1976,1125000000
arg,1977,1836000000
arg,1978,2456000000
arg,1979,337000000
arg,1980,-3285000000
arg,1981,-1006000000
arg,1982,2320000000
arg,1983,2947000000
arg,1984,3204000000
arg,1985,4342000000
arg,1986,1543000000
arg,1987,245000000
arg,1988,3555000000
arg,1989,5109000000
arg,1990,7954000000
arg,1991,2820000000
arg,1992,-3953300000
arg,1993,-5689240000
arg,1994,-7917900000
arg,1995,-1078685000
arg,1996,-1787449423.72519
arg,1997,-6507815237.43071
arg,1998,-7541547974.1887
arg,1999,-4905758055.83513
arg,2000,-1831883471.95655
arg,2001,3521810643.66417
arg,2002,15717280000
arg,2003,15611500000
arg,2004,11933610000
arg,2005,12095220000
arg,2006,13266642573.1593
arg,2007,12570579976.2887
arg,2008,13340936973.2968
arg,2009,16652818510.3957
arg,2010,12343520648.5783
arg,2011,9198443049.71353
arg,2012,10943688062.5681
arg,2013,-693680874.42887
arg,2014,900177659.49876
arg,2015,-6600221085.86428
arg,2016,-4035498243.93579
arg,2017,-15142501699.7645
arg,2018,-9678495464.2347
arg,2019,13390550040.8824
arg,2020,12094415410.6255
arg,2021,14995374116.8722
arg,2022,5529161408.28509
arg,2023,-9352747403.92072
arm,1993,-129559250
arm,1994,-214245682.63889
arm,1995,-445631021.25478
arm,1996,-536868690.10866
arm,1997,-641500248.79807
arm,1998,-641619876.59784
arm,1999,-517560894.32173
arm,2000,-531776959.19663
arm,2001,-521259827.23303
arm,2002,-459464455.00265
arm,2003,-547927151.23175
arm,2004,-645186306.79191
arm,2005,-782593642.47268
arm,2006,-1035254569.32817
arm,2007,-1906845403.33537
arm,2008,-3127485895.91526
arm,2009,-2366282262.46614
arm,2010,-2326489846.17148
arm,2011,-2175629987.68525
arm,2012,-2214007063.77409
arm,2013,-2321776645.52881
arm,2014,-2168908139.47845
arm,2015,-1281494851.04737
arm,2016,-905845561.90367
arm,2017,-1243550763.88083
arm,2018,-1752742382.16506
arm,2019,-1817137352.7757
arm,2020,-1257660276.69422
arm,2021,-1115247228.47482
arm,2022,-147212952.40826
arm,2023,-193722388.30136
atg,1977,-12200000
atg,1978,-7000000
atg,1979,-27800000
atg,1980,-27700000
atg,1981,-41100000
atg,1982,-47300000
atg,1983,-18700000
atg,1984,-13500000
atg,1985,-34600000
atg,1986,-87644444.44444
atg,1987,-76159259.25926
atg,1988,-18274074.07407
atg,1989,-47974074.07407
atg,1990,4740740.74074
atg,1991,-25925.92593
atg,1992,20914814.81481
atg,1993,40666666.66667
atg,1994,14533333.33333
atg,1995,-37318518.51852
atg,1996,-64844444.44444
atg,1997,-35000000
atg,1998,-24022222.22222
atg,1999,-56490324.81481
atg,2000,-6012592.9637
atg,2001,-13552876.99377
atg,2002,-3034962.39267
atg,2003,1525354.22178
atg,2004,20885677.57018
atg,2005,-29047582.48597
atg,2006,-152230004.99501
atg,2007,-298009513.25251
atg,2008,-208280062.83872
atg,2009,-62613571.44196
atg,2010,-23228841.8088
atg,2011,51553067.56866
atg,2012,21514922.59217
atg,2013,1808195.20323
atg,2014,102251479.63516
atg,2015,162974827.10311
atg,2016,119501331.85729
atg,2017,17926577.97919
atg,2018,-96960107.38733
atg,2019,12635215.18519
atg,2020,-158703865.18518
atg,2021,-162149453.33333
atg,2022,-116129320.74074
atg,2023,-87957672.22222
aus,1989,-7654223703.63626
aus,1990,-3259469531.92839
aus,1991,956062277.31035
aus,1992,-595971586.92051
aus,1993,-1312259379.40025
aus,1994,-4713416475.31885
aus,1995,-5240428241.26407
aus,1996,-533267382.68758
aus,1997,1646368836.22285
aus,1998,-6467569673.68318
aus,1999,-10082425326.5389
aus,2000,-4278715479.84175
aus,2001,2098010276.45843
aus,2002,-4719220380.96603
aus,2003,-14416671532.8361
aus,2004,-19188702454.739
aus,2005,-14812982446.7779
aus,2006,-12739769551.3515
aus,2007,-22880495663.2295
aus,2008,-12412041447.686
aus,2009,-8745692016.93027
aus,2010,6038557388.26251
aus,2011,13124139505.3401
aus,2012,-24017679329.5257
aus,2013,-9513266324.06121
aus,2014,-8959866226.01984
aus,2015,-28773630265.3472
aus,2016,-12915729462.2999
aus,2017,3124230284.15272
aus,2018,11002049820.2101
aus,2019,41304937027.1212
aus,2020,43039657134.7927
aus,2021,81929277275.57788
aus,2022,86008712990.8508
aus,2023,59296317893.4892
aus,2024,19823436844.1382
aut,2005,10094027381.9188
aut,2006,13594759429.9566
aut,2007,18758629627.5828
aut,2008,20361565740.6298
aut,2009,14219475612.9926
aut,2010,12134112745.743
aut,2011,9636411469.57515
aut,2012,9742491014.22152
aut,2013,11561229856.2545
aut,2014,14193852265.852
aut,2015,13558003183.9385
aut,2016,14270103560.1123
aut,2017,12156728045.6645
aut,2018,13361198807.8664
aut,2019,15502338073.3493
aut,2020,14078374655.3192
aut,2021,3788251302.88608
aut,2022,-2519474101.89408
aut,2023,10221561709.0208
aze,1995,-505362000
aze,1996,-985550000
aze,1997,-951065000
aze,1998,-1415241000
aze,1999,-636487000
aze,2000,94589000
aze,2001,238833000
aze,2002,-454039000
aze,2003,-1712980000
aze,2004,-2077108000
aze,2005,1329081000
aze,2006,5821918000
aze,2007,13093253000
aze,2008,20668404000
aze,2009,12972340000
aze,2010,17998383000
aze,2011,21331439000
aze,2012,19292808000
aze,2013,16419226000
aze,2014,12838097000
aze,2015,1583558000
aze,2016,1051820000
aze,2017,2735430000
aze,2018,7703178030.41765
aze,2019,5745749526.72636
aze,2020,-417799456.7
aze,2021,9062113327.4647
aze,2022,25999657000
aze,2023,10470915000
aze,2024,6774099000
bdi,1985,-112212410.6451
bdi,1986,-127308943.52281
bdi,1987,-180999564.32775
bdi,1988,-144656148.72324
bdi,1989,-135460084.03361
bdi,1990,-228796850.70788
bdi,1991,-218623410.40635
bdi,1992,-224685553.71351
bdi,1993,-199172089.95799
bdi,1994,-170939494.3848
