geo,time,ny_gdp_pcap_kn
abw,1986,20352.78155
abw,1987,23933.50367
abw,1988,28752.94734
abw,1989,32261.23572
abw,1990,32935.38422
abw,1991,34198.35043
abw,1992,34290.73857
abw,1993,34636.87151
abw,1994,35421.41972
abw,1995,34687.09103
abw,1996,33880.66962
abw,1997,35317.8818
abw,1998,35266.14803
abw,1999,35009.23165
abw,2000,36905.77334
abw,2001,35028.19941
abw,2002,33132.47747
abw,2003,33082.14212
abw,2004,35074.72353
abw,2005,35044.95241
abw,2006,35131.46187
abw,2007,35623.99779
abw,2008,35543.92968
abw,2009,31776.58301
abw,2010,30541.48429
abw,2011,31474.76727
abw,2012,30887.72973
abw,2013,31997.2859
abw,2014,31904.32277
abw,2015,33540.90513
abw,2016,34073.49068
abw,2017,34591.34689
afg,2002,19990.40847
afg,2003,20763.7135
afg,2004,20166.71455
afg,2005,21620.32472
afg,2006,22107.4978
afg,2007,24544.36023
afg,2008,24935.65022
afg,2009,29552.59041
afg,2010,32881.42096
afg,2011,31999.84998
afg,2012,34871.79343
afg,2013,35560.22041
afg,2014,35323.64145
afg,2015,34750.38919
afg,2016,34562.24496
afg,2017,34584.62892
afg,2018,34171.37705
afg,2019,34696.12525
afg,2020,33249.92445
ago,1980,49617.13772
ago,1981,45791.51854
ago,1982,44193.21905
ago,1983,44435.62604
ago,1984,45452.53881
ago,1985,45403.6251
ago,1986,45099.06774
ago,1987,45319.3616
ago,1988,46450.81821
ago,1989,44901.24033
ago,1990,41911.95495
ago,1991,40943.425
ago,1992,37308.90533
ago,1993,27454.96256
ago,1994,26939.3865
ago,1995,29999.57653
ago,1996,32985.37036
ago,1997,34264.49621
ago,1998,34732.11888
ago,1999,34355.17173
ago,2000,34263.11488
ago,2001,34544.80507
ago,2002,37979.8568
ago,2003,37815.84691
ago,2004,40533.69591
ago,2005,45004.87993
ago,2006,48417.29337
ago,2007,53205.78745
ago,2008,56992.36242
ago,2009,55391.67516
ago,2010,55746.32774
ago,2011,55623.21588
ago,2012,58241.13303
ago,2013,58993.60488
ago,2014,59713.25644
ago,2015,58239.093
ago,2016,54851.79812
ago,2017,52981.36092
ago,2018,50246.40385
ago,2019,48339.24734
ago,2020,44916.9145
alb,1980,207072.24879
alb,1981,214627.58738
alb,1982,216335.67973
alb,1983,214135.97384
alb,1984,207053.43249
alb,1985,206451.74485
alb,1986,213914.26429
alb,1987,208032.69934
alb,1988,201245.58606
alb,1989,215179.06024
alb,1990,191105.03076
alb,1991,138423.44932
alb,1992,129256.2855
alb,1993,142479.13805
alb,1994,155259.17714
alb,1995,177033.49411
alb,1996,194347.6883
alb,1997,174211.12029
alb,1998,190791.05842
alb,1999,216752.29624
alb,2000,233298.87696
alb,2001,255021.62459
alb,2002,267400.17568
alb,2003,283245.32112
alb,2004,300103.74507
alb,2005,318324.21657
alb,2006,339239.17319
alb,2007,362252.90966
alb,2008,392421.46239
alb,2009,408310.16981
alb,2010,425553.2624
alb,2011,437560.49422
alb,2012,444496.51272
alb,2013,449773.59269
alb,2014,458703.515
alb,2015,470248.40811
alb,2016,486613.60293
alb,2017,505580.39323
alb,2018,527463.91262
alb,2019,541230.13102
alb,2020,526341.88413
and,1970,31456.77076
and,1971,31250.91069
and,1972,32145.91876
and,1973,32996.39808
and,1974,33335.46971
and,1975,32217.26528
and,1976,32153.83614
and,1977,32070.58498
and,1978,31599.57253
and,1979,30631.41703
and,1980,30233.21574
and,1981,29037.71105
and,1982,28184.28369
and,1983,27462.2446
and,1984,26740.17001
and,1985,26203.11864
and,1986,25934.86549
and,1987,26278.20248
and,1988,26535.94569
and,1989,26746.10954
and,1990,26710.49259
and,1991,26347.43409
and,1992,25591.46938
and,1993,24458.51838
and,1994,24361.39671
and,1995,24569.03382
and,1996,25510.49361
and,1997,27843.16832
and,1998,28812.43842
and,1999,29887.24211
and,2000,30458.17403
and,2001,31975.67712
and,2002,32138.96185
and,2003,33438.09784
and,2004,34702.68852
and,2005,35360.39863
and,2006,36088.89438
and,2007,35901.64728
and,2008,33429.5254
and,2009,31431.54829
and,2010,30813.34217
and,2011,31070.59273
and,2012,29998.18021
and,2013,29527.54736
and,2014,30861.97973
and,2015,31794.26359
and,2016,33271.49233
and,2017,33515.85127
and,2018,34043.476
and,2019,34667.51355
and,2020,30475.6358
are,1975,380493.18378
are,1976,381080.64744
are,1977,401471.05163
are,1978,347729.97422
are,1979,377049.3363
are,1980,426865.6227
are,1981,415345.65631
are,1982,364748.15198
are,1983,329438.61836
