geo,time,dt_dod_pvlx_ex_zs
afg,2020,116.50213
ago,2020,204.2689
alb,2020,142.77025
arg,2020,146.23226
arm,2020,132.61733
aze,2020,76.18244
bgd,2020,112.82398
bgr,2020,29.84635
bih,2020,72.08031
blr,2020,52.79887
blz,2020,180.00225
bol,2020,125.44019
bra,2020,65.54072
btn,2020,330.80587
bwa,2020,24.82777
chn,2020,13.11345
cmr,2020,175.55248
cod,2020,33.98151
col,2020,197.8944
com,2020,322.11224
cpv,2020,406.52697
cri,2020,59.61641
dji,2020,61.18807
dma,2020,245.22833
dom,2020,222.52492
dza,2020,4.27196
ecu,2020,174.52125
egy,2020,228.80332
eth,2020,336.46272
fji,2020,57.89623
geo,2020,89.89106
gha,2020,100.80855
gin,2020,39.87342
gmb,2020,326.81176
grd,2020,119.77031
gtm,2020,70.52349
hnd,2020,122.82521
idn,2020,130.8038
ind,2020,35.48272
irn,2020,0.70376
jam,2020,266.82367
jor,2020,150.87877
kaz,2020,42.75157
ken,2020,328.58708
kgz,2020,162.70745
khm,2020,37.86694
kos,2020,30.25267
lao,2020,146.69848
lbr,2020,170.64582
lca,2020,127.1021
lka,2020,278.5914
lso,2020,67.92137
mar,2020,109.6182
mda,2020,51.27754
mdg,2020,137.7519
mdv,2020,128.16801
mex,2020,67.65574
mkd,2020,70.82614
mne,2020,274.59035
mng,2020,115.18626
moz,2020,203.58858
mrt,2020,138.86665
mus,2020,18.07052
mwi,2020,213.27395
nga,2020,74.70631
nic,2020,89.13815
npl,2020,274.33424
pak,2020,280.63601
pan,2020,134.21824
per,2020,56.69291
phl,2020,58.61784
png,2020,52.29877
pry,2020,83.63762
rou,2020,58.26381
rus,2020,49.40334
rwa,2020,226.84106
slb,2020,25.21943
slv,2020,155.04214
srb,2020,61.39597
stp,2020,349.51795
swz,2020,32.66975
tha,2020,13.3802
tjk,2020,98.31515
tls,2020,27.34092
ton,2020,114.6678
tun,2020,150.65291
tur,2020,61.88207
tza,2020,173.06228
uga,2020,176.84321
ukr,2020,64.53385
uzb,2020,99.28803
vct,2020,220.78833
vnm,2020,16.18446
vut,2020,121.95513
wsm,2020,303.20943
zaf,2020,60.69345
zmb,2020,139.65482
zwe,2020,41.73888
