geo,time,fm_lbl_bmny_ir_zs
abw,1986,1.56466
abw,1987,1.96809
abw,1988,2.22752
abw,1989,2.8515
abw,1990,3.11699
abw,1991,3.20663
abw,1992,3.18647
abw,1993,2.69972
abw,1994,3.10142
abw,1995,2.75957
abw,1996,3.23698
abw,1997,3.77557
abw,1998,3.42535
abw,1999,3.81309
abw,2000,4.12434
abw,2001,3.19973
abw,2002,3.03765
abw,2003,3.671
abw,2004,3.7636
abw,2005,4.17395
abw,2006,3.45782
abw,2007,3.14792
abw,2008,2.41551
abw,2009,2.57263
abw,2010,2.48668
abw,2011,2.55819
abw,2012,2.48518
abw,2013,2.81566
abw,2014,2.85451
abw,2015,2.60559
abw,2016,2.523
abw,2017,2.61121
abw,2018,2.49447
abw,2019,2.59874
abw,2020,2.21026
abw,2021,1.98121
abw,2022,2.00597
abw,2023,2.12615
afg,1960,1.42695
afg,1961,1.87958
afg,1962,2.31572
afg,1963,2.38528
afg,1964,2.9922
afg,1965,3.45063
afg,1966,3.33045
afg,1967,4.05757
afg,1968,4.00358
afg,1969,5.20568
afg,1970,4.66591
afg,1971,3.80132
afg,1972,3.60248
afg,1973,2.49694
afg,1974,1.77535
afg,1975,1.85125
afg,1976,1.94741
afg,1977,1.48332
afg,1978,1.22862
afg,1979,0.97088
afg,1980,1.11793
afg,1981,1.67147
afg,1982,1.8162
afg,1984,3.07623
afg,1985,2.9263
afg,1986,3.15793
afg,1987,4.05085
afg,1988,6.19464
afg,1989,8.85143
afg,1990,12.30289
afg,2008,0.98068
afg,2009,0.96226
afg,2010,1.08581
afg,2011,1.02779
afg,2012,0.9161
afg,2013,0.90335
afg,2014,0.93139
afg,2015,0.93047
afg,2016,0.92606
afg,2017,0.85371
afg,2018,0.8053
afg,2019,0.77341
afg,2020,0.76779
ago,1995,8.85071
ago,1996,3.73519
ago,1997,4.40676
ago,1998,7.85373
ago,1999,2.86101
ago,2000,1.31667
ago,2001,2.58067
ago,2002,6.53268
ago,2003,3.79408
ago,2004,2.31385
ago,2005,1.5381
ago,2006,1.04602
ago,2007,1.19185
ago,2008,1.56177
ago,2009,2.34672
ago,2010,1.48085
ago,2011,1.44612
ago,2012,1.29516
ago,2013,1.4003
ago,2014,1.7944
ago,2015,1.55749
ago,2016,0.87287
ago,2017,1.3588
ago,2018,1.58002
ago,2019,1.46236
ago,2020,1.41014
ago,2021,1.18883
ago,2022,1.66375
ago,2023,1.53531
alb,1994,3.34515
alb,1995,4.36921
alb,1996,4.57356
alb,1997,3.95245
alb,1998,3.79158
alb,1999,4.05403
alb,2000,3.52519
alb,2001,3.55382
alb,2002,3.35471
alb,2003,3.53685
alb,2004,3.5315
alb,2005,3.99461
alb,2006,3.74754
alb,2007,3.87526
alb,2008,4.11327
alb,2009,3.87324
alb,2010,3.71221
alb,2011,4.29169
alb,2012,3.99415
alb,2013,3.92076
alb,2014,4.25107
alb,2015,3.07634
alb,2016,3.27397
alb,2017,2.96428
alb,2018,3.00652
alb,2019,3.18947
alb,2020,2.78365
alb,2021,2.71273
alb,2022,2.78718
alb,2023,2.61383
are,1973,6.15627
are,1974,3.36617
are,1975,2.25392
are,1976,2.14057
are,1977,4.45282
are,1978,4.81918
are,1979,2.76461
are,1980,2.69512
are,1981,2.28295
are,1982,3.54033
are,1983,4.1523
are,1984,5.02879
are,1985,3.91455
are,1986,3.8451
are,1987,2.92251
are,1988,3.32207
are,1989,3.60377
are,1990,3.23106
are,1991,3.20529
are,1992,3.16792
are,1993,2.90501
are,1994,2.88768
are,1995,2.84933
are,1996,2.83629
are,1997,3.00189
are,1998,2.89046
are,1999,2.77836
are,2000,2.53623
are,2001,2.95737
are,2002,3.03457
are,2003,3.55705
are,2004,3.58386
are,2005,4.12942
are,2006,3.87351
are,2007,1.95851
are,2008,5.7881
are,2009,7.59543
are,2010,6.42722
are,2011,5.94111
are,2012,4.9188
are,2013,4.16372
are,2014,3.90755
are,2015,3.4405
are,2016,3.90773
are,2017,3.64325
are,2018,3.58057
are,2019,3.55112
are,2020,3.77329
are,2021,3.24598
are,2022,3.35098
are,2023,2.90684
arg,1962,30.49392
arg,1963,10.84758
arg,1964,26.67176
arg,1965,18.16311
arg,1966,21.12491
arg,1967,6.14638
arg,1968,6.91203
arg,1969,12.1226
arg,1970,10.6531
arg,1971,19.71644
arg,1972,13.75667
arg,1973,7.65201
arg,1974,9.99635
arg,1975,13.70111
arg,1976,4.91601
arg,1977,3.31951
arg,1978,3.6832
arg,1979,1.54079
arg,1980,2.06593
arg,1981,3.67931
arg,1982,3.97635
arg,1983,7.69735
arg,1984,9.91769
arg,1985,3.24351
arg,1986,4.68329
arg,1987,6.42631
arg,1988,6.1871
arg,1989,4.78916
arg,1990,2.60828
arg,1991,2.68385
arg,1992,2.73635
arg,1993,2.93549
arg,1994,3.34126
arg,1995,3.25236
arg,1996,3.1316
arg,1997,3.45693
arg,1998,3.44591
arg,1999,3.38328
arg,2000,3.5987
arg,2001,5.00993
arg,2002,2.60106
arg,2003,2.71301
arg,2004,2.3724
arg,2005,2.02853
arg,2006,2.03706
arg,2007,1.73606
arg,2008,1.83125
arg,2009,1.75639
arg,2010,2.06433
arg,2011,2.79451
arg,2012,3.43274
arg,2013,4.91683
arg,2014,4.32669
arg,2015,6.45328
arg,2016,4.11784
arg,2017,3.31566
arg,2018,2.41012
arg,2019,2.61217
arg,2020,3.37787
arg,2021,3.77081
arg,2022,4.55615
arg,2023,10.07988
arm,1992,785.80849
arm,1993,61.10847
arm,1994,4.77045
arm,1995,1.01784
arm,1996,0.78071
arm,1997,0.59854
arm,1998,0.64934
arm,1999,0.67399
arm,2000,0.89461
arm,2001,0.86438
arm,2002,0.85749
arm,2003,0.8048
arm,2004,0.97858
arm,2005,1.19301
arm,2006,1.08919
arm,2007,1.21814
arm,2008,1.64434
arm,2009,1.11967
arm,2010,1.30724
arm,2011,1.56558
arm,2012,1.86239
arm,2013,1.67553
arm,2014,2.70254
arm,2015,2.18715
arm,2016,2.05854
arm,2017,2.31212
arm,2018,2.5431
arm,2019,2.25365
arm,2020,2.62861
arm,2021,2.33704
arm,2022,2.46462
arm,2023,3.66066
atg,1975,6.17481
atg,1976,4.21351
atg,1977,7.44013
atg,1978,7.01972
atg,1979,4.31063
atg,1980,6.88775
atg,1981,8.50853
atg,1982,8.31386
atg,1983,8.83234
atg,1984,6.00276
atg,1985,6.22629
atg,1986,4.31535
atg,1987,6.50237
atg,1988,7.00173
atg,1989,7.92447
atg,1990,8.38259
atg,1991,8.17248
atg,1992,5.79524
atg,1993,8.30371
atg,1994,7.46285
atg,1995,6.88511
atg,1996,8.39185
atg,1997,8.46664
atg,1998,8.30113
atg,1999,8.82274
atg,2000,10.26491
atg,2001,8.58773
atg,2002,8.22899
atg,2003,7.32737
atg,2004,7.3644
atg,2005,7.56375
atg,2006,7.53436
atg,2007,8.31977
atg,2008,8.95737
atg,2009,8.72237
atg,2010,8.18437
atg,2011,7.67146
atg,2012,7.18139
atg,2013,5.82161
atg,2014,4.02548
atg,2015,3.55695
