geo,time,bm_gsr_totl_cd
abw,1986,274636871.50838
abw,1987,333798882.68156
abw,1988,467821229.05028
abw,1989,522290502.7933
abw,1990,738324022.34637
abw,1991,1576368715.0838
abw,1992,1628324022.34637
abw,1993,1740167597.76536
abw,1994,1858268156.42458
abw,1995,2042513966.48044
abw,1996,2590223463.68715
abw,1997,2749888268.15642
abw,1998,2111340782.1229
abw,1999,1671173184.35755
abw,2000,1582860335.19553
abw,2001,1694832402.23464
abw,2002,1754430167.59777
abw,2003,1876402234.63688
abw,2004,4344301675.97766
abw,2005,5528813425.82695
abw,2006,5647605675.95685
abw,2007,6386815642.4581
abw,2008,7000446927.3743
abw,2009,3293966480.44692
abw,2010,2259720670.39106
abw,2011,7046201117.31843
abw,2012,3020670391.06146
abw,2013,2463663298.14302
abw,2014,2406803045.00986
abw,2015,2307557164.79393
abw,2016,2198480705.07546
abw,2017,2266978943.76621
abw,2018,2547658800.09488
abw,2019,2488068336.29307
abw,2020,1790058122.00737
abw,2021,2108922688.73961
abw,2022,2654991681.35204
afg,1979,797400000
afg,1980,924500000
afg,1981,1080500000
afg,1982,989600000
afg,1983,1062900000
afg,1984,1419400000
afg,1985,1084300000
afg,1986,1354700000
afg,1987,1072100000
afg,1988,863300000
afg,1989,734800000
afg,2008,3873396518.11542
afg,2009,4194029283.02967
afg,2010,5923973939.4894
afg,2011,7360392804.04705
afg,2012,9891159037.49738
afg,2013,10184330518.39179
afg,2014,8441107576.55342
afg,2015,8569286770.03988
afg,2016,7387764647.02882
afg,2017,8007677287.97713
afg,2018,8086339277.10563
afg,2019,7416724393.11427
afg,2020,7034026743.61337
ago,1985,2256000000
ago,1986,1906000000
ago,1987,2020000000
ago,1988,3121000000
ago,1989,3292000000
ago,1990,4161400000
ago,1991,4243400000
ago,1992,4828396000
ago,1993,3851900000
ago,1994,3764700000
ago,1995,4302257000
ago,1996,5980445000
ago,1997,6235550000
ago,1998,5717790000
ago,1999,7099810000
ago,2000,7454210000
ago,2001,8281270000
ago,2002,8734464801.86
ago,2003,10539996160
ago,2004,13156086146.21
ago,2005,19200860208.5178
ago,2006,22611733343.4
ago,2007,34526294540.22
ago,2008,57261377694.671
ago,2009,48783824988
ago,2010,43642118667.18
ago,2011,53805471322.35957
ago,2012,56529763171.9595
ago,2013,60111411120.57941
ago,2014,63033383446.16019
ago,2015,44042657939.71338
ago,2016,31271502805.98009
ago,2017,36001581967.70293
ago,2018,34165372003.53612
ago,2019,30508228605.27101
