geo,time,dc_dac_autl_cd
afg,1964,19999.99955
afg,1965,19999.99955
afg,1966,29999.99933
afg,1967,50000.00075
afg,1968,19999.99955
afg,1969,9999.99978
afg,1971,50000.00075
afg,1976,29999.99933
afg,1977,90000.00358
afg,1978,79999.99821
afg,1979,129999.99523
afg,1980,289999.99166
afg,1981,200000.00298
afg,1982,1019999.98093
afg,1983,720000.02861
afg,1984,109999.9994
afg,1985,170000.00179
afg,1986,90000.00358
afg,1987,109999.9994
afg,1988,140000.0006
afg,1989,1350000.02384
afg,1990,1490000.00954
afg,1991,620000.00477
afg,1992,1490000.00954
afg,1993,649999.97616
afg,1994,639999.98569
afg,1995,819999.99285
afg,1996,2849999.90463
afg,1997,1799999.95232
afg,1998,569999.99285
afg,1999,2369999.88556
afg,2000,5849999.90463
afg,2001,9739999.77112
afg,2002,13399999.61853
afg,2003,6900000.09537
afg,2004,8649999.61853
afg,2005,7679999.82834
afg,2006,1240000.00954
afg,2007,660000.02623
afg,2008,839999.97377
afg,2009,819999.99285
afg,2010,2410000.08583
afg,2011,1029999.97139
afg,2012,1289047.95647
afg,2013,1591130.01823
afg,2014,1363921.04626
afg,2015,574431.00214
afg,2016,881568.01462
afg,2017,5367815.97137
afg,2018,4028592.10968
afg,2019,3369860.88753
afg,2020,3365880.01251
afg,2021,3816477.06032
afg,2022,9406804.08478
afg,2023,3385799.8848
ago,1965,1090000.03338
ago,1967,-300000.01192
ago,1969,-140000.0006
ago,1970,-140000.0006
ago,1971,-79999.99821
ago,1979,200000.00298
ago,1980,209999.99344
ago,1981,59999.99866
ago,1982,59999.99866
ago,1983,129999.99523
ago,1984,819999.99285
ago,1985,1370000.00477
ago,1986,1200000.04768
ago,1987,1409999.96662
ago,1988,649999.97616
ago,1989,680000.00715
ago,1990,-589999.97377
ago,1991,-569999.99285
ago,1992,-600000.02384
ago,1993,-600000.02384
ago,1994,-860000.01431
ago,1995,2160000.08583
ago,1996,3079999.92371
ago,1997,1919999.95708
ago,1998,1009999.99046
ago,1999,1000000
ago,2000,360000.01431
ago,2001,39999.99911
ago,2002,230000.00417
ago,2003,239999.99464
