geo,time,sn_itk_vita_zs
afg,2000,58
afg,2001,76
afg,2002,94
afg,2003,71
afg,2004,95
afg,2005,91
afg,2006,84
afg,2007,92
afg,2008,96
afg,2009,95
afg,2010,96
afg,2011,99
afg,2013,97
afg,2014,95
afg,2015,98
afg,2016,90
afg,2017,95
afg,2018,93
afg,2019,51
afg,2020,0
afg,2021,58
afg,2022,0
ago,2002,64
ago,2003,68
ago,2004,7
ago,2005,65
ago,2006,80
ago,2007,36
ago,2008,82
ago,2009,28
ago,2010,28
ago,2011,55
ago,2012,44
ago,2013,48
ago,2014,6
ago,2015,14
ago,2017,3
ago,2018,4
ago,2019,5
ago,2020,7
bdi,2000,0
bdi,2001,0
bdi,2004,16
bdi,2005,7
bdi,2006,76
bdi,2007,83
bdi,2008,80
bdi,2009,90
bdi,2010,73
bdi,2011,72
bdi,2012,86
bdi,2013,75
bdi,2014,69
bdi,2015,71
bdi,2016,78
bdi,2017,79
bdi,2018,89
bdi,2019,85
bdi,2020,92
bdi,2021,81
bdi,2022,9
ben,2000,0
ben,2001,0
ben,2002,85
ben,2003,95
ben,2004,89
ben,2005,92
ben,2006,87
ben,2007,73
ben,2008,52
ben,2009,56
ben,2010,99
ben,2011,98
ben,2012,99
ben,2013,99
ben,2014,99
ben,2015,95
ben,2016,94
ben,2017,99
ben,2018,0
ben,2019,56
ben,2020,7
ben,2021,80
ben,2022,4
bfa,2000,10
bfa,2001,62
bfa,2002,91
bfa,2003,66
bfa,2004,99
bfa,2005,99
bfa,2006,99
bfa,2007,73
bfa,2008,97
bfa,2009,99
bfa,2010,99
bfa,2011,87
bfa,2012,99
bfa,2013,99
bfa,2014,98
bfa,2015,99
bfa,2016,99
bfa,2017,0
bfa,2018,99
bfa,2019,98
bfa,2020,97
bfa,2021,99
bfa,2022,95
bgd,2000,85
bgd,2001,89
bgd,2002,81
bgd,2003,87
bgd,2004,83
bgd,2005,82
bgd,2006,89
bgd,2007,94
bgd,2008,97
bgd,2009,91
bgd,2010,0
bgd,2011,0
bgd,2012,94
bgd,2013,97
bgd,2014,0
bgd,2015,99
bgd,2016,99
bgd,2017,99
bgd,2018,0
bgd,2019,99
bgd,2020,97
bgd,2021,96
bgd,2022,0
bol,2000,27
bol,2001,40
bol,2002,35
bol,2003,36
bol,2004,42
bol,2005,39
bol,2006,41
bol,2008,45
bol,2009,45
bol,2010,24
bol,2011,21
bol,2012,41
bol,2013,40
bol,2016,52
bol,2017,31
bol,2018,54
bol,2019,37
bol,2020,31
bol,2021,32
bol,2022,0
bwa,2004,31
bwa,2006,15
bwa,2009,97
bwa,2010,81
bwa,2011,75
bwa,2013,71
bwa,2014,70
bwa,2015,57
bwa,2016,75
bwa,2017,83
bwa,2018,86
bwa,2019,69
bwa,2021,64
bwa,2022,0
caf,2000,1
caf,2001,3
caf,2005,76
caf,2006,8
caf,2007,78
caf,2008,68
caf,2009,87
caf,2010,0
caf,2011,0
caf,2012,83
caf,2013,40
caf,2014,34
caf,2015,3
caf,2016,2
caf,2017,0
caf,2018,35
caf,2021,46
civ,2001,0
civ,2002,0
civ,2004,0
civ,2005,88
civ,2006,78
civ,2007,4
civ,2008,90
civ,2009,88
civ,2010,99
civ,2011,99
civ,2012,99
civ,2013,99
civ,2014,99
civ,2015,72
civ,2016,0
civ,2017,94
civ,2018,84
civ,2019,80
civ,2020,89
civ,2021,85
civ,2022,72
cmr,2000,0
cmr,2001,0
cmr,2002,4
cmr,2003,7
cmr,2004,15
cmr,2005,96
cmr,2006,92
cmr,2007,48
cmr,2009,94
cmr,2010,89
cmr,2011,98
cmr,2012,88
cmr,2013,99
cmr,2014,96
cmr,2015,99
cmr,2016,55
cmr,2017,9
cmr,2018,47
cmr,2019,87
cmr,2020,14
cmr,2021,85
cmr,2022,87
cod,2000,0
