geo,time,gc_xpn_othr_zs
afg,2006,0.0957
afg,2007,0.01608
afg,2008,1.74342
afg,2009,0.31626
afg,2010,0.17133
afg,2011,0.21834
afg,2012,0.36346
afg,2013,1.20044
afg,2014,0.75411
afg,2015,0.56696
afg,2016,2.62224
afg,2017,0.63831
ago,1999,11.09629
ago,2000,4.08592
ago,2001,5.23956
ago,2002,3.18795
ago,2003,1.53235
ago,2004,2.71965
ago,2005,3.50801
ago,2006,3.0779
ago,2007,2.36205
ago,2008,1.66964
ago,2009,1.15384
ago,2010,1.10889
ago,2011,1.07463
ago,2012,1.63096
ago,2013,0.92295
ago,2014,2.50146
ago,2015,2.17618
ago,2016,1.92602
ago,2017,2.90514
alb,1995,0.24379
alb,1997,0.11374
alb,2002,2.78007
alb,2003,3.08032
alb,2004,-0.0072
alb,2011,5.15425
alb,2012,5.0712
alb,2013,4.57467
alb,2014,7.85726
alb,2015,9.23112
alb,2016,5.37641
alb,2017,5.20158
alb,2018,4.52326
are,2011,18.10367
are,2012,17.22941
are,2013,12.98275
are,2014,12.49132
are,2015,5.44451
are,2016,4.6525
are,2017,4.20889
are,2018,6.41159
arg,1990,0.4876
arg,1991,0.21164
arg,1992,0.33762
arg,1993,1.88618
arg,1994,1.34956
arg,1995,0.43674
arg,1996,0.74237
arg,1997,0.90424
arg,1998,0.7681
arg,1999,0.64627
arg,2000,0.50314
arg,2001,0.40344
arg,2002,6.92573
arg,2003,10.09193
arg,2004,7.46773
arg,2014,8.71384
arg,2015,9.32519
arg,2016,8.50972
arg,2017,9.47492
arg,2018,5.20109
arm,2004,6.1953
arm,2005,0.81173
arm,2006,4.74559
arm,2007,5.66494
arm,2008,22.43623
arm,2009,22.94406
arm,2010,20.253
arm,2011,22.08644
arm,2012,19.73346
arm,2013,21.1132
arm,2014,15.02497
arm,2015,19.9589
arm,2016,15.1953
arm,2017,15.41569
arm,2018,14.67102
aus,1990,0.44173
aus,1991,0.51656
aus,1992,0.60424
aus,1993,0.30833
aus,1994,0.2084
aus,1999,5.26271
aus,2000,6.09359
aus,2001,8.82307
aus,2002,9.02461
aus,2003,7.87702
aus,2004,7.30782
aus,2005,7.31145
aus,2006,7.90195
aus,2007,8.01588
aus,2008,7.98736
aus,2009,7.5154
aus,2010,8.55767
aus,2011,8.18489
aus,2012,8.70176
aus,2013,8.13277
aus,2014,8.36963
aus,2015,8.35988
aus,2016,7.97232
aus,2017,7.91146
aus,2018,8.47377
aus,2019,8.23593
aut,1990,2.67799
aut,1991,2.14532
aut,1992,2.07835
aut,1993,2.14395
aut,1994,2.06531
aut,1995,7.042
aut,1996,6.71316
aut,1997,5.61197
aut,1998,5.99036
aut,1999,5.25669
aut,2000,5.36218
aut,2001,6.0059
aut,2002,4.77421
aut,2003,4.68146
aut,2004,11.98735
aut,2005,5.69728
aut,2006,5.39837
aut,2007,5.43469
aut,2008,5.5635
aut,2009,7.57743
aut,2010,5.59024
aut,2011,5.66898
aut,2012,6.05693
aut,2013,6.02875
aut,2014,8.45767
aut,2015,5.15756
aut,2016,5.11409
aut,2017,5.25049
aut,2018,5.17086
aze,1994,0.07461
aze,1995,0.07431
aze,1997,1.69949
aze,1998,2.48551
aze,1999,1.71113
aze,2008,37.88248
aze,2009,34.4068
aze,2010,36.48107
aze,2011,32.82141
aze,2012,39.57234
aze,2013,34.70419
aze,2014,32.29546
aze,2015,29.85067
aze,2016,34.78872
aze,2017,48.80045
aze,2018,32.12088
bdi,1991,26.4393
bdi,1992,21.12913
bdi,1993,16.00845
bdi,1994,9.63675
bdi,1998,16.15633
bdi,1999,13.89205
bel,1995,2.98126
bel,1996,3.07096
bel,1997,3.43804
bel,1998,3.40884
bel,1999,3.23968
bel,2000,3.14028
bel,2001,2.77544
bel,2002,2.69305
bel,2003,3.7069
bel,2004,2.27198
bel,2005,8.50423
bel,2006,3.38563
bel,2007,3.17638
bel,2008,2.80157
bel,2009,2.96374
bel,2010,3.26625
bel,2011,3.98528
bel,2012,5.42929
bel,2013,3.938
bel,2014,3.65004
bel,2015,3.05836
bel,2016,2.52617
bel,2017,2.51041
bel,2018,2.34921
bfa,2002,19.32224
bfa,2003,17.12574
bfa,2004,19.095
bfa,2005,19.06383
bfa,2006,21.71946
bfa,2007,24.56151
bfa,2008,22.78788
bfa,2009,20.66498
bfa,2010,20.62133
bfa,2011,24.35894
bfa,2012,31.33048
bfa,2013,29.52018
bfa,2014,21.41307
bfa,2015,21.84731
bfa,2016,19.65674
bfa,2017,12.14144
bfa,2018,8.2317
bgd,2001,14.19967
bgd,2002,14.20049
bgd,2003,9.47526
bgd,2004,8.63237
bgd,2005,9.87375
bgd,2006,11.77122
bgd,2007,11.15564
bgd,2008,12.59091
bgd,2009,12.00194
bgd,2010,9.23421
bgd,2011,13.62738
bgd,2012,11.56861
bgd,2013,8.56464
bgd,2014,9.5937
bgd,2015,9.32717
bgd,2016,6.68313
bgr,1992,0.88272
bgr,2005,2.9517
bgr,2006,3.30678
bgr,2007,3.22293
bgr,2008,3.36106
bgr,2009,3.5288
bgr,2010,4.08052
bgr,2011,4.47895
bgr,2012,4.34656
bgr,2013,4.0817
bgr,2014,3.77719
bgr,2015,5.58817
bgr,2016,5.71846
bgr,2017,5.37856
bgr,2018,4.86025
bhr,2004,13.74298
bhs,1990,6.23693
bhs,1991,6.49733
bhs,1992,5.62078
bhs,1993,1.41002
bhs,1994,0.32229
bhs,1995,0.25185
bhs,1996,0.18212
bhs,1997,0.23887
bhs,1998,0.24501
bhs,1999,0.23069
bhs,2000,0.69503
bhs,2001,0.36909
bhs,2002,0.56356
bhs,2003,0.46046
bhs,2004,0.54235
bhs,2005,0.64297
bhs,2006,6.34922
bhs,2007,2.69019
bhs,2008,3.53908
bhs,2009,6.03792
bhs,2010,5.4207
bhs,2011,3.77927
bhs,2012,3.01169
bhs,2013,3.37535
bhs,2014,3.98777
bhs,2015,3.37441
bhs,2016,4.07294
bhs,2017,2.76748
bhs,2018,10.59374
bih,2005,4.13073
bih,2006,3.60383
bih,2007,3.70544
bih,2008,3.29934
bih,2009,3.53213
bih,2010,5.10504
bih,2011,3.88027
bih,2012,4.74172
bih,2013,3.50597
bih,2014,4.69407
bih,2015,5.39321
bih,2016,5.29815
bih,2017,5.414
bih,2018,6.73877
bih,2019,5.62858
blr,1996,0.0094
blr,1997,0.36943
blr,1998,0.00418
blr,1999,10.24728
blr,2000,4.13347
blr,2001,2.82147
blr,2002,2.99496
blr,2003,6.27518
blr,2004,5.01576
blr,2005,8.91751
blr,2006,6.2807
blr,2007,5.39566
blr,2008,7.31653
blr,2009,6.03287
blr,2010,7.18126
blr,2011,4.64858
blr,2012,3.71031
blr,2013,2.10583
blr,2014,1.60418
blr,2015,1.2603
blr,2016,1.30769
blr,2017,3.47304
blr,2018,3.33122
blz,1992,0.66378
blz,1993,0.75576
blz,1994,0.58171
blz,1995,0.39346
blz,1996,0.37761
bol,1990,0.35133
bol,1991,0.89221
bol,1992,7.58128
bol,1993,5.92885
bol,1994,1.43394
bol,1995,2.39322
bol,1996,2.74721
bol,1997,3.34667
bol,1998,2.46502
bol,1999,2.50658
bol,2000,2.01814
bol,2001,1.65197
bol,2002,5.7971
bol,2003,4.32296
bol,2004,4.53497
bol,2005,5.437
bol,2006,4.87489
bol,2007,6.54672
bra,1991,0.90102
bra,1992,0.61296
bra,2003,0.12377
bra,2004,0.13997
bra,2005,0.31669
bra,2006,0.32473
bra,2007,0.13978
bra,2008,1.87379
bra,2009,0.19876
bra,2010,2.395
bra,2011,2.89749
bra,2012,2.73657
bra,2013,2.83431
bra,2014,2.91884
bra,2015,2.21704
bra,2016,2.13351
bra,2017,2.03495
bra,2018,2.19839
brb,2003,1.57593
brb,2004,1.48002
brb,2005,3.02216
brb,2007,0.95409
brb,2008,1.53711
brb,2009,1.71842
brb,2010,2.43952
brb,2011,2.0643
brb,2012,1.86855
brb,2013,1.93089
brb,2014,2.00199
brb,2015,1.76215
brb,2016,1.55113
btn,1990,0.9823
btn,1991,3.13255
btn,1992,2.58686
btn,1993,2.46069
btn,1994,6.20502
btn,1995,3.75549
btn,1996,24.7745
btn,1997,10.21973
btn,1998,1.76449
btn,1999,2.64351
btn,2000,2.22897
btn,2001,2.24358
btn,2002,7.44134
btn,2003,14.74597
btn,2004,4.80703
btn,2005,8.66947
btn,2006,7.8463
btn,2007,8.54304
btn,2008,16.34856
btn,2009,17.7676
btn,2010,9.53145
btn,2011,8.35745
btn,2012,11.89228
btn,2013,11.60096
btn,2014,15.70398
btn,2015,19.06445
btn,2016,22.26226
btn,2017,22.83736
btn,2018,30.08118
bwa,1990,1.14578
bwa,1992,1.83283
bwa,2017,8.8968
bwa,2018,7.99149
caf,2004,11.31536
caf,2008,10.34406
caf,2009,11.87007
caf,2010,0.23096
caf,2011,1.93938
caf,2014,19.49716
caf,2015,17.89768
caf,2016,25.88743
caf,2017,23.42496
caf,2018,24.23825
can,1990,4.65403
can,1991,4.37999
can,1992,4.12824
can,1993,4.17803
can,1994,4.20286
can,1995,3.96763
can,1996,4.71085
can,1997,4.4651
can,1998,4.91705
can,1999,5.0963
can,2000,5.15511
can,2001,5.21074
can,2002,5.22892
can,2003,4.87359
can,2004,5.03371
can,2005,4.84488
can,2006,4.67641
can,2007,4.91527
can,2008,5.33777
can,2009,5.45969
can,2010,5.15662
can,2011,5.15197
can,2012,5.11089
can,2013,4.80804
can,2014,4.62617
can,2015,4.65066
can,2016,4.62194
can,2017,4.57283
can,2018,4.55596
can,2019,4.81516
che,1990,10.019
che,1991,9.94491
che,1992,9.5093
che,1993,8.84422
che,1994,8.71803
che,1995,8.39033
che,1996,8.04157
che,1997,7.68169
che,1998,8.18161
che,1999,14.28576
che,2000,16.01323
che,2001,11.17718
che,2002,16.63023
che,2003,9.05636
che,2004,9.77952
che,2005,9.38231
che,2006,9.17526
che,2007,10.39427
che,2008,10.14469
che,2009,8.86761
che,2010,9.47026
che,2011,9.98571
che,2012,8.85397
che,2013,9.20588
che,2014,9.04754
che,2015,9.26377
che,2016,10.03748
che,2017,9.41275
che,2018,9.86991
chl,2000,9.56214
chl,2001,10.3525
chl,2002,10.84367
chl,2003,11.23411
chl,2004,11.67609
chl,2005,11.43075
chl,2006,11.53549
chl,2007,11.02284
chl,2008,12.70248
chl,2009,19.49162
chl,2010,22.72326
chl,2011,23.32045
chl,2012,22.33548
chl,2013,21.61331
chl,2014,21.50137
chl,2015,22.65503
chl,2016,21.99887
chl,2017,32.39095
chl,2018,31.82521
civ,2001,0.36771
civ,2002,0.63487
civ,2005,5.73334
civ,2006,6.50571
civ,2007,6.87517
civ,2008,8.00048
civ,2009,15.63415
civ,2010,15.0126
civ,2011,10.6793
civ,2012,10.75658
civ,2013,10.42732
civ,2014,9.17978
civ,2015,3.25539
civ,2016,5.1179
civ,2017,10.40996
civ,2018,8.33856
cmr,2012,7.60666
cmr,2013,1.01093
cmr,2014,1.07769
cmr,2015,1.34438
cmr,2016,1.34194
