global,time,st_int_trnr_cd
world,1995,88842524479.88206
world,1996,95276831302.69981
world,1997,97382688692.19305
world,1998,97732001941.3826
world,1999,100789682568.99844
world,2000,101488405549.64957
world,2001,96656825205.08968
world,2002,98162261916.41992
world,2003,103853093634.92676
world,2004,125990807618.17809
world,2005,141185993290.11548
world,2006,153899292355.31808
world,2007,180720132449.41113
world,2008,201555811172.86096
world,2009,172497429862.17197
world,2010,195861110473.53784
world,2011,223326361853.12
world,2012,236766520403.60263
world,2013,249687614640.50647
world,2014,256355406441.38541
world,2015,232068752720.13309
world,2016,232959951207.2012
world,2017,256724273190.16489
world,2018,278748774752.30109
world,2019,276982067228.72064
