geo,time,ny_gnp_pcap_kd_zg
ago,2001,5.69298
ago,2002,19.46425
ago,2003,0.52426
ago,2004,5.24211
ago,2005,9.34603
ago,2006,5.2206
ago,2007,12.11283
ago,2008,2.06955
ago,2009,7.83245
ago,2010,-1.24922
ago,2011,-0.37912
ago,2012,5.74115
ago,2013,2.70929
ago,2014,3.02386
ago,2015,-0.66944
ago,2016,-6.05319
ago,2017,-4.56018
ago,2018,-6.99626
ago,2019,-4.68188
ago,2020,-5.71717
alb,2009,1.98119
alb,2010,4.82879
alb,2011,3.88895
alb,2012,0.81829
alb,2013,3.64284
alb,2014,1.20827
alb,2015,2.76231
alb,2016,3.90852
alb,2017,2.55579
alb,2018,3.95242
are,2002,-6.55157
are,2003,1.05917
are,2004,0.48541
are,2005,-5.89653
are,2006,-4.26319
are,2007,-10.21807
are,2008,-12.13783
are,2009,-15.46577
are,2010,-6.95735
are,2011,2.26137
are,2012,2.30508
are,2013,4.45618
are,2014,4.15359
are,2015,4.84616
are,2016,2.06436
are,2017,1.17547
are,2018,-0.69814
are,2019,0.39738
arg,1961,3.95087
arg,1962,-2.58117
arg,1963,-6.7945
arg,1964,8.61392
arg,1965,8.80497
arg,1966,-0.78247
arg,1967,-1.87693
arg,1968,1.42014
arg,1969,8.89706
arg,1970,-1.56115
arg,1971,9.02968
arg,1972,-2.45766
arg,1973,3.03578
arg,1974,3.84423
arg,1975,-0.62214
arg,1976,-4.72641
arg,1977,4.51146
arg,1978,-5.77846
arg,1979,8.2921
arg,1980,-0.03401
arg,1981,-8.03349
arg,1982,-5.70601
arg,1983,3.02439
arg,1984,0.43046
arg,1985,-6.79326
arg,1986,5.39155
arg,1987,1.0061
arg,1988,-2.32527
arg,1989,-12.21792
arg,1990,0.16381
arg,1991,8.87145
arg,1992,7.67851
arg,1993,7.47744
arg,1994,4.33183
arg,1995,-4.38086
arg,1996,4.04332
arg,1997,6.75797
arg,1998,2.33073
arg,1999,-4.58794
arg,2000,-1.917
arg,2001,-5.64976
arg,2002,-14.13983
arg,2003,9.02616
arg,2004,0.0083
arg,2005,7.55063
arg,2006,16.52893
arg,2007,8.6586
arg,2008,3.12804
arg,2009,-7.42146
arg,2010,8.85958
arg,2011,5.36704
arg,2012,-1.79762
arg,2013,1.42686
arg,2014,-3.37179
arg,2015,1.81664
arg,2016,-3.27971
arg,2017,1.32336
arg,2018,-4.78588
arg,2019,-3.39395
arg,2020,-9.42929
arm,1995,12.52924
arm,1996,7.65561
arm,1997,7.85166
arm,1998,5.06573
arm,1999,3.8391
arm,2000,6.48951
arm,2001,10.14872
arm,2002,14.39127
arm,2003,14.56976
arm,2004,11.96782
arm,2005,14.71304
arm,2006,14.63934
arm,2007,15.54324
arm,2008,8.41616
arm,2009,-15.2525
arm,2010,3.35811
arm,2011,3.36023
arm,2012,7.52175
arm,2013,4.81149
arm,2014,1.4733
arm,2015,2.22046
arm,2016,-1.73299
arm,2017,8.4068
arm,2018,3.25586
arm,2019,7.27455
arm,2020,-10.57514
aut,1971,4.74263
aut,1972,5.43361
aut,1973,4.26651
aut,1974,4.08928
aut,1975,-0.17901
aut,1976,4.59504
aut,1977,4.96922
aut,1978,-0.12583
aut,1979,5.67599
aut,1980,1.88275
aut,1981,-0.30556
aut,1982,2.06412
aut,1983,3.15525
aut,1984,0.1054
aut,1985,2.53491
aut,1986,1.81725
aut,1987,1.2506
aut,1988,3.68935
aut,1989,3.77147
aut,1990,3.71738
aut,1991,1.91534
aut,1992,0.77449
aut,1993,-0.22708
aut,1994,1.80166
aut,1995,2.14695
aut,1996,2.55925
aut,1997,1.55221
aut,1998,3.3132
aut,1999,2.3182
aut,2000,3.89617
aut,2001,0.3663
aut,2002,1.97346
aut,2003,0.79053
aut,2004,2.21827
aut,2005,1.47403
aut,2006,3.40938
aut,2007,3.04233
aut,2008,2.09612
aut,2009,-4.85678
aut,2010,2.49012
aut,2011,2.0636
aut,2012,-0.01243
aut,2013,-0.39663
aut,2014,-0.25771
aut,2015,-1.22428
aut,2016,1.88802
aut,2017,0.74813
aut,2018,2.1137
aut,2019,2.39244
aze,1994,-20.80612
aze,1995,-12.87358
aze,1996,0.20732
aze,1997,4.83141
aze,1998,8.92854
aze,1999,5.96049
aze,2000,5.5347
aze,2001,9.16821
aze,2002,8.63359
aze,2003,9.20816
aze,2004,5.95558
aze,2005,19.1836
aze,2006,29.85835
aze,2007,19.56824
aze,2008,14.4782
aze,2009,13.90873
aze,2010,5.50048
aze,2011,-4.92783
aze,2012,2.70748
bdi,1998,4.06556
bdi,1999,-2.75792
bdi,2000,0.23735
bdi,2001,-3.03171
bdi,2002,1.41707
bdi,2003,-4.71555
bdi,2004,0.84496
bdi,2005,-1.05606
bdi,2006,2.96764
bdi,2007,0.3649
bdi,2008,1.6279
bdi,2009,-0.24099
bdi,2010,2.18469
bdi,2011,0.50959
bdi,2012,1.7078
bdi,2013,2.05012
bdi,2014,0.68937
bdi,2015,-6.70713
bdi,2016,-3.67927
bdi,2017,-2.78384
bdi,2018,-1.1612
bdi,2019,-1.24755
bdi,2020,-2.41035
bel,1971,3.6597
bel,1972,4.92025
bel,1973,5.8927
bel,1974,4.21074
bel,1975,-2.25493
bel,1976,5.48121
bel,1977,0.26875
bel,1978,2.64636
bel,1979,1.84297
bel,1980,4.12619
bel,1981,-0.10769
bel,1982,0.20254
bel,1983,0.24793
bel,1984,2.69586
bel,1985,1.94146
bel,1986,1.84114
bel,1987,2.50897
bel,1988,4.37094
bel,1989,2.83645
bel,1990,2.97872
bel,1991,1.82518
bel,1992,1.10196
bel,1993,-0.38353
bel,1994,3.66196
bel,1995,1.92637
bel,1996,1.24705
bel,1997,3.64868
bel,1998,1.74578
bel,1999,3.18522
bel,2000,3.6935
bel,2001,0.04207
bel,2002,1.11368
bel,2003,0.79389
bel,2004,2.57148
bel,2005,1.61029
bel,2006,2.0629
bel,2007,2.87038
bel,2008,0.6406
bel,2009,-3.30521
